step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1241.660,412.351,0,0.750
2,513,1024,0.5010,22.865,43.735,0,0.750
3,514,1024,0.5020,22.244,44.956,0,0.750
4,515,1024,0.5029,22.225,44.994,0,0.750
5,516,1024,0.5039,21.909,45.643,0,0.750
6,517,1024,0.5049,22.172,45.102,0,0.750
7,518,1024,0.5059,22.188,45.069,0,0.750
8,519,1024,0.5068,22.275,44.893,0,0.750
9,520,1024,0.5078,21.814,45.842,0,0.750
10,521,1024,0.5088,21.920,45.620,0,0.750
11,522,1024,0.5098,21.270,47.015,0,0.750
12,523,1024,0.5107,21.311,46.924,0,0.750
13,524,1024,0.5117,20.974,47.678,0,0.750
14,525,1024,0.5127,21.194,47.183,0,0.750
15,526,1024,0.5137,21.262,47.032,0,0.750
16,527,1024,0.5146,21.048,47.510,0,0.750
17,528,1024,0.5156,21.265,47.026,0,0.750
18,529,1024,0.5166,21.253,47.052,0,0.750
19,530,1024,0.5176,21.031,47.549,0,0.750
20,531,1024,0.5186,21.217,47.132,0,0.750
21,532,1024,0.5195,21.275,47.004,0,0.750
22,533,1024,0.5205,21.040,47.529,0,0.750
23,534,1024,0.5215,21.121,47.346,0,0.750
24,535,1024,0.5225,21.469,46.579,0,0.750
25,536,1024,0.5234,21.286,46.979,0,0.750
26,537,1024,0.5244,21.111,47.369,0,0.750
27,538,1024,0.5254,20.942,47.751,0,0.750
28,539,1024,0.5264,21.248,47.063,0,0.750
29,540,1024,0.5273,21.206,47.156,0,0.750
30,541,1024,0.5283,20.995,47.630,0,0.750
31,542,1024,0.5293,21.199,47.172,0,0.750
32,543,1024,0.5303,21.212,47.143,0,0.750
33,544,1024,0.5312,20.719,48.265,0,0.750
34,545,1024,0.5322,21.328,46.887,0,0.750
35,546,1024,0.5332,21.153,47.275,0,0.750
36,547,1024,0.5342,21.185,47.203,0,0.750
37,548,1024,0.5352,21.175,47.226,0,0.750
38,549,1024,0.5361,21.451,46.618,0,0.750
39,550,1024,0.5371,21.359,46.819,0,0.750
40,551,1024,0.5381,21.198,47.174,0,0.750
41,552,1024,0.5391,20.938,47.760,0,0.750
42,553,1024,0.5400,21.229,47.105,0,0.750
43,554,1024,0.5410,21.201,47.168,0,0.750
44,555,1024,0.5420,20.959,47.712,0,0.750
45,556,1024,0.5430,21.255,47.048,0,0.750
46,557,1024,0.5439,21.002,47.615,0,0.750
47,558,1024,0.5449,21.003,47.612,0,0.750
48,559,1024,0.5459,21.240,47.081,0,0.750
49,560,1024,0.5469,21.001,47.617,0,0.750
50,561,1024,0.5479,21.256,47.046,0,0.750
51,562,1024,0.5488,21.262,47.032,0,0.750
52,563,1024,0.5498,21.588,46.322,0,0.750
53,564,1024,0.5508,21.341,46.858,0,0.750
54,565,1024,0.5518,21.251,47.057,0,0.750
55,566,1024,0.5527,20.980,47.664,0,0.750
56,567,1024,0.5537,21.099,47.396,0,0.750
57,568,1024,0.5547,21.265,47.026,0,0.750
58,569,1024,0.5557,21.055,47.495,0,0.750
59,570,1024,0.5566,21.275,47.004,0,0.750
60,571,1024,0.5576,20.949,47.735,0,0.750
61,572,1024,0.5586,21.170,47.237,0,0.750
62,573,1024,0.5596,21.092,47.411,0,0.750
63,574,1024,0.5605,20.975,47.676,0,0.750
64,575,1024,0.5615,21.351,46.836,0,0.750
65,576,1024,0.5625,21.450,46.620,0,0.750
66,577,1024,0.5635,21.042,47.524,0,0.750
67,578,1024,0.5645,21.875,45.714,0,0.750
68,579,1024,0.5654,21.396,46.738,0,0.750
69,580,1024,0.5664,21.139,47.306,0,0.750
70,581,1024,0.5674,21.337,46.867,0,0.750
71,582,1024,0.5684,21.334,46.874,0,0.750
72,583,1024,0.5693,21.104,47.384,0,0.750
73,584,1024,0.5703,21.314,46.918,0,0.750
74,585,1024,0.5713,21.139,47.306,0,0.750
75,586,1024,0.5723,21.351,46.836,0,0.750
76,587,1024,0.5732,21.296,46.957,0,0.750
77,588,1024,0.5742,21.114,47.362,0,0.750
78,589,1024,0.5752,21.285,46.981,0,0.750
79,590,1024,0.5762,21.289,46.973,0,0.750
80,591,1024,0.5771,21.115,47.360,0,0.750
81,592,1024,0.5781,21.429,46.666,0,0.750
82,593,1024,0.5791,22.120,45.208,0,0.750
83,594,1024,0.5801,21.136,47.313,0,0.750
84,595,1024,0.5811,21.208,47.152,0,0.750
85,596,1024,0.5820,21.321,46.902,0,0.750
86,597,1024,0.5830,21.081,47.436,0,0.750
87,598,1024,0.5840,21.460,46.598,0,0.750
88,599,1024,0.5850,21.182,47.210,0,0.750
89,600,1024,0.5859,21.493,46.527,0,0.750
90,601,1024,0.5869,21.418,46.690,0,0.750
91,602,1024,0.5879,21.264,47.028,0,0.750
92,603,1024,0.5889,21.457,46.605,0,0.750
93,604,1024,0.5898,21.478,46.559,0,0.750
94,605,1024,0.5908,21.383,46.766,0,0.750
95,606,1024,0.5918,22.097,45.255,0,0.750
96,607,1024,0.5928,21.564,46.374,0,0.750
97,608,1024,0.5938,21.243,47.074,0,0.750
98,609,1024,0.5947,21.604,46.288,0,0.750
99,610,1024,0.5957,21.625,46.243,0,0.750
100,611,1024,0.5967,21.437,46.648,0,0.750
101,612,1024,0.5977,21.614,46.266,0,0.750
102,613,1024,0.5986,21.725,46.030,0,0.750
103,614,1024,0.5996,21.484,46.546,0,0.750
104,615,1024,0.6006,21.777,45.920,0,0.750
105,616,1024,0.6016,21.806,45.859,0,0.750
106,617,1024,0.6025,21.497,46.518,0,0.750
107,618,1024,0.6035,21.652,46.185,0,0.750
108,619,1024,0.6045,21.360,46.816,0,0.750
109,620,1024,0.6055,21.832,45.804,0,0.750
110,621,1024,0.6064,22.000,45.455,0,0.750
111,622,1024,0.6074,22.014,45.426,0,0.750
112,623,1024,0.6084,22.037,45.378,0,0.750
113,624,1024,0.6094,22.004,45.446,0,0.750
114,625,1024,0.6104,21.802,45.867,0,0.750
115,626,1024,0.6113,22.305,44.833,0,0.750
116,627,1024,0.6123,22.349,44.745,0,0.750
117,628,1024,0.6133,22.000,45.455,0,0.750
118,629,1024,0.6143,22.497,44.450,0,0.750
119,630,1024,0.6152,22.520,44.405,0,0.750
120,631,1024,0.6162,22.219,45.007,0,0.750
121,632,1024,0.6172,22.648,44.154,0,0.750
122,633,1024,0.6182,22.866,43.733,0,0.750
123,634,1024,0.6191,22.744,43.968,0,0.750
124,635,1024,0.6201,22.596,44.256,0,0.750
125,636,1024,0.6211,22.887,43.693,0,0.750
126,637,1024,0.6221,23.005,43.469,0,0.750
127,638,1024,0.6230,22.325,44.793,0,0.750
128,639,1024,0.6240,22.603,44.242,0,0.750
129,640,1024,0.6250,22.841,43.781,0,0.750
130,641,1024,0.6260,23.842,41.943,0,0.750
131,642,1024,0.6270,23.938,41.775,0,0.750
132,643,1024,0.6279,23.470,42.608,0,0.750
133,644,1024,0.6289,23.201,43.102,0,0.750
134,645,1024,0.6299,23.645,42.292,0,0.750
135,646,1024,0.6309,23.745,42.114,0,0.750
136,647,1024,0.6318,23.772,42.066,0,0.750
137,648,1024,0.6328,23.816,41.989,0,0.750
138,649,1024,0.6338,23.965,41.728,0,0.750
139,650,1024,0.6348,24.147,41.413,0,0.750
140,651,1024,0.6357,24.246,41.244,0,0.750
141,652,1024,0.6367,23.963,41.731,0,0.750
142,653,1024,0.6377,24.070,41.545,0,0.750
143,654,1024,0.6387,24.186,41.346,0,0.750
144,655,1024,0.6396,24.158,41.394,0,0.750
145,656,1024,0.6406,24.698,40.489,0,0.750
146,657,1024,0.6416,24.675,40.527,0,0.750
147,658,1024,0.6426,24.745,40.412,0,0.750
148,659,1024,0.6436,24.802,40.319,0,0.750
149,660,1024,0.6445,24.856,40.232,0,0.750
150,661,1024,0.6455,24.790,40.339,0,0.750
151,662,1024,0.6465,25.027,39.957,0,0.750
152,663,1024,0.6475,25.037,39.941,0,0.750
153,664,1024,0.6484,25.210,39.667,0,0.750
154,665,1024,0.6494,25.194,39.692,0,0.750
155,666,1024,0.6504,25.417,39.344,0,0.750
156,667,1024,0.6514,25.185,39.706,0,0.750
157,668,1024,0.6523,25.505,39.208,0,0.750
158,669,1024,0.6533,25.423,39.334,0,0.750
159,670,1024,0.6543,25.490,39.231,0,0.750
160,671,1024,0.6553,25.698,38.914,0,0.750
161,672,1024,0.6562,25.480,39.246,0,0.750
162,673,1024,0.6572,25.588,39.081,0,0.750
163,674,1024,0.6582,25.763,38.815,0,0.750
164,675,1024,0.6592,25.765,38.812,0,0.750
165,676,1024,0.6602,25.460,39.277,0,0.750
166,677,1024,0.6611,25.727,38.870,0,0.750
167,678,1024,0.6621,26.031,38.416,0,0.750
168,679,1024,0.6631,26.055,38.380,0,0.750
169,680,1024,0.6641,25.931,38.564,0,0.750
170,681,1024,0.6650,25.681,38.939,0,0.750
171,682,1024,0.6660,26.425,37.843,0,0.750
172,683,1024,0.6670,25.977,38.496,0,0.750
173,684,1024,0.6680,26.099,38.316,0,0.750
174,685,1024,0.6689,25.660,38.971,0,0.750
175,686,1024,0.6699,26.472,37.776,0,0.750
176,687,1024,0.6709,26.083,38.339,0,0.750
177,688,1024,0.6719,26.028,38.420,0,0.750
178,689,1024,0.6729,26.015,38.439,0,0.750
179,690,1024,0.6738,25.763,38.815,0,0.750
180,691,1024,0.6748,26.071,38.357,0,0.750
181,692,1024,0.6758,26.004,38.456,0,0.750
182,693,1024,0.6768,25.988,38.479,0,0.750
183,694,1024,0.6777,26.047,38.392,0,0.750
184,695,1024,0.6787,25.767,38.809,0,0.750
185,696,1024,0.6797,26.082,38.341,0,0.750
186,697,1024,0.6807,25.951,38.534,0,0.750
