step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1299.993,393.848,0,2.000
2,513,1024,0.5010,27.710,36.088,0,2.000
3,514,1024,0.5020,23.122,43.249,0,2.000
4,515,1024,0.5029,22.883,43.701,0,2.000
5,516,1024,0.5039,22.966,43.543,0,2.000
6,517,1024,0.5049,22.762,43.933,0,2.000
7,518,1024,0.5059,22.830,43.802,0,2.000
8,519,1024,0.5068,22.586,44.275,0,2.000
9,520,1024,0.5078,21.635,46.221,0,2.000
10,521,1024,0.5088,21.283,46.986,0,2.000
11,522,1024,0.5098,21.712,46.057,0,2.000
12,523,1024,0.5107,21.835,45.798,0,2.000
13,524,1024,0.5117,21.287,46.977,0,2.000
14,525,1024,0.5127,21.455,46.609,0,2.000
15,526,1024,0.5137,21.456,46.607,0,2.000
16,527,1024,0.5146,21.252,47.054,0,2.000
17,528,1024,0.5156,21.439,46.644,0,2.000
18,529,1024,0.5166,21.223,47.119,0,2.000
19,530,1024,0.5176,20.959,47.712,0,2.000
20,531,1024,0.5186,21.251,47.057,0,2.000
21,532,1024,0.5195,21.081,47.436,0,2.000
22,533,1024,0.5205,21.436,46.650,0,2.000
23,534,1024,0.5215,21.285,46.981,0,2.000
24,535,1024,0.5225,21.065,47.472,0,2.000
25,536,1024,0.5234,21.835,45.798,0,2.000
26,537,1024,0.5244,21.402,46.725,0,2.000
27,538,1024,0.5254,21.116,47.357,0,2.000
28,539,1024,0.5264,21.318,46.909,0,2.000
29,540,1024,0.5273,21.294,46.962,0,2.000
30,541,1024,0.5283,21.120,47.348,0,2.000
31,542,1024,0.5293,21.295,46.959,0,2.000
32,543,1024,0.5303,21.332,46.878,0,2.000
33,544,1024,0.5312,20.975,47.676,0,2.000
34,545,1024,0.5322,21.284,46.984,0,2.000
35,546,1024,0.5332,21.072,47.456,0,2.000
36,547,1024,0.5342,21.221,47.123,0,2.000
37,548,1024,0.5352,21.197,47.176,0,2.000
38,549,1024,0.5361,21.058,47.488,0,2.000
39,550,1024,0.5371,21.354,46.830,0,2.000
40,551,1024,0.5381,21.988,45.479,0,2.000
41,552,1024,0.5391,21.068,47.465,0,2.000
42,553,1024,0.5400,21.333,46.876,0,2.000
43,554,1024,0.5410,21.295,46.959,0,2.000
44,555,1024,0.5420,21.111,47.369,0,2.000
45,556,1024,0.5430,21.294,46.962,0,2.000
46,557,1024,0.5439,21.077,47.445,0,2.000
47,558,1024,0.5449,21.352,46.834,0,2.000
48,559,1024,0.5459,21.292,46.966,0,2.000
49,560,1024,0.5469,21.051,47.504,0,2.000
50,561,1024,0.5479,21.371,46.792,0,2.000
51,562,1024,0.5488,21.287,46.977,0,2.000
52,563,1024,0.5498,21.000,47.619,0,2.000
53,564,1024,0.5508,21.351,46.836,0,2.000
54,565,1024,0.5518,21.251,47.057,0,2.000
55,566,1024,0.5527,21.425,46.674,0,2.000
56,567,1024,0.5537,21.542,46.421,0,2.000
57,568,1024,0.5547,21.285,46.981,0,2.000
58,569,1024,0.5557,21.026,47.560,0,2.000
59,570,1024,0.5566,21.214,47.139,0,2.000
60,571,1024,0.5576,21.044,47.519,0,2.000
61,572,1024,0.5586,21.416,46.694,0,2.000
62,573,1024,0.5596,21.407,46.714,0,2.000
63,574,1024,0.5605,21.088,47.420,0,2.000
64,575,1024,0.5615,21.430,46.664,0,2.000
65,576,1024,0.5625,21.411,46.705,0,2.000
66,577,1024,0.5635,21.338,46.865,0,2.000
67,578,1024,0.5645,21.474,46.568,0,2.000
68,579,1024,0.5654,21.745,45.988,0,2.000
69,580,1024,0.5664,21.862,45.741,0,2.000
70,581,1024,0.5674,21.531,46.445,0,2.000
71,582,1024,0.5684,21.466,46.585,0,2.000
72,583,1024,0.5693,21.259,47.039,0,2.000
73,584,1024,0.5703,21.323,46.898,0,2.000
74,585,1024,0.5713,21.416,46.694,0,2.000
75,586,1024,0.5723,22.138,45.171,0,2.000
76,587,1024,0.5732,22.147,45.153,0,2.000
77,588,1024,0.5742,21.487,46.540,0,2.000
78,589,1024,0.5752,21.521,46.466,0,2.000
79,590,1024,0.5762,21.676,46.134,0,2.000
80,591,1024,0.5771,21.472,46.572,0,2.000
81,592,1024,0.5781,21.865,45.735,0,2.000
82,593,1024,0.5791,22.044,45.364,0,2.000
83,594,1024,0.5801,21.585,46.328,0,2.000
84,595,1024,0.5811,21.944,45.571,0,2.000
85,596,1024,0.5820,21.879,45.706,0,2.000
86,597,1024,0.5830,21.706,46.070,0,2.000
87,598,1024,0.5840,22.074,45.302,0,2.000
88,599,1024,0.5850,21.911,45.639,0,2.000
89,600,1024,0.5859,21.802,45.867,0,2.000
90,601,1024,0.5869,22.234,44.976,0,2.000
91,602,1024,0.5879,22.247,44.950,0,2.000
92,603,1024,0.5889,22.050,45.351,0,2.000
93,604,1024,0.5898,22.381,44.681,0,2.000
94,605,1024,0.5908,22.486,44.472,0,2.000
95,606,1024,0.5918,22.195,45.055,0,2.000
96,607,1024,0.5928,22.729,43.997,0,2.000
97,608,1024,0.5938,22.397,44.649,0,2.000
98,609,1024,0.5947,22.286,44.871,0,2.000
99,610,1024,0.5957,22.528,44.389,0,2.000
100,611,1024,0.5967,23.275,42.965,0,2.000
101,612,1024,0.5977,22.923,43.624,0,2.000
102,613,1024,0.5986,22.796,43.867,0,2.000
103,614,1024,0.5996,23.058,43.369,0,2.000
104,615,1024,0.6006,23.051,43.382,0,2.000
105,616,1024,0.6016,23.298,42.922,0,2.000
106,617,1024,0.6025,23.238,43.033,0,2.000
107,618,1024,0.6035,23.751,42.103,0,2.000
108,619,1024,0.6045,23.582,42.405,0,2.000
109,620,1024,0.6055,23.776,42.059,0,2.000
110,621,1024,0.6064,23.838,41.950,0,2.000
111,622,1024,0.6074,24.200,41.322,0,2.000
112,623,1024,0.6084,24.241,41.252,0,2.000
113,624,1024,0.6094,24.206,41.312,0,2.000
114,625,1024,0.6104,24.518,40.786,0,2.000
115,626,1024,0.6113,24.537,40.755,0,2.000
116,627,1024,0.6123,24.720,40.453,0,2.000
117,628,1024,0.6133,24.648,40.571,0,2.000
118,629,1024,0.6143,24.977,40.037,0,2.000
119,630,1024,0.6152,25.615,39.040,0,2.000
120,631,1024,0.6162,25.244,39.613,0,2.000
121,632,1024,0.6172,25.174,39.724,0,2.000
122,633,1024,0.6182,25.455,39.285,0,2.000
123,634,1024,0.6191,25.773,38.800,0,2.000
124,635,1024,0.6201,25.706,38.901,0,2.000
125,636,1024,0.6211,25.475,39.254,0,2.000
126,637,1024,0.6221,26.168,38.215,0,2.000
