step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1237.277,413.812,0,0.000
2,513,1024,0.5010,26.945,37.113,0,0.000
3,514,1024,0.5020,22.256,44.932,0,0.000
4,515,1024,0.5029,21.703,46.077,0,0.000
5,516,1024,0.5039,22.009,45.436,0,0.000
6,517,1024,0.5049,21.901,45.660,0,0.000
7,518,1024,0.5059,21.687,46.111,0,0.000
8,519,1024,0.5068,21.928,45.604,0,0.000
9,520,1024,0.5078,21.618,46.258,0,0.000
10,521,1024,0.5088,21.441,46.640,0,0.000
11,522,1024,0.5098,21.452,46.616,0,0.000
12,523,1024,0.5107,21.404,46.720,0,0.000
13,524,1024,0.5117,21.138,47.308,0,0.000
14,525,1024,0.5127,21.286,46.979,0,0.000
15,526,1024,0.5137,21.038,47.533,0,0.000
16,527,1024,0.5146,21.622,46.249,0,0.000
17,528,1024,0.5156,21.419,46.688,0,0.000
18,529,1024,0.5166,21.117,47.355,0,0.000
19,530,1024,0.5176,21.407,46.714,0,0.000
20,531,1024,0.5186,21.283,46.986,0,0.000
21,532,1024,0.5195,21.010,47.596,0,0.000
22,533,1024,0.5205,21.269,47.017,0,0.000
23,534,1024,0.5215,20.987,47.649,0,0.000
24,535,1024,0.5225,20.891,47.868,0,0.000
25,536,1024,0.5234,21.288,46.975,0,0.000
26,537,1024,0.5244,21.198,47.174,0,0.000
27,538,1024,0.5254,21.009,47.599,0,0.000
28,539,1024,0.5264,21.204,47.161,0,0.000
29,540,1024,0.5273,20.873,47.909,0,0.000
30,541,1024,0.5283,21.156,47.268,0,0.000
31,542,1024,0.5293,21.774,45.926,0,0.000
32,543,1024,0.5303,20.884,47.884,0,0.000
33,544,1024,0.5312,21.109,47.373,0,0.000
34,545,1024,0.5322,21.158,47.263,0,0.000
35,546,1024,0.5332,20.822,48.026,0,0.000
36,547,1024,0.5342,21.146,47.290,0,0.000
37,548,1024,0.5352,21.104,47.384,0,0.000
38,549,1024,0.5361,20.917,47.808,0,0.000
39,550,1024,0.5371,21.090,47.416,0,0.000
40,551,1024,0.5381,20.855,47.950,0,0.000
41,552,1024,0.5391,21.052,47.501,0,0.000
42,553,1024,0.5400,21.005,47.608,0,0.000
43,554,1024,0.5410,20.834,47.998,0,0.000
44,555,1024,0.5420,21.105,47.382,0,0.000
45,556,1024,0.5430,21.254,47.050,0,0.000
46,557,1024,0.5439,21.496,46.520,0,0.000
47,558,1024,0.5449,21.121,47.346,0,0.000
48,559,1024,0.5459,21.096,47.402,0,0.000
49,560,1024,0.5469,20.992,47.637,0,0.000
50,561,1024,0.5479,21.210,47.148,0,0.000
51,562,1024,0.5488,20.812,48.049,0,0.000
52,563,1024,0.5498,21.274,47.006,0,0.000
53,564,1024,0.5508,21.199,47.172,0,0.000
54,565,1024,0.5518,20.926,47.787,0,0.000
55,566,1024,0.5527,21.314,46.918,0,0.000
56,567,1024,0.5537,21.253,47.052,0,0.000
57,568,1024,0.5547,20.973,47.680,0,0.000
58,569,1024,0.5557,21.190,47.192,0,0.000
59,570,1024,0.5566,21.235,47.092,0,0.000
60,571,1024,0.5576,21.076,47.447,0,0.000
61,572,1024,0.5586,21.837,45.794,0,0.000
62,573,1024,0.5596,21.065,47.472,0,0.000
63,574,1024,0.5605,21.312,46.922,0,0.000
64,575,1024,0.5615,21.284,46.984,0,0.000
65,576,1024,0.5625,21.049,47.508,0,0.000
66,577,1024,0.5635,21.281,46.990,0,0.000
67,578,1024,0.5645,21.272,47.010,0,0.000
68,579,1024,0.5654,21.053,47.499,0,0.000
69,580,1024,0.5664,21.269,47.017,0,0.000
70,581,1024,0.5674,21.125,47.337,0,0.000
71,582,1024,0.5684,20.948,47.737,0,0.000
72,583,1024,0.5693,21.341,46.858,0,0.000
73,584,1024,0.5703,21.122,47.344,0,0.000
74,585,1024,0.5713,21.913,45.635,0,0.000
75,586,1024,0.5723,21.371,46.792,0,0.000
76,587,1024,0.5732,21.102,47.389,0,0.000
77,588,1024,0.5742,21.365,46.806,0,0.000
78,589,1024,0.5752,21.231,47.101,0,0.000
79,590,1024,0.5762,21.036,47.538,0,0.000
80,591,1024,0.5771,21.371,46.792,0,0.000
81,592,1024,0.5781,21.335,46.871,0,0.000
82,593,1024,0.5791,21.113,47.364,0,0.000
83,594,1024,0.5801,21.382,46.768,0,0.000
84,595,1024,0.5811,21.336,46.869,0,0.000
85,596,1024,0.5820,21.163,47.252,0,0.000
86,597,1024,0.5830,21.395,46.740,0,0.000
87,598,1024,0.5840,21.176,47.223,0,0.000
88,599,1024,0.5850,21.468,46.581,0,0.000
89,600,1024,0.5859,21.546,46.412,0,0.000
90,601,1024,0.5869,21.658,46.172,0,0.000
91,602,1024,0.5879,21.481,46.553,0,0.000
92,603,1024,0.5889,21.441,46.640,0,0.000
93,604,1024,0.5898,21.113,47.364,0,0.000
94,605,1024,0.5908,21.360,46.816,0,0.000
95,606,1024,0.5918,21.463,46.592,0,0.000
96,607,1024,0.5928,21.296,46.957,0,0.000
97,608,1024,0.5938,21.553,46.397,0,0.000
98,609,1024,0.5947,21.555,46.393,0,0.000
99,610,1024,0.5957,21.177,47.221,0,0.000
100,611,1024,0.5967,21.887,45.689,0,0.000
101,612,1024,0.5977,21.647,46.196,0,0.000
102,613,1024,0.5986,21.393,46.744,0,0.000
103,614,1024,0.5996,22.013,45.428,0,0.000
104,615,1024,0.6006,21.850,45.767,0,0.000
105,616,1024,0.6016,21.474,46.568,0,0.000
106,617,1024,0.6025,21.770,45.935,0,0.000
107,618,1024,0.6035,21.474,46.568,0,0.000
108,619,1024,0.6045,21.779,45.916,0,0.000
109,620,1024,0.6055,21.510,46.490,0,0.000
110,621,1024,0.6064,21.665,46.157,0,0.000
111,622,1024,0.6074,21.938,45.583,0,0.000
112,623,1024,0.6084,21.805,45.861,0,0.000
113,624,1024,0.6094,21.733,46.013,0,0.000
114,625,1024,0.6104,21.884,45.695,0,0.000
115,626,1024,0.6113,21.893,45.677,0,0.000
116,627,1024,0.6123,21.536,46.434,0,0.000
117,628,1024,0.6133,22.181,45.084,0,0.000
118,629,1024,0.6143,22.443,44.557,0,0.000
119,630,1024,0.6152,21.959,45.539,0,0.000
120,631,1024,0.6162,22.276,44.891,0,0.000
121,632,1024,0.6172,22.351,44.741,0,0.000
122,633,1024,0.6182,22.055,45.341,0,0.000
123,634,1024,0.6191,22.516,44.413,0,0.000
124,635,1024,0.6201,22.420,44.603,0,0.000
125,636,1024,0.6211,22.154,45.139,0,0.000
126,637,1024,0.6221,22.632,44.185,0,0.000
127,638,1024,0.6230,22.710,44.033,0,0.000
128,639,1024,0.6240,22.348,44.747,0,0.000
129,640,1024,0.6250,22.774,43.910,0,0.000
130,641,1024,0.6260,22.999,43.480,0,0.000
131,642,1024,0.6270,22.824,43.814,0,0.000
132,643,1024,0.6279,22.760,43.937,0,0.000
133,644,1024,0.6289,23.051,43.382,0,0.000
134,645,1024,0.6299,23.160,43.178,0,0.000
135,646,1024,0.6309,22.801,43.858,0,0.000
136,647,1024,0.6318,23.172,43.156,0,0.000
137,648,1024,0.6328,23.122,43.249,0,0.000
138,649,1024,0.6338,22.962,43.550,0,0.000
139,650,1024,0.6348,23.298,42.922,0,0.000
140,651,1024,0.6357,23.130,43.234,0,0.000
