order_idx,alpha,trial,t_start_iso,t_end_iso,duration_s,e2e_tok_per_sec
1,0.5,1,2026-07-07T11:39:05,2026-07-07T11:39:58,52.13,42.285
2,0.75,1,2026-07-07T11:39:58,2026-07-07T11:40:50,52.06,40.964
3,2,1,2026-07-07T11:40:50,2026-07-07T11:41:45,55.59,38.139
4,1,1,2026-07-07T11:41:45,2026-07-07T11:42:38,52.57,40.505
5,0,1,2026-07-07T11:42:38,2026-07-07T11:43:29,51.06,41.794
6,0.25,1,2026-07-07T11:43:29,2026-07-07T11:44:21,52.58,40.600
7,1.5,1,2026-07-07T11:44:21,2026-07-07T11:45:17,55.61,38.061
8,1,2,2026-07-07T11:45:17,2026-07-07T11:46:14,56.59,37.378
9,2,2,2026-07-07T11:46:14,2026-07-07T11:47:14,60.14,35.486
10,0.75,2,2026-07-07T11:47:14,2026-07-07T11:48:12,58.65,36.260
11,0.25,2,2026-07-07T11:48:12,2026-07-07T11:49:10,57.11,37.289
12,1.5,2,2026-07-07T11:49:10,2026-07-07T11:50:09,59.28,35.875
13,0.5,2,2026-07-07T11:50:09,2026-07-07T11:51:07,58.04,36.921
14,0,2,2026-07-07T11:51:07,2026-07-07T11:52:03,56.55,37.730
15,0.5,3,2026-07-07T11:52:03,2026-07-07T11:53:02,58.59,36.410
16,0.75,3,2026-07-07T11:53:02,2026-07-07T11:54:02,60.14,35.369
17,0,3,2026-07-07T11:54:02,2026-07-07T11:55:02,60.00,35.552
18,1.5,3,2026-07-07T11:55:02,2026-07-07T11:56:03,60.68,35.050
19,2,3,2026-07-07T11:56:03,2026-07-07T11:57:04,61.11,34.812
20,0.25,3,2026-07-07T11:57:04,2026-07-07T11:58:01,57.54,37.250
21,1,3,2026-07-07T11:58:01,2026-07-07T11:58:59,58.03,36.524
22,2,4,2026-07-07T11:58:59,2026-07-07T12:00:00,60.17,35.424
23,1.5,4,2026-07-07T12:00:00,2026-07-07T12:00:59,59.06,36.062
24,1,4,2026-07-07T12:00:59,2026-07-07T12:01:57,58.07,36.608
25,0.5,4,2026-07-07T12:01:57,2026-07-07T12:02:55,58.03,36.929
26,0.75,4,2026-07-07T12:02:55,2026-07-07T12:03:53,57.98,36.687
27,0.25,4,2026-07-07T12:03:53,2026-07-07T12:04:49,56.51,37.717
28,0,4,2026-07-07T12:04:49,2026-07-07T12:05:45,56.06,38.117
29,0.75,5,2026-07-07T12:05:45,2026-07-07T12:06:43,57.54,37.151
30,0.25,5,2026-07-07T12:06:43,2026-07-07T12:07:38,55.56,38.487
31,1.5,5,2026-07-07T12:07:38,2026-07-07T12:08:37,58.55,36.415
32,0,5,2026-07-07T12:08:37,2026-07-07T12:09:32,54.50,38.963
33,2,5,2026-07-07T12:09:32,2026-07-07T12:10:31,59.17,36.094
34,0.5,5,2026-07-07T12:10:31,2026-07-07T12:11:27,55.99,38.050
35,1,5,2026-07-07T12:11:27,2026-07-07T12:12:24,57.09,37.259
