order_idx,alpha,trial,rc,decode_tokens,tok_per_sec
1,0.75,1,0,2048,28.063
2,1.5,5,0,2048,26.915
3,1.5,4,0,2048,26.072
4,0,1,0,2048,25.063
5,2,1,0,2048,21.082
6,0,2,0,2048,21.223
7,1,3,0,2048,22.372
8,0.25,2,0,2048,23.411
9,2,3,0,2048,23.479
10,1.5,1,0,2048,24.171
11,0.25,3,0,2048,25.047
12,2,4,0,2048,23.808
13,2,5,0,2048,23.949
14,0.25,4,0,2048,25.223
15,0.25,1,0,2048,25.124
16,2,2,0,2048,23.742
17,0.5,5,0,2048,24.985
18,1,4,0,2048,24.646
19,0.75,4,0,2048,24.769
20,0.75,3,0,2048,24.883
21,1.5,3,0,2048,24.378
22,1,2,0,2048,24.82
23,0.5,1,0,2048,25.237
24,0,4,0,2048,25.682
25,0.75,2,0,2048,24.8
26,0.5,3,0,2048,25.07
27,0.5,2,0,2048,24.967
28,1,1,0,2048,23.999
29,0,3,0,2048,23.27
30,0,5,0,2048,22.384
31,1.5,2,0,2048,21.555
32,0.5,4,0,2048,21.841
33,1,5,0,2048,21.341
34,0.75,5,0,2048,21.169
35,0.25,5,0,2048,21.015
