order_idx,alpha,trial,t_start_iso,t_end_iso,duration_s,tok_per_sec
1,0.25,1,2026-07-10T22:14:27,2026-07-10T22:15:38,71.7,29.469
2,2,1,2026-07-10T22:18:58,2026-07-10T22:20:16,77.7,27.092
3,0.5,2,2026-07-10T22:23:36,2026-07-10T22:24:49,73.3,28.765
4,0,1,2026-07-10T22:28:09,2026-07-10T22:29:21,71.3,29.601
5,2,2,2026-07-10T22:32:41,2026-07-10T22:33:59,77.9,26.99
6,0.75,3,2026-07-10T22:37:19,2026-07-10T22:38:32,73.8,28.563
7,1,3,2026-07-10T22:41:52,2026-07-10T22:43:07,74.4,28.288
8,1.5,2,2026-07-10T22:46:27,2026-07-10T22:47:43,76.4,27.548
9,0.5,3,2026-07-10T22:51:03,2026-07-10T22:52:17,73.3,28.734
10,1.5,1,2026-07-10T22:55:37,2026-07-10T22:56:52,75.9,27.622
11,0.25,3,2026-07-10T23:00:12,2026-07-10T23:01:25,72.3,29.064
12,0.75,2,2026-07-10T23:04:45,2026-07-10T23:05:59,73.8,28.402
13,0,2,2026-07-10T23:09:19,2026-07-10T23:10:29,70.8,29.8
14,0,3,2026-07-10T23:13:49,2026-07-10T23:15:01,71.3,29.618
15,1,2,2026-07-10T23:18:21,2026-07-10T23:19:35,74.4,28.231
16,0.5,1,2026-07-10T23:22:55,2026-07-10T23:24:09,73.8,28.505
17,1,1,2026-07-10T23:27:29,2026-07-10T23:28:43,74.3,28.231
18,0.75,1,2026-07-10T23:32:03,2026-07-10T23:33:17,73.8,28.549
19,1.5,3,2026-07-10T23:36:37,2026-07-10T23:37:53,76.4,27.593
20,0.25,2,2026-07-10T23:41:13,2026-07-10T23:42:26,72.3,29.029
21,2,3,2026-07-10T23:45:46,2026-07-10T23:47:04,77.9,26.958
