order_idx,condition,alpha,drain_env,drains,trial,rc,decode_tokens,decode_ms,tok_per_sec,flash_attn,t_start_iso,duration_s
1,a1_nodrain,1.0,0,0,1,0,2048,69375.182,29.521,disabled,2026-08-11T17:58:32,71.2
2,a1_nodrain,1.0,0,0,2,0,2048,71430.488,28.671,disabled,2026-08-11T18:03:03,73.2
3,a1_drain,1.0,default,1,2,0,2048,72957.326,28.071,disabled,2026-08-11T18:07:36,74.8
4,a0_drain,0.0,1,1,1,0,2048,69228.377,29.583,disabled,2026-08-11T18:12:11,71.2
5,a1_drain,1.0,default,1,3,0,2048,72865.968,28.106,disabled,2026-08-11T18:16:42,74.8
6,a1_nodrain,1.0,0,0,3,0,2048,70582.58,29.016,disabled,2026-08-11T18:21:17,72.7
7,a1_drain,1.0,default,1,1,0,2048,72917.53,28.087,disabled,2026-08-11T18:25:50,74.8
8,a0_drain,0.0,1,1,2,0,2048,69017.007,29.674,disabled,2026-08-11T18:30:25,70.7
9,a0_nodrain,0.0,default,0,3,0,2048,68993.616,29.684,disabled,2026-08-11T18:34:55,71.2
10,a0_drain,0.0,1,1,3,0,2048,68485.378,29.904,disabled,2026-08-11T18:39:27,70.5
11,a0_nodrain,0.0,default,0,2,0,2048,69007.133,29.678,disabled,2026-08-11T18:43:57,70.7
12,a0_nodrain,0.0,default,0,1,0,2048,69272.043,29.565,disabled,2026-08-11T18:48:28,71.3
