order_idx,condition,alpha,drain,trial,rc,decode_tokens,decode_ms,tok_per_sec,flash_attn,t_start_iso,duration_s
1,a0_nodrain,0.0,default,1,0,2048,68109.053,30.069,disabled,2026-08-04T02:39:53,70.2
2,a025_nodrain,0.25,0,3,0,2048,68477.011,29.908,disabled,2026-08-04T02:44:23,70.3
3,a1_nodrain,1.0,0,1,0,2048,69847.742,29.321,disabled,2026-08-04T02:48:54,71.8
4,a025_drain,0.25,default,2,0,2048,70340.142,29.116,disabled,2026-08-04T02:53:25,72.3
5,a1_nodrain,1.0,0,3,0,2048,69926.149,29.288,disabled,2026-08-04T02:57:58,71.8
6,a025_nodrain,0.25,0,1,0,2048,68938.867,29.707,disabled,2026-08-04T03:02:29,70.7
7,a025_drain,0.25,default,1,0,2048,70507.626,29.047,disabled,2026-08-04T03:07:00,72.3
8,a0_drain,0.0,1,2,0,2048,69010.88,29.676,disabled,2026-08-04T03:11:32,70.7
9,a0_nodrain,0.0,default,2,0,2048,68954.833,29.701,disabled,2026-08-04T03:16:03,70.7
10,a0_drain,0.0,1,3,0,2048,69218.414,29.588,disabled,2026-08-04T03:20:34,71.3
11,a025_nodrain,0.25,0,2,0,2048,68892.307,29.728,disabled,2026-08-04T03:25:05,70.8
12,a025_drain,0.25,default,3,0,2048,70521.266,29.041,disabled,2026-08-04T03:29:36,72.3
13,a0_drain,0.0,1,1,0,2048,69581.683,29.433,disabled,2026-08-04T03:34:08,71.8
14,a0_nodrain,0.0,default,3,0,2048,69382.871,29.517,disabled,2026-08-04T03:38:40,71.2
15,a1_nodrain,1.0,0,2,0,2048,70487.744,29.055,disabled,2026-08-04T03:43:11,72.3
