order_idx,round,alpha,drained,drain_env,rc,decode_tokens,tok_per_sec,flash_attn,duration_s,t_start
1,1,0.25,1,default,0,2048,29.319,disabled,71.8,2026-08-23T01:07:48
2,1,1.0,0,0,0,2048,29.378,disabled,71.8,2026-08-23T01:12:20
3,1,0.0,1,1,0,2048,29.79,disabled,70.7,2026-08-23T01:16:52
4,1,0.5,1,default,0,2048,28.651,disabled,73.3,2026-08-23T01:21:22
5,1,2.0,1,default,0,2048,26.89,disabled,77.9,2026-08-23T01:25:56
6,1,2.0,0,0,0,2048,28.016,disabled,74.9,2026-08-23T01:30:34
7,1,0.0,0,default,0,2048,29.707,disabled,70.7,2026-08-23T01:35:09
8,1,0.5,0,0,0,2048,29.67,disabled,70.8,2026-08-23T01:39:39
9,1,0.25,0,0,0,2048,29.627,disabled,71.2,2026-08-23T01:44:10
10,1,1.0,1,default,0,2048,28.086,disabled,74.9,2026-08-23T01:48:41
11,2,0.5,0,0,0,2048,29.682,disabled,70.8,2026-08-23T01:53:16
12,2,2.0,1,default,0,2048,26.919,disabled,77.9,2026-08-23T01:57:47
13,2,0.25,1,default,0,2048,28.688,disabled,73.3,2026-08-23T02:02:25
14,2,0.0,1,1,0,2048,29.705,disabled,70.7,2026-08-23T02:06:58
15,2,2.0,0,0,0,2048,28.032,disabled,74.8,2026-08-23T02:11:29
16,2,0.25,0,0,0,2048,29.564,disabled,71.3,2026-08-23T02:16:04
17,2,0.5,1,default,0,2048,28.515,disabled,73.8,2026-08-23T02:20:35
18,2,1.0,1,default,0,2048,28.0,disabled,74.8,2026-08-23T02:25:09
19,2,0.0,0,default,0,2048,29.62,disabled,71.3,2026-08-23T02:29:44
20,2,1.0,0,0,0,2048,28.946,disabled,72.7,2026-08-23T02:34:15
21,3,0.0,1,1,0,2048,29.517,disabled,71.3,2026-08-23T02:38:48
22,3,2.0,1,default,0,2048,26.9,disabled,77.8,2026-08-23T02:43:19
23,3,0.5,0,0,0,2048,29.632,disabled,70.8,2026-08-23T02:47:57
24,3,0.0,0,default,0,2048,29.456,disabled,71.3,2026-08-23T02:52:28
25,3,0.5,1,default,0,2048,28.501,disabled,73.8,2026-08-23T02:56:59
26,3,1.0,0,0,0,2048,29.043,disabled,72.2,2026-08-23T03:01:33
27,3,2.0,0,0,0,2048,27.933,disabled,75.3,2026-08-23T03:06:05
28,3,0.25,1,default,0,2048,28.773,disabled,73.3,2026-08-23T03:10:40
29,3,1.0,1,default,0,2048,28.073,disabled,74.8,2026-08-23T03:15:14
30,3,0.25,0,0,0,2048,29.467,disabled,71.3,2026-08-23T03:19:48
