step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
1,512,1024,0.5000,1404.970,364.421,0,0.000,0,512
2,513,1024,0.5010,30.929,32.332,0,0.000,0,768
3,514,1024,0.5020,25.863,38.665,0,0.000,0,768
4,515,1024,0.5029,24.267,41.208,0,0.000,0,768
5,516,1024,0.5039,23.701,42.192,0,0.000,0,768
6,517,1024,0.5049,24.132,41.439,0,0.000,0,768
7,518,1024,0.5059,24.034,41.608,0,0.000,0,768
8,519,1024,0.5068,23.934,41.782,0,0.000,0,768
9,520,1024,0.5078,23.686,42.219,0,0.000,0,768
10,521,1024,0.5088,24.151,41.406,0,0.000,0,768
11,522,1024,0.5098,23.516,42.524,0,0.000,0,768
12,523,1024,0.5107,23.687,42.217,0,0.000,0,768
13,524,1024,0.5117,23.845,41.938,0,0.000,0,768
14,525,1024,0.5127,24.288,41.173,0,0.000,0,768
15,526,1024,0.5137,23.486,42.579,0,0.000,0,768
16,527,1024,0.5146,23.522,42.513,0,0.000,0,768
17,528,1024,0.5156,23.543,42.475,0,0.000,0,768
18,529,1024,0.5166,23.676,42.237,0,0.000,0,768
19,530,1024,0.5176,23.241,43.027,0,0.000,0,768
20,531,1024,0.5186,23.479,42.591,0,0.000,0,768
21,532,1024,0.5195,24.281,41.184,0,0.000,0,768
22,533,1024,0.5205,23.513,42.530,0,0.000,0,768
23,534,1024,0.5215,23.530,42.499,0,0.000,0,768
24,535,1024,0.5225,23.378,42.775,0,0.000,0,768
25,536,1024,0.5234,23.041,43.401,0,0.000,0,768
26,537,1024,0.5244,23.237,43.035,0,0.000,0,768
27,538,1024,0.5254,23.212,43.081,0,0.000,0,768
28,539,1024,0.5264,23.370,42.790,0,0.000,0,768
29,540,1024,0.5273,23.407,42.722,0,0.000,0,768
30,541,1024,0.5283,23.427,42.686,0,0.000,0,768
31,542,1024,0.5293,23.244,43.022,0,0.000,0,768
32,543,1024,0.5303,23.062,43.361,0,0.000,0,768
33,544,1024,0.5312,24.020,41.632,0,0.000,0,768
34,545,1024,0.5322,23.450,42.644,0,0.000,0,768
35,546,1024,0.5332,24.029,41.616,0,0.000,0,768
36,547,1024,0.5342,23.301,42.917,0,0.000,0,768
37,548,1024,0.5352,23.409,42.719,0,0.000,0,768
38,549,1024,0.5361,23.339,42.847,0,0.000,0,768
39,550,1024,0.5371,23.342,42.841,0,0.000,0,768
40,551,1024,0.5381,23.634,42.312,0,0.000,0,768
41,552,1024,0.5391,23.462,42.622,0,0.000,0,768
42,553,1024,0.5400,23.117,43.258,0,0.000,0,768
43,554,1024,0.5410,23.218,43.070,0,0.000,0,768
44,555,1024,0.5420,24.049,41.582,0,0.000,0,768
45,556,1024,0.5430,23.407,42.722,0,0.000,0,768
46,557,1024,0.5439,23.173,43.154,0,0.000,0,768
47,558,1024,0.5449,23.931,41.787,0,0.000,0,768
48,559,1024,0.5459,24.174,41.367,0,0.000,0,768
49,560,1024,0.5469,23.094,43.301,0,0.000,0,768
50,561,1024,0.5479,23.496,42.560,0,0.000,0,768
51,562,1024,0.5488,23.619,42.339,0,0.000,0,768
52,563,1024,0.5498,23.763,42.082,0,0.000,0,768
53,564,1024,0.5508,23.374,42.783,0,0.000,0,768
54,565,1024,0.5518,23.615,42.346,0,0.000,0,768
55,566,1024,0.5527,23.711,42.175,0,0.000,0,768
56,567,1024,0.5537,23.201,43.102,0,0.000,0,768
57,568,1024,0.5547,23.601,42.371,0,0.000,0,768
58,569,1024,0.5557,24.115,41.468,0,0.000,0,768
59,570,1024,0.5566,24.427,40.938,0,0.000,0,768
60,571,1024,0.5576,23.912,41.820,0,0.000,0,768
61,572,1024,0.5586,23.713,42.171,0,0.000,0,768
62,573,1024,0.5596,23.732,42.137,0,0.000,0,768
63,574,1024,0.5605,23.596,42.380,0,0.000,0,768
64,575,1024,0.5615,23.704,42.187,0,0.000,0,768
65,576,1024,0.5625,23.905,41.832,0,0.000,0,768
66,577,1024,0.5635,23.919,41.808,0,0.000,0,768
67,578,1024,0.5645,23.675,42.239,0,0.000,0,768
68,579,1024,0.5654,23.916,41.813,0,0.000,0,768
69,580,1024,0.5664,23.855,41.920,0,0.000,0,768
70,581,1024,0.5674,23.849,41.930,0,0.000,0,768
71,582,1024,0.5684,23.491,42.569,0,0.000,0,768
72,583,1024,0.5693,24.256,41.227,0,0.000,0,768
73,584,1024,0.5703,24.078,41.532,0,0.000,0,768
74,585,1024,0.5713,24.322,41.115,0,0.000,0,768
75,586,1024,0.5723,24.318,41.122,0,0.000,0,768
76,587,1024,0.5732,24.578,40.687,0,0.000,0,768
77,588,1024,0.5742,24.243,41.249,0,0.000,0,768
78,589,1024,0.5752,24.175,41.365,0,0.000,0,768
79,590,1024,0.5762,24.680,40.519,0,0.000,0,768
