step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
1,512,1024,0.5000,1295.249,395.291,0,0.000,0,512
2,513,1024,0.5010,27.769,36.011,0,0.000,0,768
3,514,1024,0.5020,23.211,43.083,0,0.000,0,768
4,515,1024,0.5029,24.035,41.606,0,0.000,0,768
5,516,1024,0.5039,23.385,42.762,0,0.000,0,768
6,517,1024,0.5049,23.892,41.855,0,0.000,0,768
7,518,1024,0.5059,24.457,40.888,0,0.000,0,768
8,519,1024,0.5068,24.592,40.664,0,0.000,0,768
9,520,1024,0.5078,24.545,40.741,0,0.000,0,768
10,521,1024,0.5088,23.458,42.629,0,0.000,0,768
11,522,1024,0.5098,23.491,42.569,0,0.000,0,768
12,523,1024,0.5107,23.093,43.303,0,0.000,0,768
13,524,1024,0.5117,23.518,42.521,0,0.000,0,768
14,525,1024,0.5127,23.422,42.695,0,0.000,0,768
15,526,1024,0.5137,23.112,43.268,0,0.000,0,768
16,527,1024,0.5146,23.252,43.007,0,0.000,0,768
17,528,1024,0.5156,23.486,42.579,0,0.000,0,768
18,529,1024,0.5166,23.987,41.689,0,0.000,0,768
19,530,1024,0.5176,23.180,43.141,0,0.000,0,768
20,531,1024,0.5186,23.419,42.700,0,0.000,0,768
21,532,1024,0.5195,23.385,42.762,0,0.000,0,768
22,533,1024,0.5205,23.309,42.902,0,0.000,0,768
23,534,1024,0.5215,23.705,42.185,0,0.000,0,768
24,535,1024,0.5225,23.491,42.569,0,0.000,0,768
25,536,1024,0.5234,23.426,42.688,0,0.000,0,768
26,537,1024,0.5244,23.204,43.096,0,0.000,0,768
27,538,1024,0.5254,23.492,42.568,0,0.000,0,768
28,539,1024,0.5264,23.414,42.709,0,0.000,0,768
29,540,1024,0.5273,23.071,43.344,0,0.000,0,768
30,541,1024,0.5283,24.044,41.590,0,0.000,0,768
31,542,1024,0.5293,23.941,41.769,0,0.000,0,768
32,543,1024,0.5303,23.850,41.929,0,0.000,0,768
33,544,1024,0.5312,24.242,41.251,0,0.000,0,768
34,545,1024,0.5322,26.319,37.995,0,0.000,0,768
35,546,1024,0.5332,23.453,42.638,0,0.000,0,768
36,547,1024,0.5342,23.084,43.320,0,0.000,0,768
37,548,1024,0.5352,23.407,42.722,0,0.000,0,768
38,549,1024,0.5361,23.405,42.726,0,0.000,0,768
39,550,1024,0.5371,23.417,42.704,0,0.000,0,768
40,551,1024,0.5381,23.057,43.371,0,0.000,0,768
41,552,1024,0.5391,23.482,42.586,0,0.000,0,768
42,553,1024,0.5400,23.496,42.560,0,0.000,0,768
43,554,1024,0.5410,23.897,41.846,0,0.000,0,768
44,555,1024,0.5420,23.677,42.235,0,0.000,0,768
45,556,1024,0.5430,23.500,42.553,0,0.000,0,768
46,557,1024,0.5439,23.436,42.669,0,0.000,0,768
47,558,1024,0.5449,23.064,43.358,0,0.000,0,768
48,559,1024,0.5459,23.805,42.008,0,0.000,0,768
49,560,1024,0.5469,23.380,42.772,0,0.000,0,768
50,561,1024,0.5479,23.104,43.283,0,0.000,0,768
51,562,1024,0.5488,23.504,42.546,0,0.000,0,768
52,563,1024,0.5498,23.652,42.280,0,0.000,0,768
53,564,1024,0.5508,23.130,43.234,0,0.000,0,768
54,565,1024,0.5518,23.418,42.702,0,0.000,0,768
55,566,1024,0.5527,23.388,42.757,0,0.000,0,768
56,567,1024,0.5537,23.719,42.160,0,0.000,0,768
57,568,1024,0.5547,23.745,42.114,0,0.000,0,768
58,569,1024,0.5557,23.445,42.653,0,0.000,0,768
59,570,1024,0.5566,23.401,42.733,0,0.000,0,768
60,571,1024,0.5576,23.481,42.588,0,0.000,0,768
61,572,1024,0.5586,23.430,42.680,0,0.000,0,768
62,573,1024,0.5596,23.381,42.770,0,0.000,0,768
63,574,1024,0.5605,23.351,42.825,0,0.000,0,768
64,575,1024,0.5615,23.364,42.801,0,0.000,0,768
65,576,1024,0.5625,23.467,42.613,0,0.000,0,768
66,577,1024,0.5635,23.376,42.779,0,0.000,0,768
67,578,1024,0.5645,23.171,43.157,0,0.000,0,768
68,579,1024,0.5654,23.513,42.530,0,0.000,0,768
69,580,1024,0.5664,23.664,42.258,0,0.000,0,768
70,581,1024,0.5674,24.023,41.627,0,0.000,0,768
71,582,1024,0.5684,23.077,43.333,0,0.000,0,768
72,583,1024,0.5693,23.325,42.872,0,0.000,0,768
73,584,1024,0.5703,23.834,41.957,0,0.000,0,768
74,585,1024,0.5713,23.269,42.976,0,0.000,0,768
75,586,1024,0.5723,23.524,42.510,0,0.000,0,768
76,587,1024,0.5732,23.513,42.530,0,0.000,0,768
77,588,1024,0.5742,23.171,43.157,0,0.000,0,768
78,589,1024,0.5752,23.524,42.510,0,0.000,0,768
79,590,1024,0.5762,23.466,42.615,0,0.000,0,768
80,591,1024,0.5771,23.474,42.600,0,0.000,0,768
81,592,1024,0.5781,23.349,42.828,0,0.000,0,768
82,593,1024,0.5791,23.699,42.196,0,0.000,0,768
83,594,1024,0.5801,23.905,41.832,0,0.000,0,768
84,595,1024,0.5811,23.051,43.382,0,0.000,0,768
85,596,1024,0.5820,23.827,41.969,0,0.000,0,768
86,597,1024,0.5830,23.361,42.806,0,0.000,0,768
87,598,1024,0.5840,23.421,42.697,0,0.000,0,768
88,599,1024,0.5850,23.083,43.322,0,0.000,0,768
89,600,1024,0.5859,23.637,42.307,0,0.000,0,768
90,601,1024,0.5869,23.459,42.628,0,0.000,0,768
91,602,1024,0.5879,23.226,43.055,0,0.000,0,768
92,603,1024,0.5889,23.546,42.470,0,0.000,0,768
93,604,1024,0.5898,23.541,42.479,0,0.000,0,768
94,605,1024,0.5908,23.169,43.161,0,0.000,0,768
95,606,1024,0.5918,23.388,42.757,0,0.000,0,768
96,607,1024,0.5928,23.794,42.027,0,0.000,0,768
97,608,1024,0.5938,23.973,41.714,0,0.000,0,768
98,609,1024,0.5947,23.065,43.356,0,0.000,0,768
99,610,1024,0.5957,23.402,42.731,0,0.000,0,768
100,611,1024,0.5967,23.373,42.784,0,0.000,0,768
101,612,1024,0.5977,23.326,42.871,0,0.000,0,768
102,613,1024,0.5986,23.511,42.533,0,0.000,0,768
103,614,1024,0.5996,23.474,42.600,0,0.000,0,768
104,615,1024,0.6006,23.388,42.757,0,0.000,0,768
105,616,1024,0.6016,23.546,42.470,0,0.000,0,768
106,617,1024,0.6025,23.655,42.274,0,0.000,0,768
107,618,1024,0.6035,23.653,42.278,0,0.000,0,768
108,619,1024,0.6045,23.670,42.248,0,0.000,0,768
109,620,1024,0.6055,24.322,41.115,0,0.000,0,768
110,621,1024,0.6064,23.989,41.686,0,0.000,0,768
111,622,1024,0.6074,23.809,42.001,0,0.000,0,768
