step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
1,512,2048,0.2500,1304.568,392.467,0,0.000,0,512
2,513,2048,0.2505,24.440,40.917,0,0.000,0,768
3,514,2048,0.2510,23.693,42.207,0,0.000,0,768
4,515,2048,0.2515,22.992,43.493,0,0.000,0,768
5,516,2048,0.2520,23.664,42.258,0,0.000,0,768
6,517,2048,0.2524,24.045,41.589,0,0.000,0,768
7,518,2048,0.2529,24.220,41.288,0,0.000,0,768
8,519,2048,0.2534,23.346,42.834,0,0.000,0,768
9,520,2048,0.2539,23.302,42.915,0,0.000,0,768
10,521,2048,0.2544,23.353,42.821,0,0.000,0,768
11,522,2048,0.2549,22.964,43.546,0,0.000,0,768
12,523,2048,0.2554,23.350,42.827,0,0.000,0,768
13,524,2048,0.2559,23.249,43.013,0,0.000,0,768
14,525,2048,0.2563,23.041,43.401,0,0.000,0,768
15,526,2048,0.2568,24.014,41.642,0,0.000,0,768
16,527,2048,0.2573,23.342,42.841,0,0.000,0,768
17,528,2048,0.2578,23.311,42.898,0,0.000,0,768
18,529,2048,0.2583,23.019,43.442,0,0.000,0,768
19,530,2048,0.2588,23.318,42.885,0,0.000,0,768
20,531,2048,0.2593,23.342,42.841,0,0.000,0,768
21,532,2048,0.2598,22.975,43.526,0,0.000,0,768
22,533,2048,0.2603,23.556,42.452,0,0.000,0,768
23,534,2048,0.2607,23.423,42.693,0,0.000,0,768
24,535,2048,0.2612,22.991,43.495,0,0.000,0,768
25,536,2048,0.2617,23.382,42.768,0,0.000,0,768
26,537,2048,0.2622,23.597,42.378,0,0.000,0,768
27,538,2048,0.2627,23.246,43.018,0,0.000,0,768
28,539,2048,0.2632,23.384,42.764,0,0.000,0,768
29,540,2048,0.2637,23.717,42.164,0,0.000,0,768
30,541,2048,0.2642,23.390,42.753,0,0.000,0,768
31,542,2048,0.2646,23.610,42.355,0,0.000,0,768
32,543,2048,0.2651,23.464,42.618,0,0.000,0,768
33,544,2048,0.2656,23.392,42.750,0,0.000,0,768
34,545,2048,0.2661,23.170,43.159,0,0.000,0,768
35,546,2048,0.2666,23.678,42.233,0,0.000,0,768
36,547,2048,0.2671,23.591,42.389,0,0.000,0,768
37,548,2048,0.2676,23.495,42.562,0,0.000,0,768
38,549,2048,0.2681,23.160,43.178,0,0.000,0,768
39,550,2048,0.2686,23.473,42.602,0,0.000,0,768
40,551,2048,0.2690,23.456,42.633,0,0.000,0,768
41,552,2048,0.2695,23.196,43.111,0,0.000,0,768
42,553,2048,0.2700,23.691,42.210,0,0.000,0,768
43,554,2048,0.2705,23.983,41.696,0,0.000,0,768
44,555,2048,0.2710,23.188,43.126,0,0.000,0,768
45,556,2048,0.2715,23.046,43.391,0,0.000,0,768
46,557,2048,0.2720,23.431,42.679,0,0.000,0,768
47,558,2048,0.2725,23.783,42.047,0,0.000,0,768
48,559,2048,0.2729,23.077,43.333,0,0.000,0,768
49,560,2048,0.2734,23.343,42.839,0,0.000,0,768
50,561,2048,0.2739,23.303,42.913,0,0.000,0,768
51,562,2048,0.2744,23.372,42.786,0,0.000,0,768
52,563,2048,0.2749,23.495,42.562,0,0.000,0,768
53,564,2048,0.2754,23.482,42.586,0,0.000,0,768
54,565,2048,0.2759,23.465,42.617,0,0.000,0,768
55,566,2048,0.2764,23.201,43.102,0,0.000,0,768
56,567,2048,0.2769,23.345,42.836,0,0.000,0,768
57,568,2048,0.2773,23.489,42.573,0,0.000,0,768
58,569,2048,0.2778,23.036,43.410,0,0.000,0,768
59,570,2048,0.2783,23.277,42.961,0,0.000,0,768
60,571,2048,0.2788,23.228,43.051,0,0.000,0,768
61,572,2048,0.2793,23.817,41.987,0,0.000,0,768
62,573,2048,0.2798,23.478,42.593,0,0.000,0,768
63,574,2048,0.2803,23.551,42.461,0,0.000,0,768
64,575,2048,0.2808,23.094,43.301,0,0.000,0,768
65,576,2048,0.2812,23.199,43.105,0,0.000,0,768
66,577,2048,0.2817,23.221,43.064,0,0.000,0,768
67,578,2048,0.2822,23.501,42.551,0,0.000,0,768
