step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
1,512,1024,0.5000,1448.433,353.485,0,0.000,0,512
2,513,1024,0.5010,26.514,37.716,0,0.000,0,768
3,514,1024,0.5020,24.609,40.636,0,0.000,0,768
4,515,1024,0.5029,24.749,40.406,0,0.000,0,768
5,516,1024,0.5039,24.035,41.606,0,0.000,0,768
6,517,1024,0.5049,23.586,42.398,0,0.000,0,768
7,518,1024,0.5059,23.804,42.010,0,0.000,0,768
8,519,1024,0.5068,24.119,41.461,0,0.000,0,768
9,520,1024,0.5078,23.553,42.457,0,0.000,0,768
10,521,1024,0.5088,23.777,42.057,0,0.000,0,768
11,522,1024,0.5098,23.693,42.207,0,0.000,0,768
12,523,1024,0.5107,24.331,41.100,0,0.000,0,768
13,524,1024,0.5117,23.939,41.773,0,0.000,0,768
14,525,1024,0.5127,23.857,41.916,0,0.000,0,768
15,526,1024,0.5137,23.886,41.866,0,0.000,0,768
16,527,1024,0.5146,24.322,41.115,0,0.000,0,768
17,528,1024,0.5156,23.626,42.326,0,0.000,0,768
18,529,1024,0.5166,23.650,42.283,0,0.000,0,768
19,530,1024,0.5176,23.591,42.389,0,0.000,0,768
20,531,1024,0.5186,23.488,42.575,0,0.000,0,768
21,532,1024,0.5195,23.718,42.162,0,0.000,0,768
22,533,1024,0.5205,23.622,42.333,0,0.000,0,768
23,534,1024,0.5215,23.566,42.434,0,0.000,0,768
24,535,1024,0.5225,23.324,42.874,0,0.000,0,768
25,536,1024,0.5234,23.619,42.339,0,0.000,0,768
26,537,1024,0.5244,23.709,42.178,0,0.000,0,768
27,538,1024,0.5254,23.411,42.715,0,0.000,0,768
28,539,1024,0.5264,23.957,41.741,0,0.000,0,768
29,540,1024,0.5273,24.132,41.439,0,0.000,0,768
30,541,1024,0.5283,23.487,42.577,0,0.000,0,768
31,542,1024,0.5293,23.396,42.742,0,0.000,0,768
32,543,1024,0.5303,24.623,40.612,0,0.000,0,768
33,544,1024,0.5312,23.825,41.973,0,0.000,0,768
34,545,1024,0.5322,23.274,42.966,0,0.000,0,768
35,546,1024,0.5332,23.612,42.351,0,0.000,0,768
36,547,1024,0.5342,23.960,41.736,0,0.000,0,768
37,548,1024,0.5352,23.726,42.148,0,0.000,0,768
38,549,1024,0.5361,23.722,42.155,0,0.000,0,768
39,550,1024,0.5371,23.833,41.959,0,0.000,0,768
40,551,1024,0.5381,23.759,42.089,0,0.000,0,768
41,552,1024,0.5391,23.349,42.828,0,0.000,0,768
42,553,1024,0.5400,24.138,41.428,0,0.000,0,768
43,554,1024,0.5410,23.924,41.799,0,0.000,0,768
44,555,1024,0.5420,23.990,41.684,0,0.000,0,768
45,556,1024,0.5430,23.284,42.948,0,0.000,0,768
46,557,1024,0.5439,23.657,42.271,0,0.000,0,768
47,558,1024,0.5449,23.875,41.885,0,0.000,0,768
48,559,1024,0.5459,23.348,42.830,0,0.000,0,768
49,560,1024,0.5469,23.816,41.989,0,0.000,0,768
50,561,1024,0.5479,23.815,41.990,0,0.000,0,768
51,562,1024,0.5488,24.142,41.422,0,0.000,0,768
52,563,1024,0.5498,23.561,42.443,0,0.000,0,768
53,564,1024,0.5508,23.422,42.695,0,0.000,0,768
54,565,1024,0.5518,23.676,42.237,0,0.000,0,768
55,566,1024,0.5527,24.383,41.012,0,0.000,0,768
56,567,1024,0.5537,24.064,41.556,0,0.000,0,768
57,568,1024,0.5547,23.827,41.969,0,0.000,0,768
58,569,1024,0.5557,23.786,42.042,0,0.000,0,768
59,570,1024,0.5566,23.783,42.047,0,0.000,0,768
60,571,1024,0.5576,24.771,40.370,0,0.000,0,768
61,572,1024,0.5586,23.893,41.853,0,0.000,0,768
62,573,1024,0.5596,23.622,42.333,0,0.000,0,768
63,574,1024,0.5605,24.092,41.508,0,0.000,0,768
64,575,1024,0.5615,24.017,41.637,0,0.000,0,768
65,576,1024,0.5625,24.210,41.305,0,0.000,0,768
66,577,1024,0.5635,23.599,42.375,0,0.000,0,768
67,578,1024,0.5645,24.728,40.440,0,0.000,0,768
68,579,1024,0.5654,24.395,40.992,0,0.000,0,768
69,580,1024,0.5664,24.122,41.456,0,0.000,0,768
70,581,1024,0.5674,23.798,42.020,0,0.000,0,768
71,582,1024,0.5684,24.359,41.053,0,0.000,0,768
72,583,1024,0.5693,23.998,41.670,0,0.000,0,768
73,584,1024,0.5703,24.299,41.154,0,0.000,0,768
74,585,1024,0.5713,24.592,40.664,0,0.000,0,768
75,586,1024,0.5723,24.454,40.893,0,0.000,0,768
76,587,1024,0.5732,24.254,41.230,0,0.000,0,768
77,588,1024,0.5742,24.258,41.224,0,0.000,0,768
78,589,1024,0.5752,24.700,40.486,0,0.000,0,768
79,590,1024,0.5762,25.061,39.903,0,0.000,0,768
80,591,1024,0.5771,24.719,40.455,0,0.000,0,768
81,592,1024,0.5781,24.922,40.125,0,0.000,0,768
82,593,1024,0.5791,25.150,39.761,0,0.000,0,768
83,594,1024,0.5801,25.255,39.596,0,0.000,0,768
84,595,1024,0.5811,25.311,39.509,0,0.000,0,768
85,596,1024,0.5820,24.981,40.030,0,0.000,0,768
86,597,1024,0.5830,25.648,38.989,0,0.000,0,768
87,598,1024,0.5840,25.604,39.056,0,0.000,0,768
88,599,1024,0.5850,25.878,38.643,0,0.000,0,768
89,600,1024,0.5859,25.770,38.805,0,0.000,0,768
90,601,1024,0.5869,25.429,39.325,0,0.000,0,768
91,602,1024,0.5879,26.124,38.279,0,0.000,0,768
92,603,1024,0.5889,26.560,37.651,0,0.000,0,768
93,604,1024,0.5898,26.693,37.463,0,0.000,0,768
94,605,1024,0.5908,26.615,37.573,0,0.000,0,768
95,606,1024,0.5918,26.461,37.791,0,0.000,0,768
96,607,1024,0.5928,26.674,37.490,0,0.000,0,768
97,608,1024,0.5938,26.963,37.088,0,0.000,0,768
98,609,1024,0.5947,27.491,36.376,0,0.000,0,768
99,610,1024,0.5957,27.605,36.225,0,0.000,0,768
100,611,1024,0.5967,27.442,36.440,0,0.000,0,768
101,612,1024,0.5977,28.149,35.525,0,0.000,0,768
102,613,1024,0.5986,28.128,35.552,0,0.000,0,768
103,614,1024,0.5996,28.324,35.306,0,0.000,0,768
104,615,1024,0.6006,29.105,34.358,0,0.000,0,768
105,616,1024,0.6016,29.005,34.477,0,0.000,0,768
106,617,1024,0.6025,28.906,34.595,0,0.000,0,768
107,618,1024,0.6035,28.996,34.488,0,0.000,0,768
108,619,1024,0.6045,29.751,33.612,0,0.000,0,768
109,620,1024,0.6055,29.956,33.382,0,0.000,0,768
110,621,1024,0.6064,30.377,32.920,0,0.000,0,768
111,622,1024,0.6074,30.096,33.227,0,0.000,0,768
112,623,1024,0.6084,31.106,32.148,0,0.000,0,768
113,624,1024,0.6094,30.811,32.456,0,0.000,0,768
114,625,1024,0.6104,30.696,32.578,0,0.000,0,768
115,626,1024,0.6113,31.538,31.708,0,0.000,0,768
116,627,1024,0.6123,31.278,31.971,0,0.000,0,768
117,628,1024,0.6133,31.376,31.871,0,0.000,0,768
118,629,1024,0.6143,31.814,31.433,0,0.000,0,768
119,630,1024,0.6152,31.907,31.341,0,0.000,0,768
120,631,1024,0.6162,31.996,31.254,0,0.000,0,768
121,632,1024,0.6172,32.201,31.055,0,0.000,0,768
122,633,1024,0.6182,32.160,31.095,0,0.000,0,768
123,634,1024,0.6191,32.201,31.055,0,0.000,0,768
124,635,1024,0.6201,31.925,31.323,0,0.000,0,768
125,636,1024,0.6211,32.078,31.174,0,0.000,0,768
126,637,1024,0.6221,33.076,30.233,0,0.000,0,768
127,638,1024,0.6230,32.741,30.543,0,0.000,0,768
128,639,1024,0.6240,32.459,30.808,0,0.000,0,768
129,640,1024,0.6250,32.701,30.580,0,0.000,0,768
130,641,1024,0.6260,32.944,30.355,0,0.000,0,768
131,642,1024,0.6270,33.057,30.251,0,0.000,0,768
132,643,1024,0.6279,32.999,30.304,0,0.000,0,768
133,644,1024,0.6289,33.866,29.528,0,0.000,0,768
134,645,1024,0.6299,33.153,30.163,0,0.000,0,768
135,646,1024,0.6309,32.475,30.793,0,0.000,0,768
136,647,1024,0.6318,33.470,29.878,0,0.000,0,768
137,648,1024,0.6328,32.663,30.616,0,0.000,0,768
138,649,1024,0.6338,32.595,30.680,0,0.000,0,768
139,650,1024,0.6348,32.632,30.645,0,0.000,0,768
140,651,1024,0.6357,32.514,30.756,0,0.000,0,768
141,652,1024,0.6367,32.558,30.714,0,0.000,0,768
142,653,1024,0.6377,32.816,30.473,0,0.000,0,768
143,654,1024,0.6387,32.839,30.452,0,0.000,0,768
144,655,1024,0.6396,32.696,30.585,0,0.000,0,768
145,656,1024,0.6406,32.593,30.681,0,0.000,0,768
146,657,1024,0.6416,32.805,30.483,0,0.000,0,768
147,658,1024,0.6426,31.998,31.252,0,0.000,0,768
148,659,1024,0.6436,32.339,30.922,0,0.000,0,768
149,660,1024,0.6445,31.685,31.561,0,0.000,0,768
150,661,1024,0.6455,32.125,31.128,0,0.000,0,768
151,662,1024,0.6465,32.299,30.961,0,0.000,0,768
152,663,1024,0.6475,31.756,31.490,0,0.000,0,768
153,664,1024,0.6484,31.971,31.278,0,0.000,0,768
154,665,1024,0.6494,31.600,31.646,0,0.000,0,768
155,666,1024,0.6504,31.791,31.455,0,0.000,0,768
156,667,1024,0.6514,31.688,31.558,0,0.000,0,768
157,668,1024,0.6523,37.007,27.022,0,0.000,0,768
158,669,1024,0.6533,41.368,24.173,0,0.000,0,768
159,670,1024,0.6543,40.830,24.492,0,0.000,0,768
160,671,1024,0.6553,51.982,19.237,0,0.000,0,768
161,672,1024,0.6562,33.999,29.413,0,0.000,0,768
162,673,1024,0.6572,31.689,31.557,0,0.000,0,768
163,674,1024,0.6582,30.927,32.334,0,0.000,0,768
164,675,1024,0.6592,30.728,32.544,0,0.000,0,768
165,676,1024,0.6602,31.423,31.824,0,0.000,0,768
166,677,1024,0.6611,30.842,32.423,0,0.000,0,768
167,678,1024,0.6621,30.501,32.786,0,0.000,0,768
168,679,1024,0.6631,30.486,32.802,0,0.000,0,768
169,680,1024,0.6641,30.130,33.190,0,0.000,0,768
170,681,1024,0.6650,30.537,32.747,0,0.000,0,768
171,682,1024,0.6660,30.321,32.980,0,0.000,0,768
172,683,1024,0.6670,30.298,33.005,0,0.000,0,768
173,684,1024,0.6680,29.956,33.382,0,0.000,0,768
174,685,1024,0.6689,30.002,33.331,0,0.000,0,768
175,686,1024,0.6699,30.203,33.109,0,0.000,0,768
176,687,1024,0.6709,29.274,34.160,0,0.000,0,768
177,688,1024,0.6719,29.923,33.419,0,0.000,0,768
178,689,1024,0.6729,29.041,34.434,0,0.000,0,768
179,690,1024,0.6738,29.734,33.632,0,0.000,0,768
180,691,1024,0.6748,29.143,34.314,0,0.000,0,768
181,692,1024,0.6758,29.816,33.539,0,0.000,0,768
182,693,1024,0.6768,29.141,34.316,0,0.000,0,768
183,694,1024,0.6777,28.992,34.492,0,0.000,0,768
184,695,1024,0.6787,29.228,34.214,0,0.000,0,768
185,696,1024,0.6797,29.123,34.337,0,0.000,0,768
186,697,1024,0.6807,29.017,34.463,0,0.000,0,768
187,698,1024,0.6816,28.706,34.836,0,0.000,0,768
188,699,1024,0.6826,28.236,35.416,0,0.000,0,768
189,700,1024,0.6836,29.485,33.916,0,0.000,0,768
190,701,1024,0.6846,28.420,35.186,0,0.000,0,768
191,702,1024,0.6855,28.447,35.153,0,0.000,0,768
192,703,1024,0.6865,28.635,34.922,0,0.000,0,768
193,704,1024,0.6875,28.397,35.215,0,0.000,0,768
194,705,1024,0.6885,28.432,35.172,0,0.000,0,768
195,706,1024,0.6895,28.632,34.926,0,0.000,0,768
196,707,1024,0.6904,29.660,33.715,0,0.000,0,768
197,708,1024,0.6914,28.246,35.403,0,0.000,0,768
198,709,1024,0.6924,28.295,35.342,0,0.000,0,768
199,710,1024,0.6934,27.792,35.982,0,0.000,0,768
200,711,1024,0.6943,29.400,34.014,0,0.000,0,768
201,712,1024,0.6953,28.011,35.700,0,0.000,0,768
202,713,1024,0.6963,27.823,35.941,0,0.000,0,768
203,714,1024,0.6973,28.716,34.824,0,0.000,0,768
204,715,1024,0.6982,27.910,35.829,0,0.000,0,768
205,716,1024,0.6992,28.434,35.169,0,0.000,0,768
206,717,1024,0.7002,32.553,30.719,0,0.000,0,768
207,718,1024,0.7012,28.261,35.384,0,0.000,0,768
208,719,1024,0.7021,30.619,32.659,0,0.000,0,768
209,720,1024,0.7031,27.764,36.018,0,0.000,0,768
210,721,1024,0.7041,27.278,36.660,0,0.000,0,768
211,722,1024,0.7051,28.822,34.696,0,0.000,0,768
212,723,1024,0.7061,40.885,24.459,0,0.000,0,768
213,724,1024,0.7070,30.633,32.645,0,0.000,0,768
214,725,1024,0.7080,26.991,37.049,0,0.000,0,768
215,726,1024,0.7090,27.815,35.952,0,0.000,0,768
216,727,1024,0.7100,27.856,35.899,0,0.000,0,768
217,728,1024,0.7109,27.212,36.748,0,0.000,0,768
218,729,1024,0.7119,27.258,36.686,0,0.000,0,768
219,730,1024,0.7129,31.152,32.101,0,0.000,0,768
220,731,1024,0.7139,26.720,37.425,0,0.000,0,768
221,732,1024,0.7148,27.201,36.763,0,0.000,0,768
222,733,1024,0.7158,27.072,36.939,0,0.000,0,768
223,734,1024,0.7168,27.011,37.022,0,0.000,0,768
224,735,1024,0.7178,26.999,37.038,0,0.000,0,768
225,736,1024,0.7188,26.861,37.229,0,0.000,0,768
226,737,1024,0.7197,28.056,35.643,0,0.000,0,768
227,738,1024,0.7207,28.012,35.699,0,0.000,0,768
228,739,1024,0.7217,28.248,35.401,0,0.000,0,768
229,740,1024,0.7227,26.938,37.122,0,0.000,0,768
230,741,1024,0.7236,29.113,34.349,0,0.000,0,768
231,742,1024,0.7246,30.253,33.055,0,0.000,0,768
232,743,1024,0.7256,27.404,36.491,0,0.000,0,768
233,744,1024,0.7266,31.183,32.069,0,0.000,0,768
234,745,1024,0.7275,30.321,32.980,0,0.000,0,768
235,746,1024,0.7285,28.254,35.393,0,0.000,0,768
236,747,1024,0.7295,28.320,35.311,0,0.000,0,768
237,748,1024,0.7305,27.194,36.773,0,0.000,0,768
238,749,1024,0.7314,27.034,36.990,0,0.000,0,768
239,750,1024,0.7324,27.355,36.556,0,0.000,0,768
240,751,1024,0.7334,34.526,28.964,0,0.000,0,768
241,752,1024,0.7344,28.010,35.702,0,0.000,0,768
242,753,1024,0.7354,27.224,36.732,0,0.000,0,768
243,754,1024,0.7363,29.036,34.440,0,0.000,0,768
244,755,1024,0.7373,27.203,36.761,0,0.000,0,768
245,756,1024,0.7383,27.073,36.937,0,0.000,0,768
246,757,1024,0.7393,27.435,36.450,0,0.000,0,768
247,758,1024,0.7402,27.326,36.595,0,0.000,0,768
248,759,1024,0.7412,27.155,36.826,0,0.000,0,768
249,760,1024,0.7422,29.955,33.383,0,0.000,0,768
250,761,1024,0.7432,27.209,36.753,0,0.000,0,768
251,762,1024,0.7441,28.790,34.734,0,0.000,0,768
252,763,1024,0.7451,28.224,35.431,0,0.000,0,768
253,764,1024,0.7461,27.809,35.960,0,0.000,0,768
254,765,1024,0.7471,28.514,35.070,0,0.000,0,768
255,766,1024,0.7480,27.325,36.597,0,0.000,0,768
256,767,1024,0.7490,27.457,36.421,0,0.000,0,768
257,768,1024,0.7500,28.446,35.154,0,0.000,0,768
258,769,1024,0.7510,31.139,32.114,0,0.000,0,1024
259,770,1024,0.7520,28.860,34.650,0,0.000,0,1024
