step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1144.289,447.439,0,0.000
2,1024,1024,1.0000,1198.633,427.153,0,0.000
3,1024,1024,1.0000,1158.451,441.969,1,0.000
4,1024,1024,1.0000,1160.952,441.017,1,0.000
5,1024,1024,1.0000,1170.839,437.293,1,0.000
6,1024,1024,1.0000,1181.078,433.502,1,0.000
7,1024,1024,1.0000,1193.336,429.049,1,0.000
8,1024,1024,1.0000,605.414,412.941,1,0.000
9,1024,1024,1.0000,28.000,35.714,1,0.000
10,1024,1024,1.0000,23.860,41.911,1,0.000
11,1024,1024,1.0000,23.759,42.089,1,0.000
12,1024,1024,1.0000,23.765,42.079,1,0.000
13,1024,1024,1.0000,23.740,42.123,1,0.000
14,1024,1024,1.0000,23.698,42.198,1,0.000
15,1024,1024,1.0000,23.636,42.308,1,0.000
16,1024,1024,1.0000,23.587,42.396,1,0.000
17,1024,1024,1.0000,23.644,42.294,1,0.000
18,1024,1024,1.0000,23.679,42.232,1,0.000
19,1024,1024,1.0000,23.661,42.264,1,0.000
20,1024,1024,1.0000,23.698,42.198,1,0.000
21,1024,1024,1.0000,23.780,42.052,1,0.000
22,1024,1024,1.0000,23.714,42.169,1,0.000
23,1024,1024,1.0000,23.923,41.801,1,0.000
24,1024,1024,1.0000,23.729,42.143,1,0.000
25,1024,1024,1.0000,23.780,42.052,1,0.000
26,1024,1024,1.0000,24.067,41.551,1,0.000
27,1024,1024,1.0000,23.721,42.157,1,0.000
28,1024,1024,1.0000,23.688,42.215,1,0.000
29,1024,1024,1.0000,24.028,41.618,1,0.000
30,1024,1024,1.0000,24.740,40.420,1,0.000
31,1024,1024,1.0000,23.653,42.278,1,0.000
32,1024,1024,1.0000,23.751,42.103,1,0.000
33,1024,1024,1.0000,23.550,42.463,1,0.000
34,1024,1024,1.0000,24.718,40.456,1,0.000
35,1024,1024,1.0000,24.802,40.319,1,0.000
36,1024,1024,1.0000,23.772,42.066,1,0.000
37,1024,1024,1.0000,25.131,39.791,1,0.000
38,1024,1024,1.0000,24.033,41.609,1,0.000
39,1024,1024,1.0000,23.750,42.105,1,0.000
