step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1141.384,448.578,0,0.000
2,1024,1024,1.0000,1193.478,428.998,0,0.000
3,1024,1024,1.0000,1155.140,443.236,1,0.000
4,1024,1024,1.0000,1152.678,444.183,1,0.000
5,1024,1024,1.0000,1155.572,443.071,1,0.000
6,1024,1024,1.0000,1158.079,442.111,1,0.000
7,1024,1024,1.0000,1157.802,442.217,1,0.000
8,1024,1024,1.0000,589.255,424.265,1,0.000
9,1024,1024,1.0000,28.101,35.586,1,0.000
10,1024,1024,1.0000,23.829,41.966,1,0.000
11,1024,1024,1.0000,23.672,42.244,1,0.000
12,1024,1024,1.0000,23.811,41.997,1,0.000
13,1024,1024,1.0000,23.621,42.335,1,0.000
14,1024,1024,1.0000,23.641,42.299,1,0.000
15,1024,1024,1.0000,24.386,41.007,1,0.000
16,1024,1024,1.0000,24.349,41.069,1,0.000
17,1024,1024,1.0000,23.810,41.999,1,0.000
18,1024,1024,1.0000,24.017,41.637,1,0.000
19,1024,1024,1.0000,24.125,41.451,1,0.000
20,1024,1024,1.0000,23.850,41.929,1,0.000
21,1024,1024,1.0000,23.768,42.073,1,0.000
22,1024,1024,1.0000,23.562,42.441,1,0.000
23,1024,1024,1.0000,23.584,42.402,1,0.000
24,1024,1024,1.0000,23.560,42.445,1,0.000
25,1024,1024,1.0000,23.701,42.192,1,0.000
26,1024,1024,1.0000,23.621,42.335,1,0.000
27,1024,1024,1.0000,23.583,42.403,1,0.000
28,1024,1024,1.0000,23.633,42.314,1,0.000
29,1024,1024,1.0000,23.669,42.249,1,0.000
30,1024,1024,1.0000,24.544,40.743,1,0.000
31,1024,1024,1.0000,24.129,41.444,1,0.000
32,1024,1024,1.0000,23.973,41.714,1,0.000
33,1024,1024,1.0000,23.874,41.887,1,0.000
34,1024,1024,1.0000,23.885,41.867,1,0.000
35,1024,1024,1.0000,23.934,41.782,1,0.000
36,1024,1024,1.0000,24.732,40.433,1,0.000
37,1024,1024,1.0000,24.378,41.021,1,0.000
38,1024,1024,1.0000,24.060,41.563,1,0.000
39,1024,1024,1.0000,23.959,41.738,1,0.000
