step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1147.228,446.293,0,0.000
2,1024,1024,1.0000,1200.392,426.527,0,0.000
3,1024,1024,1.0000,1158.081,442.111,1,0.000
4,1024,1024,1.0000,1162.945,440.262,1,0.000
5,1024,1024,1.0000,1163.893,439.903,1,0.000
6,1024,1024,1.0000,1163.139,440.188,1,0.000
7,1024,1024,1.0000,1159.478,441.578,1,0.000
8,1024,1024,1.0000,595.714,419.664,1,0.000
9,1024,1024,1.0000,27.290,36.643,1,0.000
10,1024,1024,1.0000,24.111,41.475,1,0.000
11,1024,1024,1.0000,24.046,41.587,1,0.000
12,1024,1024,1.0000,23.779,42.054,1,0.000
13,1024,1024,1.0000,23.748,42.109,1,0.000
14,1024,1024,1.0000,23.863,41.906,1,0.000
15,1024,1024,1.0000,23.791,42.033,1,0.000
16,1024,1024,1.0000,24.013,41.644,1,0.000
17,1024,1024,1.0000,23.935,41.780,1,0.000
18,1024,1024,1.0000,23.939,41.773,1,0.000
19,1024,1024,1.0000,23.845,41.938,1,0.000
20,1024,1024,1.0000,23.843,41.941,1,0.000
21,1024,1024,1.0000,23.561,42.443,1,0.000
22,1024,1024,1.0000,23.604,42.366,1,0.000
23,1024,1024,1.0000,23.533,42.494,1,0.000
24,1024,1024,1.0000,23.516,42.524,1,0.000
25,1024,1024,1.0000,23.678,42.233,1,0.000
26,1024,1024,1.0000,23.806,42.006,1,0.000
27,1024,1024,1.0000,23.571,42.425,1,0.000
28,1024,1024,1.0000,24.827,40.279,1,0.000
29,1024,1024,1.0000,24.773,40.367,1,0.000
30,1024,1024,1.0000,23.873,41.888,1,0.000
31,1024,1024,1.0000,24.016,41.639,1,0.000
32,1024,1024,1.0000,23.991,41.682,1,0.000
33,1024,1024,1.0000,24.086,41.518,1,0.000
34,1024,1024,1.0000,24.132,41.439,1,0.000
35,1024,1024,1.0000,24.332,41.098,1,0.000
36,1024,1024,1.0000,23.977,41.707,1,0.000
37,1024,1024,1.0000,24.231,41.269,1,0.000
38,1024,1024,1.0000,23.972,41.715,1,0.000
39,1024,1024,1.0000,23.963,41.731,1,0.000
