step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,4096,0.1250,1163.384,440.095,0,0.000
2,1024,4096,0.2500,1245.678,411.021,0,0.000
3,1536,4096,0.3750,1234.730,414.666,0,0.000
4,2048,4096,0.5000,1265.563,404.563,0,0.000
5,2560,4096,0.6250,1296.778,394.825,0,0.000
6,3072,4096,0.7500,1324.867,386.454,0,0.000
7,3584,4096,0.8750,1354.357,378.039,0,0.000
8,3834,4096,0.9360,694.842,359.794,0,0.000
9,3835,4096,0.9363,27.674,36.135,0,0.000
10,3836,4096,0.9365,22.807,43.846,0,0.000
11,3837,4096,0.9368,22.934,43.603,0,0.000
12,3838,4096,0.9370,22.912,43.645,0,0.000
13,3839,4096,0.9373,22.832,43.798,0,0.000
14,3840,4096,0.9375,22.873,43.720,0,0.000
15,3841,4096,0.9377,23.813,41.994,0,0.000
16,3842,4096,0.9380,22.819,43.823,0,0.000
17,3843,4096,0.9382,22.813,43.835,0,0.000
18,3844,4096,0.9385,22.894,43.680,0,0.000
19,3845,4096,0.9387,22.963,43.548,0,0.000
20,3846,4096,0.9390,23.078,43.331,0,0.000
21,3847,4096,0.9392,22.913,43.643,0,0.000
22,3848,4096,0.9395,22.918,43.634,0,0.000
23,3849,4096,0.9397,22.887,43.693,0,0.000
24,3850,4096,0.9399,23.012,43.456,0,0.000
25,3851,4096,0.9402,23.008,43.463,0,0.000
26,3852,4096,0.9404,22.866,43.733,0,0.000
27,3853,4096,0.9407,22.853,43.758,0,0.000
28,3854,4096,0.9409,23.001,43.476,0,0.000
29,3855,4096,0.9412,22.970,43.535,0,0.000
30,3856,4096,0.9414,23.236,43.037,0,0.000
31,3857,4096,0.9417,22.918,43.634,0,0.000
32,3858,4096,0.9419,22.975,43.526,0,0.000
33,3859,4096,0.9421,23.079,43.329,0,0.000
34,3860,4096,0.9424,22.873,43.720,0,0.000
35,3861,4096,0.9426,23.037,43.408,0,0.000
36,3862,4096,0.9429,23.023,43.435,0,0.000
37,3863,4096,0.9431,22.839,43.785,0,0.000
38,3864,4096,0.9434,22.979,43.518,0,0.000
39,3865,4096,0.9436,22.918,43.634,0,0.000
