step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,256,1024,0.2500,578.363,442.629,0,0.000
2,512,1024,0.5000,573.920,446.055,0,0.000
3,768,1024,0.7500,587.239,435.938,0,0.000
4,858,1024,0.8379,233.259,385.837,0,0.000
5,859,1024,0.8389,23.708,42.180,0,0.000
6,860,1024,0.8398,21.062,47.479,0,0.000
7,861,1024,0.8408,21.390,46.751,0,0.000
8,862,1024,0.8418,21.105,47.382,0,0.000
9,863,1024,0.8428,20.919,47.803,0,0.000
10,864,1024,0.8438,21.024,47.565,0,0.000
11,865,1024,0.8447,21.771,45.933,0,0.000
12,866,1024,0.8457,20.990,47.642,0,0.000
13,867,1024,0.8467,21.202,47.165,0,0.000
14,868,1024,0.8477,21.273,47.008,0,0.000
15,869,1024,0.8486,21.480,46.555,0,0.000
16,870,1024,0.8496,21.226,47.112,0,0.000
17,871,1024,0.8506,21.359,46.819,0,0.000
18,872,1024,0.8516,21.575,46.350,0,0.000
19,873,1024,0.8525,21.019,47.576,0,0.000
20,874,1024,0.8535,20.927,47.785,0,0.000
21,875,1024,0.8545,21.330,46.882,0,0.000
22,876,1024,0.8555,21.425,46.674,0,0.000
23,877,1024,0.8564,21.243,47.074,0,0.000
24,878,1024,0.8574,21.218,47.130,0,0.000
25,879,1024,0.8584,21.258,47.041,0,0.000
26,880,1024,0.8594,21.144,47.295,0,0.000
27,881,1024,0.8604,21.577,46.346,0,0.000
28,882,1024,0.8613,21.204,47.161,0,0.000
29,883,1024,0.8623,21.238,47.085,0,0.000
30,884,1024,0.8633,21.318,46.909,0,0.000
31,885,1024,0.8643,21.231,47.101,0,0.000
32,886,1024,0.8652,21.447,46.627,0,0.000
33,887,1024,0.8662,21.031,47.549,0,0.000
34,888,1024,0.8672,20.822,48.026,0,0.000
35,889,1024,0.8682,21.139,47.306,0,0.000
