step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,256,1024,0.2500,577.320,443.428,0,0.000
2,512,1024,0.5000,575.435,444.881,0,0.000
3,768,1024,0.7500,584.011,438.348,0,0.000
4,858,1024,0.8379,232.914,386.409,0,0.000
5,859,1024,0.8389,23.849,41.930,0,0.000
6,860,1024,0.8398,21.083,47.432,0,0.000
7,861,1024,0.8408,21.380,46.773,0,0.000
8,862,1024,0.8418,21.201,47.168,0,0.000
9,863,1024,0.8428,21.231,47.101,0,0.000
10,864,1024,0.8438,21.255,47.048,0,0.000
11,865,1024,0.8447,21.187,47.199,0,0.000
12,866,1024,0.8457,21.427,46.670,0,0.000
13,867,1024,0.8467,21.230,47.103,0,0.000
14,868,1024,0.8477,21.166,47.246,0,0.000
15,869,1024,0.8486,21.056,47.492,0,0.000
16,870,1024,0.8496,21.590,46.318,0,0.000
17,871,1024,0.8506,21.141,47.301,0,0.000
18,872,1024,0.8516,21.088,47.420,0,0.000
19,873,1024,0.8525,21.107,47.378,0,0.000
20,874,1024,0.8535,20.983,47.658,0,0.000
21,875,1024,0.8545,21.384,46.764,0,0.000
22,876,1024,0.8555,21.121,47.346,0,0.000
23,877,1024,0.8564,21.207,47.154,0,0.000
24,878,1024,0.8574,21.164,47.250,0,0.000
25,879,1024,0.8584,21.452,46.616,0,0.000
26,880,1024,0.8594,21.438,46.646,0,0.000
27,881,1024,0.8604,21.106,47.380,0,0.000
28,882,1024,0.8613,21.270,47.015,0,0.000
29,883,1024,0.8623,21.021,47.571,0,0.000
30,884,1024,0.8633,21.821,45.827,0,0.000
31,885,1024,0.8643,21.213,47.141,0,0.000
32,886,1024,0.8652,21.184,47.205,0,0.000
33,887,1024,0.8662,21.102,47.389,0,0.000
34,888,1024,0.8672,21.109,47.373,0,0.000
35,889,1024,0.8682,21.597,46.303,0,0.000
