step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,858,1024,0.8379,2092.005,410.133,0,0.000
2,859,1024,0.8389,23.146,43.204,0,0.000
3,860,1024,0.8398,20.827,48.015,0,0.000
4,861,1024,0.8408,20.874,47.906,0,0.000
5,862,1024,0.8418,21.015,47.585,0,0.000
6,863,1024,0.8428,21.018,47.578,0,0.000
7,864,1024,0.8438,21.056,47.492,0,0.000
8,865,1024,0.8447,21.173,47.230,0,0.000
9,866,1024,0.8457,20.907,47.831,0,0.000
10,867,1024,0.8467,21.033,47.544,0,0.000
11,868,1024,0.8477,21.113,47.364,0,0.000
12,869,1024,0.8486,21.084,47.429,0,0.000
13,870,1024,0.8496,21.331,46.880,0,0.000
14,871,1024,0.8506,21.101,47.391,0,0.000
15,872,1024,0.8516,21.015,47.585,0,0.000
16,873,1024,0.8525,20.884,47.884,0,0.000
17,874,1024,0.8535,21.208,47.152,0,0.000
18,875,1024,0.8545,21.123,47.342,0,0.000
19,876,1024,0.8555,20.912,47.819,0,0.000
20,877,1024,0.8564,21.214,47.139,0,0.000
21,878,1024,0.8574,21.286,46.979,0,0.000
22,879,1024,0.8584,22.160,45.126,0,0.000
23,880,1024,0.8594,26.104,38.308,0,0.000
24,881,1024,0.8604,20.894,47.861,0,0.000
25,882,1024,0.8613,21.117,47.355,0,0.000
26,883,1024,0.8623,21.000,47.619,0,0.000
27,884,1024,0.8633,21.038,47.533,0,0.000
28,885,1024,0.8643,21.375,46.784,0,0.000
29,886,1024,0.8652,20.999,47.621,0,0.000
30,887,1024,0.8662,21.106,47.380,0,0.000
31,888,1024,0.8672,21.118,47.353,0,0.000
32,889,1024,0.8682,21.025,47.562,0,0.000
