step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,858,1024,0.8379,1997.234,429.594,0,0.000
2,859,1024,0.8389,21.725,46.030,0,0.000
3,860,1024,0.8398,21.010,47.596,0,0.000
4,861,1024,0.8408,21.287,46.977,0,0.000
5,862,1024,0.8418,21.214,47.139,0,0.000
6,863,1024,0.8428,21.120,47.348,0,0.000
7,864,1024,0.8438,21.178,47.219,0,0.000
8,865,1024,0.8447,21.091,47.414,0,0.000
9,866,1024,0.8457,21.090,47.416,0,0.000
10,867,1024,0.8467,21.201,47.168,0,0.000
11,868,1024,0.8477,21.102,47.389,0,0.000
12,869,1024,0.8486,21.165,47.248,0,0.000
13,870,1024,0.8496,20.998,47.624,0,0.000
14,871,1024,0.8506,22.977,43.522,0,0.000
15,872,1024,0.8516,21.358,46.821,0,0.000
16,873,1024,0.8525,21.124,47.340,0,0.000
17,874,1024,0.8535,21.041,47.526,0,0.000
18,875,1024,0.8545,21.091,47.414,0,0.000
19,876,1024,0.8555,21.397,46.736,0,0.000
20,877,1024,0.8564,21.487,46.540,0,0.000
21,878,1024,0.8574,21.181,47.212,0,0.000
22,879,1024,0.8584,21.095,47.405,0,0.000
23,880,1024,0.8594,21.170,47.237,0,0.000
24,881,1024,0.8604,21.102,47.389,0,0.000
25,882,1024,0.8613,21.211,47.145,0,0.000
26,883,1024,0.8623,21.121,47.346,0,0.000
27,884,1024,0.8633,21.289,46.973,0,0.000
28,885,1024,0.8643,21.182,47.210,0,0.000
29,886,1024,0.8652,21.193,47.185,0,0.000
30,887,1024,0.8662,21.117,47.355,0,0.000
31,888,1024,0.8672,21.004,47.610,0,0.000
32,889,1024,0.8682,21.121,47.346,0,0.000
