step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,2048,4096,0.5000,4828.852,424.117,0,0.000
2,3834,4096,0.9360,4467.049,399.817,0,0.000
3,3835,4096,0.9363,51.979,19.239,0,0.000
4,3836,4096,0.9365,26.660,37.509,0,0.000
5,3837,4096,0.9368,22.686,44.080,0,0.000
6,3838,4096,0.9370,22.610,44.228,0,0.000
7,3839,4096,0.9373,22.558,44.330,0,0.000
8,3840,4096,0.9375,22.670,44.111,0,0.000
9,3841,4096,0.9377,23.133,43.228,0,0.000
10,3842,4096,0.9380,22.626,44.197,0,0.000
11,3843,4096,0.9382,22.599,44.250,0,0.000
12,3844,4096,0.9385,22.663,44.125,0,0.000
13,3845,4096,0.9387,22.621,44.207,0,0.000
14,3846,4096,0.9390,22.655,44.140,0,0.000
15,3847,4096,0.9392,22.752,43.952,0,0.000
16,3848,4096,0.9395,22.337,44.769,0,0.000
17,3849,4096,0.9397,22.616,44.216,0,0.000
18,3850,4096,0.9399,24.237,41.259,0,0.000
19,3851,4096,0.9402,25.792,38.772,0,0.000
20,3852,4096,0.9404,22.642,44.166,0,0.000
21,3853,4096,0.9407,22.576,44.295,0,0.000
22,3854,4096,0.9409,22.664,44.123,0,0.000
23,3855,4096,0.9412,22.648,44.154,0,0.000
24,3856,4096,0.9414,22.654,44.142,0,0.000
25,3857,4096,0.9417,22.601,44.246,0,0.000
26,3858,4096,0.9419,22.604,44.240,0,0.000
27,3859,4096,0.9421,22.559,44.328,0,0.000
28,3860,4096,0.9424,22.601,44.246,0,0.000
29,3861,4096,0.9426,22.592,44.263,0,0.000
30,3862,4096,0.9429,22.746,43.964,0,0.000
31,3863,4096,0.9431,22.799,43.862,0,0.000
32,3864,4096,0.9434,23.137,43.221,0,0.000
33,3865,4096,0.9436,23.121,43.251,0,0.000
