pos,cell,score
0,0,2245263.250000
1,1,3856.905762
2,2,1117.471680
3,3,927.101074
4,4,1238.887573
3328,5,281.376953
3329,6,388.569489
7,7,1464.569702
8,8,1733.439575
9,9,1954.413574
10,10,1283.058960
11,11,2961.058350
12,12,3762.305420
13,13,5055.509277
14,14,1848.315552
15,15,2605.048096
16,16,1560.333862
17,17,2073.598877
18,18,2328.322510
19,19,1376.908936
20,20,1220.749634
3072,21,251.595840
3330,22,315.626038
3331,23,345.573334
24,24,2035.367310
25,25,1603.398804
26,26,2092.104248
3332,27,270.657562
28,28,3341.288086
29,29,3408.535156
30,30,12322.608398
31,31,4951.292480
32,32,3817.959473
33,33,3265.451904
34,34,4827.611328
35,35,5296.306641
36,36,2277.283936
37,37,3742.189209
38,38,2134.359375
39,39,4583.309082
40,40,3465.152344
41,41,1584.217773
42,42,2611.316162
43,43,1745.340820
44,44,5518.975586
45,45,3049.866455
46,46,3787.620850
47,47,1682.918579
48,48,3659.021973
49,49,3518.844482
50,50,2100.061279
51,51,2656.427002
52,52,4232.531250
53,53,4842.528809
54,54,4370.039551
55,55,1634.722534
56,56,2513.005859
57,57,2340.578857
58,58,2777.084717
59,59,3986.400879
60,60,1295.559570
61,61,1608.915894
62,62,2122.773438
63,63,2091.433838
64,64,1995.962158
65,65,2073.391602
66,66,1983.788208
67,67,1715.163208
68,68,2248.557129
69,69,2881.364258
70,70,3324.992188
71,71,3039.588379
72,72,3286.122559
73,73,3484.255371
74,74,2463.848145
75,75,2446.949707
76,76,1712.579712
77,77,3124.447266
78,78,2905.105713
79,79,1639.059937
80,80,1379.474243
81,81,1017.289001
82,82,1429.307251
83,83,1916.903564
84,84,3318.176758
85,85,999.602478
86,86,2013.862793
87,87,1271.376587
88,88,1174.362305
89,89,1811.593018
90,90,1740.679321
91,91,1262.880981
92,92,1374.138916
93,93,1600.495850
94,94,1445.938477
95,95,5213.171387
96,96,1343.008301
97,97,2502.735107
98,98,1017.461914
99,99,1827.130127
3584,100,203.700745
101,101,1925.566406
102,102,2153.458740
103,103,1161.355835
3585,104,236.648041
3586,105,169.784576
106,106,1000.670837
107,107,1461.388306
108,108,2252.440918
3333,109,448.741150
110,110,1860.591309
3334,111,251.737152
112,112,921.902527
113,113,971.674194
114,114,1035.683594
3335,115,555.542542
116,116,1048.283447
117,117,1220.789917
118,118,1035.885376
3861,119,8.942743
120,120,1086.175171
121,121,1738.590576
122,122,895.698181
123,123,1044.310669
3337,124,344.634003
125,125,1485.305298
126,126,1785.010010
127,127,1052.431152
1034,128,933.508606
3338,129,580.079712
3339,130,342.744202
131,131,1203.753174
132,132,1796.120239
3340,133,220.301727
3341,134,233.510544
3342,135,254.406784
3343,136,401.992737
3344,137,231.190918
3345,138,254.351990
3346,139,264.349487
3347,140,236.271942
141,141,1054.429932
142,142,852.753845
3348,143,305.947235
144,144,867.110352
145,145,1482.217041
3587,146,205.050858
147,147,1154.077026
3349,148,441.815857
149,149,1221.183838
150,150,1590.438477
151,151,956.402466
3350,152,233.034363
3352,154,293.036774
155,155,1056.866699
156,156,1253.053711
3353,157,412.860962
3354,158,328.647766
3355,159,517.285095
3588,160,289.097382
3356,161,272.389984
3357,162,482.130859
3358,163,260.274109
1055,164,1465.211182
165,165,954.269470
3589,166,182.908371
167,167,1156.892944
3590,168,209.301086
169,169,1407.774902
3359,170,670.023254
3360,171,208.159149
1058,172,906.635742
173,173,1114.951416
174,174,1486.867065
175,175,952.032349
3361,176,346.341431
3362,177,592.975769
3363,178,373.138580
179,179,1016.985596
180,180,1429.012207
3364,181,263.862183
3365,182,231.290451
3366,183,257.374573
3367,184,410.288574
3368,185,190.996216
3369,186,242.576324
3370,187,228.515579
3371,188,233.678391
3073,189,366.674500
3372,190,311.950500
3373,191,258.985107
3374,192,241.738693
193,193,1201.395386
3375,194,187.420258
3376,195,292.652405
3377,196,396.700836
3378,197,316.527954
198,198,1235.328003
199,199,14346.088867
200,200,4010.097168
201,201,2604.667725
202,202,3841.784424
203,203,2836.950684
204,204,3081.257080
205,205,4126.746094
206,206,3744.322510
207,207,6277.355469
208,208,2445.594727
209,209,2678.944092
210,210,2497.560791
211,211,3009.248291
212,212,1954.584229
213,213,1858.851807
214,214,2070.563721
215,215,1184.339478
216,216,2914.970947
217,217,1870.980103
218,218,11965.806641
219,219,4502.776855
220,220,2416.545166
221,221,2584.685303
222,222,2025.966919
223,223,2514.847656
224,224,1406.410034
225,225,1354.139771
226,226,1721.465088
227,227,1668.057983
228,228,1246.977295
229,229,2260.358398
230,230,1386.384766
231,231,1030.708862
232,232,2072.365479
233,233,1390.963013
234,234,2094.993896
235,235,1985.132324
236,236,2071.900391
237,237,1684.769897
238,238,1260.131226
239,239,1862.721069
240,240,992.529968
241,241,1716.061401
242,242,1810.499390
243,243,958.783020
3379,244,483.626190
245,245,1370.748169
246,246,1016.629883
247,247,1149.666870
248,248,4548.216797
3380,249,266.215027
250,250,1460.919434
3381,251,468.516693
3382,252,267.077911
253,253,2405.862549
3383,254,665.108826
3384,255,212.971161
3074,256,592.658752
3075,257,361.212341
3385,258,326.509521
259,259,3402.827637
260,260,823.912415
261,261,1057.696533
3386,262,570.847717
263,263,1086.512573
3387,264,356.691010
3591,265,162.704895
266,266,996.272095
3388,267,263.668304
3389,268,228.085648
3390,269,254.074234
3391,270,403.078278
271,271,850.646729
3392,272,201.099426
3393,273,247.696243
3394,274,267.475250
3395,275,220.021561
3396,276,300.878998
3397,277,259.946838
3398,278,228.055344
3399,279,174.625427
3400,280,281.255859
3401,281,387.881653
3402,282,317.618439
3403,283,411.630280
3404,284,256.963898
285,285,888.624939
3405,286,434.307892
287,287,1018.525452
3406,288,251.510330
3407,289,500.258209
290,290,923.350281
3408,291,200.556000
3409,292,314.792603
293,293,1129.120239
3410,294,542.257385
295,295,735.420288
296,296,851.729858
3411,297,338.033539
3412,298,246.615265
3413,299,216.450882
3414,300,237.683060
3415,301,377.502411
3416,302,188.386276
3417,303,221.325958
3418,304,220.306076
3419,305,217.790588
3420,306,287.950012
3421,307,268.279633
3422,308,223.612564
3423,309,171.106857
3424,310,270.353668
3425,311,366.067047
3426,312,300.608398
3427,313,296.884918
314,314,943.042786
3428,315,247.763382
3429,316,432.794281
3430,317,238.485764
3431,318,433.279663
319,319,755.677246
3432,320,183.989365
3433,321,314.311798
322,322,1424.913696
3434,323,539.062012
3435,324,330.875000
3436,325,239.348404
3437,326,213.767731
3438,327,230.443771
3439,328,369.935455
3440,329,185.958679
3441,330,227.581375
3442,331,192.613770
3443,332,207.538696
3076,333,270.351318
3444,334,277.677338
3445,335,209.112473
3446,336,223.248596
3592,337,246.875381
338,338,1087.482178
3447,339,163.046310
3448,340,263.294434
3449,341,326.665802
3450,342,293.193268
343,343,756.110962
3451,344,256.124725
3452,345,238.742813
3453,346,414.482147
3454,347,233.732666
3455,348,498.743835
3456,349,172.733337
3457,350,299.295837
3458,351,533.973999
3459,352,319.733521
3460,353,232.056122
3461,354,212.774231
3462,355,223.507767
3463,356,358.027344
357,357,807.302490
3464,358,172.707489
3465,359,228.707291
3466,360,196.166901
361,361,786.918701
362,362,1419.779907
3593,363,357.382721
3467,364,217.556381
3468,365,269.516205
3469,366,293.667938
367,367,866.472839
368,368,828.719543
3470,369,216.297684
3471,370,159.026794
3472,371,260.146790
3473,372,354.031647
3474,373,292.039215
3475,374,274.782349
3476,375,241.693390
3477,376,415.501465
3594,377,288.754089
3478,378,234.690353
3479,379,532.210144
3480,380,180.424637
381,381,861.727112
3481,382,298.178802
383,383,1662.009766
3482,384,518.891235
385,385,858.156860
386,386,1716.639404
3077,387,261.600403
3483,388,321.494873
3484,389,232.608780
3485,390,213.324768
391,391,906.596497
3486,392,228.892441
3487,393,364.916870
3488,394,171.068283
3489,395,219.085144
3490,396,251.139862
3491,397,205.471085
3492,398,280.022766
3493,399,268.432281
3494,400,226.154861
3595,401,300.874725
3495,402,166.750793
3496,403,259.935730
3497,404,350.544861
405,405,899.801636
3498,406,285.578613
407,407,862.827881
3499,408,347.570648
409,409,856.872742
410,410,1792.120605
3078,411,277.606110
3500,412,242.263458
3501,413,416.560699
3502,414,237.081024
415,415,895.779663
3503,416,490.556763
3504,417,178.222580
3505,418,295.054199
3506,419,507.495972
3507,420,316.683746
3508,421,226.899979
3509,422,207.655472
3510,423,229.970261
3511,424,360.549866
3512,425,174.349442
3513,426,224.871826
3514,427,182.987656
3515,428,198.791183
429,429,878.602722
3516,430,282.941406
3517,431,223.073807
3518,432,215.892868
3079,433,420.391357
434,434,1502.318604
3596,435,245.198090
3519,436,163.856964
3520,437,254.106308
3521,438,352.249817
439,439,853.041809
3522,440,287.676514
3523,441,322.127686
3524,442,232.028671
3525,443,400.573456
3526,444,230.848572
3527,445,442.482391
3528,446,171.225143
3529,447,285.539917
3530,448,505.413727
3531,449,299.371399
3532,450,223.197556
3533,451,197.862213
3534,452,220.500656
453,453,879.913269
3535,454,348.424438
3536,455,178.382294
3537,456,221.104187
3538,457,203.131592
458,458,1422.896851
3597,459,413.174469
3539,460,202.140472
3540,461,278.928711
3541,462,245.670197
463,463,799.688232
3542,464,221.833817
3543,465,160.668350
3544,466,241.157730
3545,467,338.319763
3546,468,276.024872
3547,469,515.305115
3548,470,232.589294
3549,471,397.051849
3550,472,222.500412
3551,473,491.623413
3552,474,173.940369
475,475,1872.137939
