step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,1024,0.2500,620.963,412.263,0,0.000,0
2,512,1024,0.5000,626.357,408.713,0,0.000,0
3,768,1024,0.7500,653.986,391.446,0,0.000,0
4,1024,1024,1.0000,673.807,379.931,0,0.000,0
5,1024,1024,1.0000,672.317,380.773,1,0.000,0
6,1024,1024,1.0000,671.542,381.212,1,0.000,0
7,1024,1024,1.0000,673.516,380.095,1,0.000,0
8,1024,1024,1.0000,670.474,381.819,1,0.000,0
9,1024,1024,1.0000,672.312,380.776,1,0.000,0
10,1024,1024,1.0000,672.842,380.476,1,0.000,0
11,1024,1024,1.0000,672.549,380.641,1,0.000,0
12,1024,1024,1.0000,671.280,381.361,1,0.000,0
13,1024,1024,1.0000,672.133,380.877,1,0.000,0
14,1024,1024,1.0000,672.508,380.665,1,0.000,0
15,1024,1024,1.0000,674.706,370.532,1,0.000,0
16,1024,1024,1.0000,27.806,35.963,1,0.000,0
17,1024,1024,1.0000,23.764,42.080,1,0.000,0
18,1024,1024,1.0000,24.417,40.955,1,0.000,0
19,1024,1024,1.0000,24.314,41.129,1,0.000,0
20,1024,1024,1.0000,23.995,41.675,1,0.000,0
21,1024,1024,1.0000,24.362,41.048,1,0.000,0
22,1024,1024,1.0000,24.073,41.540,1,0.000,0
23,1024,1024,1.0000,24.484,40.843,1,0.000,0
24,1024,1024,1.0000,23.849,41.930,1,0.000,0
25,1024,1024,1.0000,24.192,41.336,1,0.000,0
26,1024,1024,1.0000,24.468,40.870,1,0.000,0
27,1024,1024,1.0000,24.202,41.319,1,0.000,0
28,1024,1024,1.0000,25.194,39.692,1,0.000,0
29,1024,1024,1.0000,25.217,39.656,1,0.000,0
30,1024,1024,1.0000,25.292,39.538,1,0.000,0
31,1024,1024,1.0000,24.017,41.637,1,0.000,0
32,1024,1024,1.0000,24.717,40.458,1,0.000,0
33,1024,1024,1.0000,24.396,40.990,1,0.000,0
34,1024,1024,1.0000,24.715,40.461,1,0.000,0
35,1024,1024,1.0000,24.234,41.264,1,0.000,0
36,1024,1024,1.0000,24.395,40.992,1,0.000,0
37,1024,1024,1.0000,24.268,41.207,1,0.000,0
38,1024,1024,1.0000,24.676,40.525,1,0.000,0
39,1024,1024,1.0000,24.532,40.763,1,0.000,0
40,1024,1024,1.0000,24.451,40.898,1,0.000,0
41,1024,1024,1.0000,24.931,40.111,1,0.000,0
42,1024,1024,1.0000,24.199,41.324,1,0.000,0
43,1024,1024,1.0000,24.384,41.010,1,0.000,0
44,1024,1024,1.0000,24.243,41.249,1,0.000,0
45,1024,1024,1.0000,24.616,40.624,1,0.000,0
46,1024,1024,1.0000,24.656,40.558,1,0.000,0
