step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,4096,0.0625,601.286,425.754,0,0.000,0
2,512,4096,0.1250,596.258,429.344,0,0.000,0
3,768,4096,0.1875,607.925,421.105,0,0.000,0
4,1024,4096,0.2500,612.527,417.941,0,0.000,0
5,1280,4096,0.3125,620.002,412.902,0,0.000,0
6,1536,4096,0.3750,628.820,407.112,0,0.000,0
7,1792,4096,0.4375,638.400,401.003,0,0.000,0
8,2048,4096,0.5000,645.258,396.741,0,0.000,0
9,2304,4096,0.5625,654.133,391.358,0,0.000,0
10,2560,4096,0.6250,663.444,385.865,0,0.000,0
11,2816,4096,0.6875,671.989,380.959,0,0.000,0
12,3072,4096,0.7500,681.617,375.577,0,0.000,0
13,3328,4096,0.8125,692.652,369.594,0,0.000,0
14,3584,4096,0.8750,698.695,366.397,0,0.000,0
15,3834,4096,0.9360,706.618,353.798,0,0.000,0
16,3835,4096,0.9363,30.476,32.813,0,0.000,0
17,3836,4096,0.9365,29.525,33.870,0,0.000,0
18,3837,4096,0.9368,29.280,34.153,0,0.000,0
19,3838,4096,0.9370,29.320,34.106,0,0.000,0
20,3839,4096,0.9373,31.182,32.070,0,0.000,0
21,3840,4096,0.9375,30.004,33.329,0,0.000,0
22,3841,4096,0.9377,31.447,31.800,0,0.000,0
23,3842,4096,0.9380,30.318,32.984,0,0.000,0
24,3843,4096,0.9382,29.891,33.455,0,0.000,0
25,3844,4096,0.9385,30.300,33.003,0,0.000,0
26,3845,4096,0.9387,29.770,33.591,0,0.000,0
27,3846,4096,0.9390,30.494,32.793,0,0.000,0
28,3847,4096,0.9392,29.600,33.784,0,0.000,0
29,3848,4096,0.9395,29.951,33.388,0,0.000,0
30,3849,4096,0.9397,29.698,33.672,0,0.000,0
31,3850,4096,0.9399,30.812,32.455,0,0.000,0
32,3851,4096,0.9402,29.514,33.882,0,0.000,0
33,3852,4096,0.9404,30.702,32.571,0,0.000,0
34,3853,4096,0.9407,29.683,33.689,0,0.000,0
35,3854,4096,0.9409,30.429,32.863,0,0.000,0
36,3855,4096,0.9412,30.018,33.313,0,0.000,0
37,3856,4096,0.9414,30.253,33.055,0,0.000,0
38,3857,4096,0.9417,30.254,33.053,0,0.000,0
39,3858,4096,0.9419,29.930,33.411,0,0.000,0
40,3859,4096,0.9421,29.649,33.728,0,0.000,0
41,3860,4096,0.9424,30.525,32.760,0,0.000,0
42,3861,4096,0.9426,30.245,33.063,0,0.000,0
43,3862,4096,0.9429,29.994,33.340,0,0.000,0
44,3863,4096,0.9431,30.132,33.187,0,0.000,0
45,3864,4096,0.9434,29.977,33.359,0,0.000,0
46,3865,4096,0.9436,30.370,32.927,0,0.000,0
