step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,1024,0.2500,601.071,425.906,0,0.000,0
2,512,1024,0.5000,596.107,429.453,0,0.000,0
3,768,1024,0.7500,605.982,422.455,0,0.000,0
4,1024,1024,1.0000,612.333,418.073,0,0.000,0
5,1024,1024,1.0000,612.671,417.843,1,0.000,0
6,1024,1024,1.0000,613.679,417.156,1,0.000,0
7,1024,1024,1.0000,613.579,417.224,1,0.000,0
8,1024,1024,1.0000,612.727,417.804,1,0.000,0
9,1024,1024,1.0000,614.817,416.384,1,0.000,0
10,1024,1024,1.0000,611.003,418.983,1,0.000,0
11,1024,1024,1.0000,611.489,418.650,1,0.000,0
12,1024,1024,1.0000,613.943,416.977,1,0.000,0
13,1024,1024,1.0000,613.140,417.523,1,0.000,0
14,1024,1024,1.0000,612.185,418.174,1,0.000,0
15,1024,1024,1.0000,610.073,409.787,1,0.000,0
16,1024,1024,1.0000,28.338,35.288,1,0.000,0
17,1024,1024,1.0000,26.734,37.406,1,0.000,0
18,1024,1024,1.0000,26.286,38.043,1,0.000,0
19,1024,1024,1.0000,26.201,38.166,1,0.000,0
20,1024,1024,1.0000,26.571,37.635,1,0.000,0
21,1024,1024,1.0000,26.341,37.964,1,0.000,0
22,1024,1024,1.0000,26.769,37.357,1,0.000,0
23,1024,1024,1.0000,25.851,38.683,1,0.000,0
24,1024,1024,1.0000,26.683,37.477,1,0.000,0
25,1024,1024,1.0000,26.560,37.651,1,0.000,0
26,1024,1024,1.0000,26.869,37.218,1,0.000,0
27,1024,1024,1.0000,26.303,38.018,1,0.000,0
28,1024,1024,1.0000,26.402,37.876,1,0.000,0
29,1024,1024,1.0000,26.137,38.260,1,0.000,0
30,1024,1024,1.0000,26.548,37.668,1,0.000,0
31,1024,1024,1.0000,26.330,37.979,1,0.000,0
32,1024,1024,1.0000,26.187,38.187,1,0.000,0
33,1024,1024,1.0000,26.353,37.946,1,0.000,0
34,1024,1024,1.0000,25.653,38.982,1,0.000,0
35,1024,1024,1.0000,26.831,37.270,1,0.000,0
36,1024,1024,1.0000,26.737,37.401,1,0.000,0
37,1024,1024,1.0000,26.840,37.258,1,0.000,0
38,1024,1024,1.0000,25.677,38.945,1,0.000,0
39,1024,1024,1.0000,26.248,38.098,1,0.000,0
40,1024,1024,1.0000,26.351,37.949,1,0.000,0
41,1024,1024,1.0000,26.504,37.730,1,0.000,0
42,1024,1024,1.0000,26.335,37.972,1,0.000,0
43,1024,1024,1.0000,26.000,38.462,1,0.000,0
44,1024,1024,1.0000,26.582,37.619,1,0.000,0
45,1024,1024,1.0000,26.185,38.190,1,0.000,0
46,1024,1024,1.0000,26.896,37.180,1,0.000,0
