step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,4096,0.0625,604.212,423.692,0,0.000,0
2,512,4096,0.1250,597.633,428.357,0,0.000,0
3,768,4096,0.1875,603.447,424.229,0,0.000,0
4,1024,4096,0.2500,612.657,417.852,0,0.000,0
5,1280,4096,0.3125,619.933,412.948,0,0.000,0
6,1536,4096,0.3750,629.310,406.795,0,0.000,0
7,1792,4096,0.4375,637.523,401.554,0,0.000,0
8,2048,4096,0.5000,646.082,396.235,0,0.000,0
9,2304,4096,0.5625,729.350,350.997,0,0.000,0
10,2560,4096,0.6250,664.881,385.031,0,0.000,0
11,2816,4096,0.6875,673.826,379.920,0,0.000,0
12,3072,4096,0.7500,682.862,374.893,0,0.000,0
13,3328,4096,0.8125,694.739,368.484,0,0.000,0
14,3584,4096,0.8750,704.886,363.179,0,0.000,0
15,3834,4096,0.9360,710.539,351.846,0,0.000,0
16,3835,4096,0.9363,31.032,32.225,0,0.000,0
17,3836,4096,0.9365,28.992,34.492,0,0.000,0
18,3837,4096,0.9368,29.456,33.949,0,0.000,0
19,3838,4096,0.9370,29.534,33.859,0,0.000,0
20,3839,4096,0.9373,30.764,32.506,0,0.000,0
21,3840,4096,0.9375,29.667,33.707,0,0.000,0
22,3841,4096,0.9377,31.602,31.644,0,0.000,0
23,3842,4096,0.9380,30.824,32.442,0,0.000,0
24,3843,4096,0.9382,30.153,33.164,0,0.000,0
25,3844,4096,0.9385,30.220,33.091,0,0.000,0
26,3845,4096,0.9387,30.897,32.366,0,0.000,0
27,3846,4096,0.9390,29.566,33.823,0,0.000,0
28,3847,4096,0.9392,30.843,32.422,0,0.000,0
29,3848,4096,0.9395,30.207,33.105,0,0.000,0
30,3849,4096,0.9397,31.819,31.428,0,0.000,0
31,3850,4096,0.9399,31.426,31.821,0,0.000,0
32,3851,4096,0.9402,30.499,32.788,0,0.000,0
33,3852,4096,0.9404,31.624,31.622,0,0.000,0
34,3853,4096,0.9407,29.882,33.465,0,0.000,0
35,3854,4096,0.9409,30.893,32.370,0,0.000,0
36,3855,4096,0.9412,29.932,33.409,0,0.000,0
37,3856,4096,0.9414,30.842,32.423,0,0.000,0
38,3857,4096,0.9417,30.193,33.120,0,0.000,0
39,3858,4096,0.9419,30.052,33.276,0,0.000,0
40,3859,4096,0.9421,30.756,32.514,0,0.000,0
41,3860,4096,0.9424,30.183,33.131,0,0.000,0
42,3861,4096,0.9426,29.995,33.339,0,0.000,0
43,3862,4096,0.9429,29.863,33.486,0,0.000,0
44,3863,4096,0.9431,30.849,32.416,0,0.000,0
45,3864,4096,0.9434,29.871,33.477,0,0.000,0
46,3865,4096,0.9436,30.586,32.695,0,0.000,0
