step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,1024,0.2500,606.149,422.338,0,0.000,0
2,512,1024,0.5000,598.228,427.930,0,0.000,0
3,768,1024,0.7500,603.763,424.007,0,0.000,0
4,1024,1024,1.0000,614.967,416.282,0,0.000,0
5,1024,1024,1.0000,614.757,416.425,1,0.000,0
6,1024,1024,1.0000,613.586,417.219,1,0.000,0
7,1024,1024,1.0000,614.812,416.387,1,0.000,0
8,1024,1024,1.0000,615.813,415.711,1,0.000,0
9,1024,1024,1.0000,611.506,418.639,1,0.000,0
10,1024,1024,1.0000,614.503,416.597,1,0.000,0
11,1024,1024,1.0000,613.957,416.967,1,0.000,0
12,1024,1024,1.0000,615.632,415.833,1,0.000,0
13,1024,1024,1.0000,617.576,414.524,1,0.000,0
14,1024,1024,1.0000,615.675,415.804,1,0.000,0
15,1024,1024,1.0000,611.541,408.803,1,0.000,0
16,1024,1024,1.0000,26.474,37.773,1,0.000,0
17,1024,1024,1.0000,26.769,37.357,1,0.000,0
18,1024,1024,1.0000,26.422,37.847,1,0.000,0
19,1024,1024,1.0000,26.303,38.018,1,0.000,0
20,1024,1024,1.0000,27.217,36.742,1,0.000,0
21,1024,1024,1.0000,25.939,38.552,1,0.000,0
22,1024,1024,1.0000,26.769,37.357,1,0.000,0
23,1024,1024,1.0000,26.156,38.232,1,0.000,0
24,1024,1024,1.0000,27.036,36.988,1,0.000,0
25,1024,1024,1.0000,26.157,38.231,1,0.000,0
26,1024,1024,1.0000,26.575,37.629,1,0.000,0
27,1024,1024,1.0000,26.146,38.247,1,0.000,0
28,1024,1024,1.0000,26.857,37.234,1,0.000,0
29,1024,1024,1.0000,28.210,35.448,1,0.000,0
30,1024,1024,1.0000,26.440,37.821,1,0.000,0
31,1024,1024,1.0000,26.326,37.985,1,0.000,0
32,1024,1024,1.0000,26.305,38.016,1,0.000,0
33,1024,1024,1.0000,26.784,37.336,1,0.000,0
34,1024,1024,1.0000,26.138,38.258,1,0.000,0
35,1024,1024,1.0000,27.026,37.001,1,0.000,0
36,1024,1024,1.0000,25.723,38.876,1,0.000,0
37,1024,1024,1.0000,26.737,37.401,1,0.000,0
38,1024,1024,1.0000,26.024,38.426,1,0.000,0
39,1024,1024,1.0000,26.962,37.089,1,0.000,0
40,1024,1024,1.0000,26.206,38.159,1,0.000,0
41,1024,1024,1.0000,26.419,37.852,1,0.000,0
42,1024,1024,1.0000,26.324,37.988,1,0.000,0
43,1024,1024,1.0000,26.587,37.612,1,0.000,0
44,1024,1024,1.0000,26.766,37.361,1,0.000,0
45,1024,1024,1.0000,27.818,35.948,1,0.000,0
46,1024,1024,1.0000,27.404,36.491,1,0.000,0
