step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,256,1024,0.2500,603.597,424.124,0,0.000,0
2,512,1024,0.5000,595.478,429.907,0,0.000,0
3,768,1024,0.7500,605.614,422.711,0,0.000,0
4,1024,1024,1.0000,613.034,417.595,0,0.000,0
5,1024,1024,1.0000,1035.410,247.245,1,0.000,256
6,1024,1024,1.0000,1109.844,230.663,1,0.000,512
7,1024,1024,1.0000,1213.309,210.993,1,0.000,768
8,1024,1024,1.0000,1284.033,199.372,1,0.000,1024
9,1024,1024,1.0000,1389.275,184.269,1,0.000,1280
10,1024,1024,1.0000,1494.983,171.239,1,0.000,1536
11,1024,1024,1.0000,1589.737,161.033,1,0.000,1792
12,1024,1024,1.0000,1632.724,156.793,1,0.000,2048
13,1024,1024,1.0000,1724.846,148.419,1,0.000,2304
14,1024,1024,1.0000,1835.536,139.469,1,0.000,2560
15,1024,1024,1.0000,1921.986,130.074,1,0.000,2810
16,1024,1024,1.0000,41.461,24.119,1,0.000,2811
17,1024,1024,1.0000,40.336,24.792,1,0.000,2812
18,1024,1024,1.0000,40.506,24.688,1,0.000,2813
19,1024,1024,1.0000,48.972,20.420,1,0.000,2814
20,1024,1024,1.0000,49.629,20.150,1,0.000,2815
21,1024,1024,1.0000,41.593,24.043,1,0.000,2816
22,1024,1024,1.0000,41.724,23.967,1,0.000,2817
23,1024,1024,1.0000,41.417,24.145,1,0.000,2818
24,1024,1024,1.0000,41.496,24.099,1,0.000,2819
25,1024,1024,1.0000,41.234,24.252,1,0.000,2820
26,1024,1024,1.0000,40.965,24.411,1,0.000,2821
27,1024,1024,1.0000,41.075,24.346,1,0.000,2822
28,1024,1024,1.0000,40.841,24.485,1,0.000,2823
29,1024,1024,1.0000,41.342,24.188,1,0.000,2824
30,1024,1024,1.0000,41.438,24.132,1,0.000,2825
31,1024,1024,1.0000,41.774,23.938,1,0.000,2826
32,1024,1024,1.0000,43.122,23.190,1,0.000,2827
33,1024,1024,1.0000,41.343,24.188,1,0.000,2828
34,1024,1024,1.0000,40.721,24.557,1,0.000,2829
35,1024,1024,1.0000,41.806,23.920,1,0.000,2830
36,1024,1024,1.0000,41.457,24.121,1,0.000,2831
37,1024,1024,1.0000,41.353,24.182,1,0.000,2832
38,1024,1024,1.0000,41.445,24.128,1,0.000,2833
39,1024,1024,1.0000,41.563,24.060,1,0.000,2834
40,1024,1024,1.0000,40.777,24.524,1,0.000,2835
41,1024,1024,1.0000,41.690,23.987,1,0.000,2836
42,1024,1024,1.0000,45.868,21.802,1,0.000,2837
43,1024,1024,1.0000,41.617,24.029,1,0.000,2838
44,1024,1024,1.0000,41.481,24.107,1,0.000,2839
45,1024,1024,1.0000,42.178,23.709,1,0.000,2840
46,1024,1024,1.0000,40.895,24.453,1,0.000,2841
