step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1186.876,431.385,0,0.000
2,513,1024,0.5010,25.865,38.662,0,0.000
3,514,1024,0.5020,22.977,43.522,0,0.000
4,515,1024,0.5029,23.333,42.858,0,0.000
5,516,1024,0.5039,23.567,42.432,0,0.000
6,517,1024,0.5049,23.265,42.983,0,0.000
7,518,1024,0.5059,22.894,43.680,0,0.000
8,519,1024,0.5068,23.211,43.083,0,0.000
9,520,1024,0.5078,23.972,41.715,0,0.000
10,521,1024,0.5088,23.753,42.100,0,0.000
11,522,1024,0.5098,27.660,36.153,0,0.000
12,523,1024,0.5107,33.850,29.542,0,0.000
13,524,1024,0.5117,33.255,30.071,0,0.000
14,525,1024,0.5127,28.006,35.707,0,0.000
15,526,1024,0.5137,23.182,43.137,0,0.000
16,527,1024,0.5146,22.870,43.725,0,0.000
17,528,1024,0.5156,23.378,42.775,0,0.000
18,529,1024,0.5166,23.419,42.700,0,0.000
19,530,1024,0.5176,23.236,43.037,0,0.000
20,531,1024,0.5186,22.899,43.670,0,0.000
21,532,1024,0.5195,23.123,43.247,0,0.000
22,533,1024,0.5205,23.077,43.333,0,0.000
23,534,1024,0.5215,23.407,42.722,0,0.000
24,535,1024,0.5225,22.889,43.689,0,0.000
25,536,1024,0.5234,23.414,42.709,0,0.000
26,537,1024,0.5244,23.256,43.000,0,0.000
27,538,1024,0.5254,23.255,43.002,0,0.000
28,539,1024,0.5264,22.814,43.833,0,0.000
29,540,1024,0.5273,23.198,43.107,0,0.000
30,541,1024,0.5283,23.295,42.928,0,0.000
31,542,1024,0.5293,23.318,42.885,0,0.000
32,543,1024,0.5303,23.302,42.915,0,0.000
33,544,1024,0.5312,23.285,42.946,0,0.000
34,545,1024,0.5322,22.829,43.804,0,0.000
35,546,1024,0.5332,23.628,42.323,0,0.000
36,547,1024,0.5342,23.039,43.405,0,0.000
37,548,1024,0.5352,23.552,42.459,0,0.000
38,549,1024,0.5361,23.303,42.913,0,0.000
39,550,1024,0.5371,23.481,42.588,0,0.000
40,551,1024,0.5381,23.007,43.465,0,0.000
41,552,1024,0.5391,23.176,43.148,0,0.000
42,553,1024,0.5400,23.279,42.957,0,0.000
43,554,1024,0.5410,23.787,42.040,0,0.000
44,555,1024,0.5420,22.975,43.526,0,0.000
45,556,1024,0.5430,23.053,43.378,0,0.000
46,557,1024,0.5439,23.174,43.152,0,0.000
47,558,1024,0.5449,23.042,43.399,0,0.000
48,559,1024,0.5459,22.983,43.510,0,0.000
49,560,1024,0.5469,23.152,43.193,0,0.000
50,561,1024,0.5479,22.918,43.634,0,0.000
51,562,1024,0.5488,24.000,41.667,0,0.000
52,563,1024,0.5498,23.226,43.055,0,0.000
53,564,1024,0.5508,23.204,43.096,0,0.000
54,565,1024,0.5518,22.956,43.562,0,0.000
55,566,1024,0.5527,23.245,43.020,0,0.000
56,567,1024,0.5537,23.618,42.341,0,0.000
57,568,1024,0.5547,23.446,42.651,0,0.000
58,569,1024,0.5557,23.123,43.247,0,0.000
59,570,1024,0.5566,23.075,43.337,0,0.000
60,571,1024,0.5576,22.821,43.819,0,0.000
61,572,1024,0.5586,23.549,42.465,0,0.000
62,573,1024,0.5596,23.147,43.202,0,0.000
63,574,1024,0.5605,22.998,43.482,0,0.000
64,575,1024,0.5615,22.946,43.581,0,0.000
65,576,1024,0.5625,23.217,43.072,0,0.000
66,577,1024,0.5635,23.242,43.026,0,0.000
67,578,1024,0.5645,22.968,43.539,0,0.000
68,579,1024,0.5654,23.189,43.124,0,0.000
69,580,1024,0.5664,23.251,43.009,0,0.000
70,581,1024,0.5674,23.535,42.490,0,0.000
71,582,1024,0.5684,24.778,40.358,0,0.000
72,583,1024,0.5693,23.777,42.057,0,0.000
73,584,1024,0.5703,23.206,43.092,0,0.000
74,585,1024,0.5713,23.028,43.425,0,0.000
75,586,1024,0.5723,23.461,42.624,0,0.000
76,587,1024,0.5732,23.223,43.061,0,0.000
77,588,1024,0.5742,22.888,43.691,0,0.000
78,589,1024,0.5752,23.254,43.003,0,0.000
79,590,1024,0.5762,23.117,43.258,0,0.000
80,591,1024,0.5771,23.149,43.198,0,0.000
81,592,1024,0.5781,23.046,43.391,0,0.000
82,593,1024,0.5791,23.296,42.926,0,0.000
83,594,1024,0.5801,24.049,41.582,0,0.000
84,595,1024,0.5811,23.100,43.290,0,0.000
85,596,1024,0.5820,23.645,42.292,0,0.000
86,597,1024,0.5830,23.435,42.671,0,0.000
87,598,1024,0.5840,23.074,43.339,0,0.000
88,599,1024,0.5850,23.178,43.144,0,0.000
89,600,1024,0.5859,23.266,42.981,0,0.000
90,601,1024,0.5869,23.156,43.185,0,0.000
91,602,1024,0.5879,23.084,43.320,0,0.000
92,603,1024,0.5889,23.233,43.042,0,0.000
93,604,1024,0.5898,23.224,43.059,0,0.000
94,605,1024,0.5908,23.105,43.281,0,0.000
95,606,1024,0.5918,23.285,42.946,0,0.000
96,607,1024,0.5928,23.475,42.599,0,0.000
97,608,1024,0.5938,23.389,42.755,0,0.000
98,609,1024,0.5947,23.235,43.039,0,0.000
99,610,1024,0.5957,23.646,42.290,0,0.000
100,611,1024,0.5967,23.222,43.063,0,0.000
101,612,1024,0.5977,22.926,43.619,0,0.000
102,613,1024,0.5986,22.807,43.846,0,0.000
103,614,1024,0.5996,22.988,43.501,0,0.000
104,615,1024,0.6006,23.136,43.223,0,0.000
105,616,1024,0.6016,23.341,42.843,0,0.000
106,617,1024,0.6025,23.283,42.950,0,0.000
107,618,1024,0.6035,22.865,43.735,0,0.000
108,619,1024,0.6045,23.182,43.137,0,0.000
109,620,1024,0.6055,23.203,43.098,0,0.000
110,621,1024,0.6064,23.584,42.402,0,0.000
111,622,1024,0.6074,22.931,43.609,0,0.000
112,623,1024,0.6084,23.276,42.963,0,0.000
113,624,1024,0.6094,23.134,43.226,0,0.000
114,625,1024,0.6104,23.000,43.478,0,0.000
115,626,1024,0.6113,23.182,43.137,0,0.000
116,627,1024,0.6123,23.283,42.950,0,0.000
117,628,1024,0.6133,22.918,43.634,0,0.000
118,629,1024,0.6143,23.448,42.648,0,0.000
119,630,1024,0.6152,23.286,42.944,0,0.000
120,631,1024,0.6162,23.031,43.420,0,0.000
121,632,1024,0.6172,23.347,42.832,0,0.000
122,633,1024,0.6182,24.017,41.637,0,0.000
123,634,1024,0.6191,23.446,42.651,0,0.000
124,635,1024,0.6201,23.115,43.262,0,0.000
125,636,1024,0.6211,23.040,43.403,0,0.000
126,637,1024,0.6221,23.046,43.391,0,0.000
127,638,1024,0.6230,22.912,43.645,0,0.000
128,639,1024,0.6240,23.194,43.115,0,0.000
129,640,1024,0.6250,23.356,42.816,0,0.000
130,641,1024,0.6260,23.009,43.461,0,0.000
131,642,1024,0.6270,23.304,42.911,0,0.000
132,643,1024,0.6279,23.104,43.283,0,0.000
133,644,1024,0.6289,23.295,42.928,0,0.000
134,645,1024,0.6299,22.944,43.584,0,0.000
135,646,1024,0.6309,23.390,42.753,0,0.000
136,647,1024,0.6318,23.330,42.863,0,0.000
137,648,1024,0.6328,23.762,42.084,0,0.000
138,649,1024,0.6338,23.428,42.684,0,0.000
139,650,1024,0.6348,23.226,43.055,0,0.000
140,651,1024,0.6357,23.269,42.976,0,0.000
141,652,1024,0.6367,23.050,43.384,0,0.000
142,653,1024,0.6377,23.088,43.313,0,0.000
143,654,1024,0.6387,23.246,43.018,0,0.000
144,655,1024,0.6396,22.823,43.815,0,0.000
145,656,1024,0.6406,23.111,43.269,0,0.000
