step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1230.095,416.228,0,0.000,0
2,1024,1024,1.0000,1266.570,404.241,0,0.000,0
3,1024,1024,1.0000,1469.253,348.476,1,0.000,512
4,1024,1024,1.0000,32.382,30.881,1,0.000,513
5,1024,1024,1.0000,26.914,37.155,1,0.000,514
6,1024,1024,1.0000,27.004,37.032,1,0.000,515
7,1024,1024,1.0000,27.007,37.027,1,0.000,516
8,1024,1024,1.0000,26.671,37.494,1,0.000,517
9,1024,1024,1.0000,27.084,36.922,1,0.000,518
10,1024,1024,1.0000,26.915,37.154,1,0.000,519
11,1024,1024,1.0000,26.610,37.580,1,0.000,520
12,1024,1024,1.0000,26.567,37.641,1,0.000,521
13,1024,1024,1.0000,26.872,37.213,1,0.000,522
14,1024,1024,1.0000,26.854,37.238,1,0.000,523
15,1024,1024,1.0000,26.861,37.229,1,0.000,524
16,1024,1024,1.0000,27.134,36.854,1,0.000,525
17,1024,1024,1.0000,26.716,37.431,1,0.000,526
18,1024,1024,1.0000,27.227,36.728,1,0.000,527
19,1024,1024,1.0000,27.029,36.997,1,0.000,528
20,1024,1024,1.0000,26.449,37.809,1,0.000,529
21,1024,1024,1.0000,27.119,36.875,1,0.000,530
22,1024,1024,1.0000,26.901,37.173,1,0.000,531
23,1024,1024,1.0000,27.041,36.981,1,0.000,532
24,1024,1024,1.0000,26.762,37.366,1,0.000,533
25,1024,1024,1.0000,27.052,36.966,1,0.000,534
26,1024,1024,1.0000,26.861,37.229,1,0.000,535
27,1024,1024,1.0000,26.924,37.142,1,0.000,536
28,1024,1024,1.0000,27.178,36.794,1,0.000,537
29,1024,1024,1.0000,26.873,37.212,1,0.000,538
30,1024,1024,1.0000,26.927,37.137,1,0.000,539
31,1024,1024,1.0000,27.036,36.988,1,0.000,540
32,1024,1024,1.0000,27.067,36.945,1,0.000,541
33,1024,1024,1.0000,26.977,37.069,1,0.000,542
34,1024,1024,1.0000,26.622,37.563,1,0.000,543
35,1024,1024,1.0000,26.982,37.062,1,0.000,544
36,1024,1024,1.0000,26.760,37.369,1,0.000,545
37,1024,1024,1.0000,26.746,37.389,1,0.000,546
38,1024,1024,1.0000,26.895,37.182,1,0.000,547
39,1024,1024,1.0000,27.189,36.780,1,0.000,548
40,1024,1024,1.0000,27.104,36.895,1,0.000,549
41,1024,1024,1.0000,27.072,36.939,1,0.000,550
42,1024,1024,1.0000,27.088,36.917,1,0.000,551
43,1024,1024,1.0000,27.176,36.797,1,0.000,552
44,1024,1024,1.0000,27.139,36.847,1,0.000,553
45,1024,1024,1.0000,27.156,36.824,1,0.000,554
46,1024,1024,1.0000,27.163,36.815,1,0.000,555
47,1024,1024,1.0000,27.204,36.759,1,0.000,556
48,1024,1024,1.0000,27.112,36.884,1,0.000,557
49,1024,1024,1.0000,26.905,37.168,1,0.000,558
50,1024,1024,1.0000,27.441,36.442,1,0.000,559
51,1024,1024,1.0000,27.108,36.889,1,0.000,560
52,1024,1024,1.0000,27.251,36.696,1,0.000,561
53,1024,1024,1.0000,27.079,36.929,1,0.000,562
54,1024,1024,1.0000,27.168,36.808,1,0.000,563
55,1024,1024,1.0000,27.315,36.610,1,0.000,564
56,1024,1024,1.0000,27.205,36.758,1,0.000,565
57,1024,1024,1.0000,27.110,36.887,1,0.000,566
58,1024,1024,1.0000,27.272,36.668,1,0.000,567
59,1024,1024,1.0000,27.271,36.669,1,0.000,568
60,1024,1024,1.0000,27.151,36.831,1,0.000,569
61,1024,1024,1.0000,27.160,36.819,1,0.000,570
62,1024,1024,1.0000,27.307,36.621,1,0.000,571
