order_idx,target,trial,prompt_tokens,rc,burst_steps,transient_ms,n_spill_mean,n_spill_min,n_spill_max,ms_mean,ms_median,ms_sd,tok_per_sec,flash_attn,prefill_ms,prefill_tokens,duration_s,t_start_iso
1,8192,2,9216,0,96,8026.3,8271.5,8224,8319,58.978,58.322,5.127,16.956,disabled,83354.9,9216,91.5,2026-08-04T01:34:38
2,1024,1,2048,0,96,2483.5,1103.5,1056,1151,35.874,35.464,1.727,27.875,disabled,7041.92,2048,12.3,2026-08-04T01:38:39
3,4096,1,5120,0,96,5236.2,4175.5,4128,4223,60.914,52.843,19.003,16.416,disabled,30942.06,5120,39.8,2026-08-04T01:41:22
4,0,2,512,0,96,1190.8,0,0,0,23.295,23.249,0.351,42.928,disabled,1190.83,512,4.7,2026-08-04T01:44:32
5,8192,1,9216,0,96,7939.5,8271.5,8224,8319,59.648,59.407,3.961,16.765,disabled,83456.01,9216,92.5,2026-08-04T01:47:08
6,2048,1,3072,0,96,3166.7,2127.5,2080,2175,38.469,37.594,3.496,25.995,disabled,13054.29,3072,18.9,2026-08-04T01:51:10
7,2048,2,3072,0,96,3164.1,2127.5,2080,2175,38.253,37.544,2.447,26.142,disabled,13070.68,3072,18.9,2026-08-04T01:54:00
8,0,1,512,0,96,1188.5,0,0,0,23.14,23.112,0.348,43.215,disabled,1188.51,512,4.7,2026-08-04T01:56:48
9,1024,2,2048,0,96,2464.7,1103.5,1056,1151,35.683,35.334,1.223,28.025,disabled,7026.41,2048,12.3,2026-08-04T01:59:23
10,4096,2,5120,0,96,4758.7,4175.5,4128,4223,47.34,44.314,5.08,21.124,disabled,29578.56,5120,36.2,2026-08-04T02:02:05
11,512,1,1536,0,96,2168.0,591.5,544,639,34.508,34.116,1.611,28.979,disabled,4555.77,1536,9.7,2026-08-04T02:05:12
12,512,2,1536,0,96,2129.9,591.5,544,639,34.081,33.812,1.589,29.342,disabled,4501.57,1536,9.8,2026-08-04T02:07:52
