step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,256,1024,0.2500,597.870,428.187,0,0.000
2,512,1024,0.5000,611.879,418.383,0,0.000
3,768,1024,0.7500,677.630,377.787,0,0.000
4,1024,1024,1.0000,631.763,405.215,0,0.000
5,1024,1024,1.0000,634.310,403.588,1,0.000
6,1024,1024,1.0000,636.990,401.890,1,0.000
7,1024,1024,1.0000,634.504,403.465,1,0.000
8,1024,1024,1.0000,635.879,402.592,1,0.000
9,1024,1024,1.0000,637.961,401.278,1,0.000
10,1024,1024,1.0000,637.736,401.420,1,0.000
11,1024,1024,1.0000,638.231,401.109,1,0.000
12,1024,1024,1.0000,640.815,399.491,1,0.000
13,1024,1024,1.0000,641.609,398.997,1,0.000
14,1024,1024,1.0000,640.074,399.954,1,0.000
15,1024,1024,1.0000,636.904,392.524,1,0.000
16,1024,1024,1.0000,26.565,37.644,1,0.000
17,1024,1024,1.0000,26.116,38.291,1,0.000
18,1024,1024,1.0000,26.002,38.459,1,0.000
19,1024,1024,1.0000,25.840,38.700,1,0.000
20,1024,1024,1.0000,26.082,38.341,1,0.000
21,1024,1024,1.0000,25.812,38.742,1,0.000
22,1024,1024,1.0000,25.971,38.504,1,0.000
23,1024,1024,1.0000,25.975,38.499,1,0.000
24,1024,1024,1.0000,26.137,38.260,1,0.000
25,1024,1024,1.0000,25.718,38.883,1,0.000
26,1024,1024,1.0000,26.051,38.386,1,0.000
27,1024,1024,1.0000,25.960,38.521,1,0.000
28,1024,1024,1.0000,25.973,38.502,1,0.000
29,1024,1024,1.0000,25.888,38.628,1,0.000
30,1024,1024,1.0000,25.844,38.694,1,0.000
31,1024,1024,1.0000,26.068,38.361,1,0.000
32,1024,1024,1.0000,26.067,38.363,1,0.000
33,1024,1024,1.0000,25.979,38.493,1,0.000
34,1024,1024,1.0000,26.099,38.316,1,0.000
35,1024,1024,1.0000,26.036,38.408,1,0.000
36,1024,1024,1.0000,25.963,38.516,1,0.000
37,1024,1024,1.0000,25.831,38.713,1,0.000
38,1024,1024,1.0000,26.638,37.540,1,0.000
39,1024,1024,1.0000,25.777,38.794,1,0.000
40,1024,1024,1.0000,25.907,38.600,1,0.000
41,1024,1024,1.0000,26.163,38.222,1,0.000
42,1024,1024,1.0000,26.048,38.391,1,0.000
43,1024,1024,1.0000,26.867,37.220,1,0.000
44,1024,1024,1.0000,26.498,37.739,1,0.000
45,1024,1024,1.0000,26.704,37.448,1,0.000
46,1024,1024,1.0000,26.831,37.270,1,0.000
