step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,256,4096,0.0625,672.594,380.616,0,0.000
2,512,4096,0.1250,587.641,435.640,0,0.000
3,768,4096,0.1875,598.224,427.933,0,0.000
4,1024,4096,0.2500,606.478,422.109,0,0.000
5,1280,4096,0.3125,611.018,418.973,0,0.000
6,1536,4096,0.3750,621.950,411.609,0,0.000
7,1792,4096,0.4375,697.493,367.029,0,0.000
8,2048,4096,0.5000,636.449,402.232,0,0.000
9,2304,4096,0.5625,643.432,397.866,0,0.000
10,2560,4096,0.6250,653.963,391.459,0,0.000
11,2816,4096,0.6875,660.038,387.856,0,0.000
12,3072,4096,0.7500,668.781,382.786,0,0.000
13,3328,4096,0.8125,678.348,377.387,0,0.000
14,3584,4096,0.8750,691.697,370.104,0,0.000
15,3834,4096,0.9360,691.626,361.467,0,0.000
16,3835,4096,0.9363,46.051,21.715,0,0.000
17,3836,4096,0.9365,28.970,34.518,0,0.000
18,3837,4096,0.9368,28.976,34.511,0,0.000
19,3838,4096,0.9370,28.978,34.509,0,0.000
20,3839,4096,0.9373,28.934,34.561,0,0.000
21,3840,4096,0.9375,28.974,34.514,0,0.000
22,3841,4096,0.9377,29.930,33.411,0,0.000
23,3842,4096,0.9380,29.357,34.063,0,0.000
24,3843,4096,0.9382,29.578,33.809,0,0.000
25,3844,4096,0.9385,29.416,33.995,0,0.000
26,3845,4096,0.9387,29.329,34.096,0,0.000
27,3846,4096,0.9390,29.437,33.971,0,0.000
28,3847,4096,0.9392,29.593,33.792,0,0.000
29,3848,4096,0.9395,29.422,33.988,0,0.000
30,3849,4096,0.9397,29.404,34.009,0,0.000
31,3850,4096,0.9399,29.512,33.885,0,0.000
32,3851,4096,0.9402,29.439,33.969,0,0.000
33,3852,4096,0.9404,29.454,33.951,0,0.000
34,3853,4096,0.9407,29.366,34.053,0,0.000
35,3854,4096,0.9409,29.528,33.866,0,0.000
36,3855,4096,0.9412,29.388,34.027,0,0.000
37,3856,4096,0.9414,29.172,34.279,0,0.000
38,3857,4096,0.9417,29.487,33.913,0,0.000
39,3858,4096,0.9419,29.504,33.894,0,0.000
40,3859,4096,0.9421,29.541,33.851,0,0.000
41,3860,4096,0.9424,29.292,34.139,0,0.000
42,3861,4096,0.9426,29.690,33.681,0,0.000
43,3862,4096,0.9429,29.325,34.101,0,0.000
44,3863,4096,0.9431,29.529,33.865,0,0.000
45,3864,4096,0.9434,29.185,34.264,0,0.000
46,3865,4096,0.9436,29.568,33.820,0,0.000
