step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1195.202,428.379,0,0.000,0
2,1000,1024,0.9766,1197.786,407.418,0,0.000,0
3,1001,1024,0.9775,25.933,38.561,0,0.000,0
4,1002,1024,0.9785,23.719,42.160,0,0.000,0
5,1003,1024,0.9795,24.433,40.928,0,0.000,0
6,1004,1024,0.9805,23.806,42.006,0,0.000,0
7,1005,1024,0.9814,23.595,42.382,0,0.000,0
8,1006,1024,0.9824,23.136,43.223,0,0.000,0
9,1007,1024,0.9834,24.030,41.615,0,0.000,0
10,1008,1024,0.9844,23.257,42.998,0,0.000,0
11,1009,1024,0.9854,22.868,43.729,0,0.000,0
12,1010,1024,0.9863,23.133,43.228,0,0.000,0
13,1011,1024,0.9873,23.368,42.794,0,0.000,0
14,1012,1024,0.9883,23.632,42.316,0,0.000,0
15,1013,1024,0.9893,23.577,42.414,0,0.000,0
16,1014,1024,0.9902,23.745,42.114,0,0.000,0
17,1015,1024,0.9912,23.543,42.475,0,0.000,0
18,1016,1024,0.9922,22.814,43.833,0,0.000,0
19,1017,1024,0.9932,23.898,41.845,0,0.000,0
20,1018,1024,0.9941,23.854,41.922,0,0.000,0
21,1019,1024,0.9951,23.220,43.066,0,0.000,0
22,1020,1024,0.9961,23.125,43.243,0,0.000,0
23,1021,1024,0.9971,23.303,42.913,0,0.000,0
24,1022,1024,0.9980,23.836,41.953,0,0.000,0
25,1023,1024,0.9990,23.377,42.777,0,0.000,0
26,1024,1024,1.0000,23.277,42.961,0,0.000,0
27,1024,1024,1.0000,27.686,36.119,1,0.000,0
28,1024,1024,1.0000,26.296,38.029,1,0.000,0
29,1024,1024,1.0000,25.880,38.640,1,0.000,0
30,1024,1024,1.0000,25.801,38.758,1,0.000,0
31,1024,1024,1.0000,26.208,38.156,1,0.000,0
32,1024,1024,1.0000,26.140,38.256,1,0.000,0
33,1024,1024,1.0000,26.233,38.120,1,0.000,0
34,1024,1024,1.0000,25.440,39.308,1,0.000,0
35,1024,1024,1.0000,25.871,38.653,1,0.000,0
36,1024,1024,1.0000,25.894,38.619,1,0.000,0
37,1024,1024,1.0000,25.913,38.591,1,0.000,0
38,1024,1024,1.0000,25.630,39.017,1,0.000,0
39,1024,1024,1.0000,25.600,39.062,1,0.000,0
40,1024,1024,1.0000,25.570,39.108,1,0.000,0
41,1024,1024,1.0000,26.179,38.199,1,0.000,0
42,1024,1024,1.0000,25.748,38.838,1,0.000,0
43,1024,1024,1.0000,26.026,38.423,1,0.000,0
44,1024,1024,1.0000,25.847,38.689,1,0.000,0
45,1024,1024,1.0000,26.005,38.454,1,0.000,0
46,1024,1024,1.0000,26.022,38.429,1,0.000,0
47,1024,1024,1.0000,25.314,39.504,1,0.000,0
48,1024,1024,1.0000,25.771,38.803,1,0.000,0
49,1024,1024,1.0000,26.074,38.352,1,0.000,0
50,1024,1024,1.0000,25.942,38.548,1,0.000,0
51,1024,1024,1.0000,25.618,39.035,1,0.000,0
52,1024,1024,1.0000,25.618,39.035,1,0.000,0
53,1024,1024,1.0000,25.789,38.776,1,0.000,0
54,1024,1024,1.0000,26.010,38.447,1,0.000,0
55,1024,1024,1.0000,26.029,38.419,1,0.000,0
56,1024,1024,1.0000,26.262,38.078,1,0.000,0
57,1024,1024,1.0000,25.644,38.995,1,0.000,0
58,1024,1024,1.0000,26.014,38.441,1,0.000,0
59,1024,1024,1.0000,26.135,38.263,1,0.000,0
60,1024,1024,1.0000,25.948,38.539,1,0.000,0
61,1024,1024,1.0000,25.276,39.563,1,0.000,0
62,1024,1024,1.0000,25.803,38.755,1,0.000,0
63,1024,1024,1.0000,26.189,38.184,1,0.000,0
64,1024,1024,1.0000,26.320,37.994,1,0.000,0
65,1024,1024,1.0000,26.208,38.156,1,0.000,0
66,1024,1024,1.0000,26.136,38.261,1,0.000,0
67,1024,1024,1.0000,26.507,37.726,1,0.000,0
68,1024,1024,1.0000,28.231,35.422,1,0.000,0
69,1024,1024,1.0000,25.601,39.061,1,0.000,0
70,1024,1024,1.0000,25.431,39.322,1,0.000,0
71,1024,1024,1.0000,26.134,38.264,1,0.000,0
72,1024,1024,1.0000,26.061,38.372,1,0.000,0
73,1024,1024,1.0000,26.081,38.342,1,0.000,0
74,1024,1024,1.0000,26.004,38.456,1,0.000,0
75,1024,1024,1.0000,26.079,38.345,1,0.000,0
76,1024,1024,1.0000,29.385,34.031,1,0.000,0
77,1024,1024,1.0000,30.694,32.580,1,0.000,0
78,1024,1024,1.0000,30.927,32.334,1,0.000,0
79,1024,1024,1.0000,28.603,34.961,1,0.000,0
80,1024,1024,1.0000,38.158,26.207,1,0.000,0
81,1024,1024,1.0000,27.095,36.907,1,0.000,0
82,1024,1024,1.0000,25.764,38.814,1,0.000,0
83,1024,1024,1.0000,26.180,38.197,1,0.000,0
84,1024,1024,1.0000,25.554,39.133,1,0.000,0
85,1024,1024,1.0000,26.411,37.863,1,0.000,0
86,1024,1024,1.0000,25.995,38.469,1,0.000,0
87,1024,1024,1.0000,26.115,38.292,1,0.000,0
88,1024,1024,1.0000,26.204,38.162,1,0.000,0
89,1024,1024,1.0000,25.991,38.475,1,0.000,0
90,1024,1024,1.0000,27.515,36.344,1,0.000,0
91,1024,1024,1.0000,26.794,37.322,1,0.000,0
92,1024,1024,1.0000,26.766,37.361,1,0.000,0
93,1024,1024,1.0000,26.799,37.315,1,0.000,0
94,1024,1024,1.0000,26.938,37.122,1,0.000,0
95,1024,1024,1.0000,26.367,37.926,1,0.000,0
96,1024,1024,1.0000,26.366,37.928,1,0.000,0
97,1024,1024,1.0000,26.981,37.063,1,0.000,0
98,1024,1024,1.0000,26.752,37.380,1,0.000,0
99,1024,1024,1.0000,26.629,37.553,1,0.000,0
100,1024,1024,1.0000,27.339,36.578,1,0.000,0
101,1024,1024,1.0000,27.261,36.682,1,0.000,0
102,1024,1024,1.0000,27.527,36.328,1,0.000,0
103,1024,1024,1.0000,28.045,35.657,1,0.000,0
104,1024,1024,1.0000,27.626,36.198,1,0.000,0
105,1024,1024,1.0000,26.227,38.129,1,0.000,0
106,1024,1024,1.0000,26.875,37.209,1,0.000,0
107,1024,1024,1.0000,26.681,37.480,1,0.000,0
108,1024,1024,1.0000,26.822,37.283,1,0.000,0
109,1024,1024,1.0000,26.223,38.134,1,0.000,0
110,1024,1024,1.0000,26.094,38.323,1,0.000,0
111,1024,1024,1.0000,27.092,36.911,1,0.000,0
112,1024,1024,1.0000,27.158,36.822,1,0.000,0
113,1024,1024,1.0000,27.426,36.462,1,0.000,0
114,1024,1024,1.0000,26.399,37.880,1,0.000,0
115,1024,1024,1.0000,26.929,37.135,1,0.000,0
116,1024,1024,1.0000,27.152,36.830,1,0.000,0
117,1024,1024,1.0000,27.185,36.785,1,0.000,0
