order_idx,round,arm,ctx,policy,rc,decode_tokens,tok_per_sec,flash_attn,re_skipped,amortized,duration_s,t_start
1,1,p1_amortized,1024,1,0,2048,42.532,disabled,0,1,50.0,2026-08-21T00:37:48
2,1,p1_window,1024,1,0,2048,38.864,disabled,0,0,54.6,2026-08-21T00:41:58
3,1,p4_h2o,2048,4,0,2048,39.62,disabled,0,0,53.5,2026-08-21T00:46:13
4,1,p1_amortized,2048,1,0,2048,40.377,disabled,0,1,52.5,2026-08-21T00:50:26
5,1,p4_h2o,1024,4,0,2048,41.843,disabled,0,0,51.0,2026-08-21T00:54:39
6,1,p1_noreencode,1024,1,0,2048,39.89,disabled,1,0,53.0,2026-08-21T00:58:50
7,1,p1_noreencode,2048,1,0,2048,39.47,disabled,1,0,53.6,2026-08-21T01:03:03
8,1,p1_window,2048,1,0,2048,38.86,disabled,0,0,54.6,2026-08-21T01:07:17
9,2,p4_h2o,2048,4,0,2048,39.628,disabled,0,0,53.5,2026-08-21T01:11:31
10,2,p4_h2o,1024,4,0,2048,41.804,disabled,0,0,50.9,2026-08-21T01:15:45
11,2,p1_window,1024,1,0,2048,38.727,disabled,0,0,54.5,2026-08-21T01:19:56
12,2,p1_window,2048,1,0,2048,38.865,disabled,0,0,54.5,2026-08-21T01:24:10
13,2,p1_noreencode,1024,1,0,2048,39.891,disabled,1,0,53.0,2026-08-21T01:28:25
14,2,p1_amortized,2048,1,0,2048,40.401,disabled,0,1,52.5,2026-08-21T01:32:38
15,2,p1_noreencode,2048,1,0,2048,39.545,disabled,1,0,53.4,2026-08-21T01:36:50
16,2,p1_amortized,1024,1,0,2048,42.493,disabled,0,1,50.0,2026-08-21T01:41:04
17,3,p1_window,2048,1,0,2048,38.844,disabled,0,0,54.6,2026-08-21T01:45:14
18,3,p4_h2o,2048,4,0,2048,39.618,disabled,0,0,53.5,2026-08-21T01:49:28
19,3,p1_amortized,1024,1,0,2048,42.275,disabled,0,1,50.3,2026-08-21T01:53:42
20,3,p1_noreencode,1024,1,0,2048,39.252,disabled,1,0,53.9,2026-08-21T01:57:52
21,3,p4_h2o,1024,4,0,2048,41.651,disabled,0,0,51.4,2026-08-21T02:02:06
22,3,p1_window,1024,1,0,2048,37.999,disabled,0,0,55.9,2026-08-21T02:06:18
23,3,p1_noreencode,2048,1,0,2048,39.171,disabled,1,0,54.4,2026-08-21T02:10:33
24,3,p1_amortized,2048,1,0,2048,40.222,disabled,0,1,52.9,2026-08-21T02:14:48
