order_idx,round,arm,ctx,policy,rc,decode_tokens,tok_per_sec,flash_attn,re_skipped,amortized,duration_s,t_start
1,1,p1_noreencode,1024,1,0,2048,39.879,disabled,1,0,53.1,2026-08-21T02:32:41
2,1,p1_window,1024,1,0,2048,38.815,disabled,0,0,54.6,2026-08-21T02:36:54
3,2,p1_window,1024,1,0,2048,38.81,disabled,0,0,54.6,2026-08-21T02:41:09
4,2,p1_noreencode,1024,1,0,2048,39.89,disabled,1,0,53.0,2026-08-21T02:45:23
5,3,p1_window,1024,1,0,2048,38.774,disabled,0,0,54.6,2026-08-21T02:49:37
6,3,p1_noreencode,1024,1,0,2048,39.867,disabled,1,0,53.1,2026-08-21T02:53:51
7,4,p1_window,1024,1,0,2048,38.82,disabled,0,0,54.5,2026-08-21T02:58:04
8,4,p1_noreencode,1024,1,0,2048,39.884,disabled,1,0,53.0,2026-08-21T03:02:19
9,5,p1_window,1024,1,0,2048,38.764,disabled,0,0,54.6,2026-08-21T03:06:32
10,5,p1_noreencode,1024,1,0,2048,39.847,disabled,1,0,53.0,2026-08-21T03:10:46
11,6,p1_window,1024,1,0,2048,38.768,disabled,0,0,54.6,2026-08-21T03:14:59
12,6,p1_noreencode,1024,1,0,2048,39.901,disabled,1,0,53.1,2026-08-21T03:19:14
