order_idx,round,arm,ctx,policy,rc,decode_tokens,tok_per_sec,flash_attn,re_skipped,amortized,duration_s,t_start
1,1,p1_noreencode,2048,1,0,2048,39.533,disabled,1,0,55.1,2026-08-21T11:18:26
2,1,p1_window,2048,1,0,2048,38.869,disabled,0,0,54.6,2026-08-21T11:22:41
3,2,p1_window,2048,1,0,2048,38.875,disabled,0,0,54.5,2026-08-21T11:26:55
4,2,p1_noreencode,2048,1,0,2048,39.54,disabled,1,0,53.5,2026-08-21T11:31:10
5,3,p1_window,2048,1,0,2048,38.889,disabled,0,0,54.6,2026-08-21T11:35:23
6,3,p1_noreencode,2048,1,0,2048,39.493,disabled,1,0,54.0,2026-08-21T11:39:38
7,4,p1_window,2048,1,0,2048,38.865,disabled,0,0,54.6,2026-08-21T11:43:52
8,4,p1_noreencode,2048,1,0,2048,39.513,disabled,1,0,53.5,2026-08-21T11:48:07
9,5,p1_window,2048,1,0,2048,38.848,disabled,0,0,54.5,2026-08-21T11:52:20
10,5,p1_noreencode,2048,1,0,2048,39.537,disabled,1,0,53.6,2026-08-21T11:56:35
11,6,p1_window,2048,1,0,2048,38.843,disabled,0,0,54.5,2026-08-21T12:00:48
12,6,p1_noreencode,2048,1,0,2048,39.534,disabled,1,0,53.6,2026-08-21T12:05:03
