spill_cap_cells,spill_dev,cap_mib,outcome,rc,decode_tokens,tok_per_sec,flash_attn,tier_device_visible,mtl_total_mib,mtl_free_mib,mtl_self_mib,mtl_unaccounted_mib,host_store_mib,gpu_oom_lines,duration_s
16384,1,2048.0,COMPLETES,0,1536,37.892,disabled,True,16384,9263,5071,2048,2048.0,0,42.3
32768,1,4096.0,COMPLETES,0,1536,38.415,disabled,True,16384,7215,5071,4096,4096.0,0,42.4
49152,1,6144.0,COMPLETES,0,1536,38.317,disabled,True,16384,5167,5071,6144,6144.0,0,42.3
65536,1,8192.0,COMPLETES,0,1536,37.787,disabled,True,16384,3119,5071,8192,8192.0,0,43.3
81920,1,10240.0,COMPLETES,0,1536,36.725,disabled,True,16384,1071,5071,10240,10240.0,0,44.9
90112,1,11264.0,GPU_OOM,1,,,disabled,True,,,,,11264.0,14,1.7
16384,0,2048.0,COMPLETES,0,1536,22.926,disabled,False,16384,11311,5071,0,2048.0,0,69.0
32768,0,4096.0,COMPLETES,0,1536,21.741,disabled,False,16384,11311,5071,0,4096.0,0,73.0
49152,0,6144.0,COMPLETES,0,1536,21.938,disabled,False,16384,11311,5071,0,6144.0,0,72.6
65536,0,8192.0,COMPLETES,0,1536,22.212,disabled,False,16384,11311,5071,0,8192.0,0,71.6
81920,0,10240.0,COMPLETES,0,1536,22.725,disabled,False,16384,11311,5071,0,10240.0,0,70.6
90112,0,11264.0,COMPLETES,0,1536,22.586,disabled,False,16384,11311,5071,0,11264.0,0,70.6
98304,0,12288.0,COMPLETES,0,1536,22.711,disabled,False,16384,11311,5071,0,12288.0,0,70.5
131072,0,16384.0,COMPLETES,0,1536,22.384,disabled,False,16384,11311,5071,0,16384.0,0,71.5
