order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,8192,1,9216,0,96,3160.4,8271.5,43.095,43.067,0.195,disabled,True,46.9,2026-08-07T01:03:22
2,0,8192,2,9216,0,96,7950.4,8271.5,57.921,54.764,6.029,disabled,False,95.0,2026-08-07T01:07:29
3,1,2048,2,3072,0,96,1722.3,2127.5,29.84,29.786,0.181,disabled,True,13.3,2026-08-07T01:12:25
4,1,0,3,512,0,96,1164.3,0,22.604,22.58,0.141,disabled,True,4.7,2026-08-07T01:15:59
5,0,512,3,1536,0,96,2148.5,591.5,33.933,33.714,1.129,disabled,False,9.8,2026-08-07T01:19:24
6,1,4096,1,5120,0,96,2181.4,4175.5,34.25,34.194,0.166,disabled,True,22.0,2026-08-07T01:22:54
7,1,4096,2,5120,0,96,2167.0,4175.5,34.289,34.188,0.237,disabled,True,22.0,2026-08-07T01:26:36
8,0,4096,1,5120,0,96,4968.9,4175.5,43.289,42.763,2.012,disabled,False,37.4,2026-08-07T01:30:18
9,0,2048,2,3072,0,96,3506.8,2127.5,37.53,36.903,1.909,disabled,False,19.3,2026-08-07T01:34:16
10,1,2048,3,3072,0,96,1722.7,2127.5,29.688,29.659,0.158,disabled,True,13.3,2026-08-07T01:37:55
11,1,4096,3,5120,0,96,2172.4,4175.5,34.254,34.226,0.153,disabled,True,21.9,2026-08-07T01:41:28
12,0,1024,1,2048,0,96,2550.4,1103.5,34.752,34.195,1.812,disabled,False,12.3,2026-08-07T01:45:11
13,0,0,1,512,0,96,1171.7,0,22.572,22.567,0.086,disabled,False,4.7,2026-08-07T01:48:43
14,0,1024,3,2048,0,96,2480.2,1103.5,34.53,34.21,1.267,disabled,False,12.3,2026-08-07T01:52:08
15,0,4096,3,5120,0,96,5206.2,4175.5,44.407,42.522,4.637,disabled,False,37.7,2026-08-07T01:55:40
16,0,4096,2,5120,0,96,4950.5,4175.5,44.852,43.62,3.954,disabled,False,37.7,2026-08-07T01:59:38
17,0,4096,5,5120,0,96,4950.8,4175.5,43.404,42.818,2.078,disabled,False,37.2,2026-08-07T02:03:36
18,1,512,2,1536,0,96,1416.7,591.5,26.509,26.493,0.105,disabled,True,7.7,2026-08-07T02:07:33
19,0,512,2,1536,0,96,2165.2,591.5,33.888,33.445,1.722,disabled,False,9.8,2026-08-07T02:11:01
20,1,8192,2,9216,0,96,3140.1,8271.5,43.051,43.014,0.177,disabled,True,44.8,2026-08-07T02:14:30
21,0,1024,2,2048,0,96,2474.4,1103.5,34.824,34.341,1.653,disabled,False,12.3,2026-08-07T02:18:35
22,0,8192,1,9216,0,96,8023.4,8271.5,58.432,55.898,6.007,disabled,False,94.5,2026-08-07T02:22:07
23,0,0,2,512,0,96,1162.7,0,22.576,22.535,0.144,disabled,False,4.7,2026-08-07T02:27:02
24,0,8192,3,9216,0,96,8024.3,8271.5,55.693,54.432,3.388,disabled,False,93.5,2026-08-07T02:30:26
25,1,512,3,1536,0,96,1414.3,591.5,26.625,26.455,0.582,disabled,True,7.7,2026-08-07T02:35:20
26,1,8192,3,9216,0,96,3129.5,8271.5,43.043,43.008,0.143,disabled,True,44.9,2026-08-07T02:38:48
27,0,2048,3,3072,0,96,3498.6,2127.5,37.132,36.68,1.716,disabled,False,18.9,2026-08-07T02:42:53
28,1,2048,1,3072,0,96,1720.3,2127.5,29.79,29.744,0.25,disabled,True,13.3,2026-08-07T02:46:32
29,0,2048,1,3072,0,96,3434.7,2127.5,37.37,36.79,1.751,disabled,False,18.9,2026-08-07T02:50:05
30,0,4096,4,5120,0,96,5704.0,4175.5,43.508,42.94,2.18,disabled,False,38.2,2026-08-07T02:53:44
31,1,1024,1,2048,0,96,1516.8,1103.5,27.664,27.615,0.428,disabled,True,9.8,2026-08-07T02:57:42
32,1,1024,2,2048,0,96,1514.5,1103.5,27.686,27.72,0.38,disabled,True,9.7,2026-08-07T03:01:12
33,1,0,1,512,0,96,1170.1,0,22.523,22.511,0.127,disabled,True,4.7,2026-08-07T03:04:42
34,0,512,1,1536,0,96,2154.9,591.5,34.053,33.354,2.11,disabled,False,9.7,2026-08-07T03:08:06
35,1,1024,3,2048,0,96,1515.2,1103.5,27.568,27.543,0.399,disabled,True,9.3,2026-08-07T03:11:36
36,1,512,1,1536,0,96,1415.7,591.5,26.522,26.465,0.343,disabled,True,7.7,2026-08-07T03:15:05
37,1,0,2,512,0,96,1166.3,0,22.506,22.495,0.119,disabled,True,4.7,2026-08-07T03:18:33
38,0,0,3,512,0,96,1164.3,0,22.515,22.492,0.109,disabled,False,4.7,2026-08-07T03:21:58
