order_idx,arm,ctx,policy,spill_dev,trial,rc,decode_tokens,tok_per_sec,flash_attn,tier_device_visible,duration_s,t_start
1,p1_window,1024,1,0,3,0,2048,39.573,disabled,False,53.6,2026-08-07T03:25:22
2,p3_cpu,2048,3,0,3,0,2048,35.377,disabled,False,59.6,2026-08-07T03:29:36
3,p4_h2o,1024,4,0,1,0,2048,42.41,disabled,False,50.1,2026-08-07T03:33:56
4,p4_h2o,1024,4,0,3,0,2048,42.43,disabled,False,49.9,2026-08-07T03:38:06
5,p4_h2o,2048,4,0,1,0,2048,40.16,disabled,False,53.1,2026-08-07T03:42:16
6,p0_upstream,2048,0,0,3,0,1536,41.531,disabled,False,38.8,2026-08-07T03:46:29
7,p0_upstream,2048,0,0,1,0,1536,41.535,disabled,False,38.8,2026-08-07T03:50:28
8,p3_dev,1024,3,1,2,0,2048,38.073,disabled,True,55.6,2026-08-07T03:54:26
9,p3_dev,2048,3,1,3,0,2048,39.656,disabled,True,53.6,2026-08-07T03:58:42
10,p3_cpu,1024,3,0,3,0,2048,30.075,disabled,False,70.2,2026-08-07T04:02:56
11,p3_dev,2048,3,1,1,0,2048,39.631,disabled,True,53.6,2026-08-07T04:07:26
12,p0_upstream,2048,0,0,2,0,1536,41.475,disabled,False,38.8,2026-08-07T04:11:39
13,p0_upstream,1024,0,0,3,0,512,43.349,disabled,False,13.9,2026-08-07T04:15:38
14,p3_cpu,2048,3,0,2,0,2048,35.875,disabled,False,59.1,2026-08-07T04:19:12
15,p1_window,2048,1,0,2,0,2048,39.386,disabled,False,54.1,2026-08-07T04:23:31
16,p3_cpu,1024,3,0,1,0,2048,30.281,disabled,False,69.7,2026-08-07T04:27:45
17,p3_dev,2048,3,1,2,0,2048,39.639,disabled,True,53.6,2026-08-07T04:32:15
18,p3_dev,1024,3,1,1,0,2048,38.059,disabled,True,55.6,2026-08-07T04:36:29
19,p1_window,1024,1,0,1,0,2048,39.34,disabled,False,54.1,2026-08-07T04:40:44
20,p1_window,2048,1,0,1,0,2048,39.367,disabled,False,54.1,2026-08-07T04:44:58
21,p4_h2o,1024,4,0,2,0,2048,42.408,disabled,False,50.0,2026-08-07T04:49:13
22,p3_cpu,2048,3,0,1,0,2048,35.614,disabled,False,59.5,2026-08-07T04:53:23
23,p0_upstream,1024,0,0,1,0,512,43.403,disabled,False,13.8,2026-08-07T04:57:42
24,p1_window,1024,1,0,2,0,2048,39.274,disabled,False,54.1,2026-08-07T05:01:16
25,p4_h2o,2048,4,0,2,0,2048,40.217,disabled,False,53.1,2026-08-07T05:05:30
26,p3_dev,1024,3,1,3,0,2048,38.078,disabled,True,55.6,2026-08-07T05:09:43
27,p0_upstream,1024,0,0,2,0,512,43.425,disabled,False,13.9,2026-08-07T05:13:59
28,p3_cpu,1024,3,0,2,0,2048,30.368,disabled,False,69.3,2026-08-07T05:17:33
29,p1_window,2048,1,0,3,0,2048,39.377,disabled,False,54.1,2026-08-07T05:22:02
30,p4_h2o,2048,4,0,3,0,2048,40.133,disabled,False,53.1,2026-08-07T05:26:16
