budget_mib,ctx,decode_tokens,device_kib_per_ctx_token,device_total_mib,duration_s,fa_requested,flash_attn,gpu_oom_lines,kv_mib,model_mib,n_batch,n_ubatch,outcome,policy,prefill_ms,prompt_tokens,rc,scratch_kib_per_ctx_token,scratch_mib,tag,tok_per_sec,x_budget
17179.89,49152,8,136.3,11227.8,64.6,off,disabled,0,6144.0,4685.3,512,64,COMPLETES,0,63103.3,16384,0,8.3,398.5,A1_ub64_c49152,19.963,0.654
17179.89,65536,8,136.29,13407.8,65.3,off,disabled,0,8192.0,4685.3,512,64,COMPLETES,0,63946.49,16384,0,8.29,530.5,A1_ub64_c65536,19.768,0.78
17179.89,81920,8,136.28,15587.8,67.3,off,disabled,0,10240.0,4685.3,512,64,COMPLETES,0,65527.71,16384,0,8.28,662.5,A1_ub64_c81920,19.763,0.907
17179.89,98304,,136.28,17767.8,1.7,off,disabled,8,12288.0,4685.3,512,64,GPU_OOM,0,,16384,1,8.28,794.5,A1_ub64_c98304,,1.034
17179.89,49152,8,144.6,11626.3,64.6,off,disabled,0,6144.0,4685.3,512,128,COMPLETES,0,63166.26,16384,0,16.6,797.0,A1_ub128_c49152,19.704,0.677
17179.89,65536,8,144.58,13938.3,66.3,off,disabled,0,8192.0,4685.3,512,128,COMPLETES,0,64532.12,16384,0,16.58,1061.0,A1_ub128_c65536,19.385,0.811
17179.89,81920,8,144.56,16250.3,251.8,off,disabled,0,10240.0,4685.3,512,128,COMPLETES,0,248871.38,16384,0,16.56,1325.0,A1_ub128_c81920,5.08,0.946
17179.89,98304,,144.55,18562.3,1.7,off,disabled,8,12288.0,4685.3,512,128,GPU_OOM,0,,16384,1,16.55,1589.0,A1_ub128_c98304,,1.08
17179.89,49152,8,161.21,12423.3,62.6,off,disabled,0,6144.0,4685.3,512,256,COMPLETES,0,61081.38,16384,0,33.21,1594.0,A1_ub256_c49152,19.385,0.723
17179.89,65536,8,161.16,14999.3,65.3,off,disabled,0,8192.0,4685.3,512,256,COMPLETES,0,63497.99,16384,0,33.16,2122.0,A1_ub256_c65536,18.958,0.873
17179.89,81920,,161.12,17575.3,1.1,off,disabled,8,10240.0,4685.3,512,256,GPU_OOM,0,,16384,1,33.12,2650.0,A1_ub256_c81920,,1.023
17179.89,49152,8,194.42,14017.3,70.6,off,disabled,0,6144.0,4685.3,512,512,COMPLETES,0,69123.15,16384,0,66.42,3188.01,A1_ub512_c49152,16.122,0.816
17179.89,65536,,194.31,17121.3,1.1,off,disabled,8,8192.0,4685.3,512,512,GPU_OOM,0,,16384,1,66.31,4244.01,A1_ub512_c65536,,0.997
