budget_mib,ctx,decode_tokens,device_kib_per_ctx_token,device_total_mib,duration_s,fa_requested,flash_attn,gpu_oom_lines,kv_mib,model_mib,n_batch,n_ubatch,outcome,policy,prefill_ms,prompt_tokens,rc,scratch_kib_per_ctx_token,scratch_mib,tag,tok_per_sec,x_budget
16384.01985168457,49152,8,118.29,7596.4,33.1,off,disabled,0,5376.0,1918.35,512,64,COMPLETES,0,31948.21,16384,0,6.29,302.0,A1_ub64_c49152,32.737,0.464
16384.01985168457,81920,8,118.28,11380.4,33.6,off,disabled,0,8960.0,1918.35,512,64,COMPLETES,0,32020.04,16384,0,6.28,502.0,A1_ub64_c81920,32.858,0.695
16384.01985168457,98304,8,118.27,13272.4,34.1,off,disabled,0,10752.0,1918.35,512,64,COMPLETES,0,32385.37,16384,0,6.27,602.0,A1_ub64_c98304,32.684,0.81
16384.01985168457,114688,8,118.27,15164.4,34.1,off,disabled,0,12544.0,1918.35,512,64,COMPLETES,0,32319.0,16384,0,6.27,702.0,A1_ub64_c114688,32.332,0.926
16384.01985168457,131072,,118.27,17056.3,1.6,off,disabled,8,14336.0,1918.35,512,64,GPU_OOM,0,,16384,1,6.27,802.0,A1_ub64_c131072,,1.041
16384.01985168457,49152,8,124.58,7898.4,32.0,off,disabled,0,5376.0,1918.35,512,128,COMPLETES,0,30894.3,16384,0,12.58,604.0,A1_ub128_c49152,32.553,0.482
16384.01985168457,81920,8,124.55,11882.4,32.5,off,disabled,0,8960.0,1918.35,512,128,COMPLETES,0,31090.46,16384,0,12.55,1004.0,A1_ub128_c81920,32.417,0.725
16384.01985168457,98304,8,124.54,13874.4,32.5,off,disabled,0,10752.0,1918.35,512,128,COMPLETES,0,30996.31,16384,0,12.54,1204.0,A1_ub128_c98304,32.376,0.847
16384.01985168457,114688,8,124.54,15866.4,33.0,off,disabled,0,12544.0,1918.35,512,128,COMPLETES,0,31633.27,16384,0,12.54,1404.0,A1_ub128_c114688,32.457,0.968
16384.01985168457,131072,,124.53,17858.3,1.7,off,disabled,8,14336.0,1918.35,512,128,GPU_OOM,0,,16384,1,12.53,1604.0,A1_ub128_c131072,,1.09
16384.01985168457,49152,8,137.17,8502.4,32.3,off,disabled,0,5376.0,1918.35,512,256,COMPLETES,0,30992.61,16384,0,25.17,1208.0,A1_ub256_c49152,32.34,0.519
16384.01985168457,81920,8,137.1,12886.4,32.8,off,disabled,0,8960.0,1918.35,512,256,COMPLETES,0,31620.81,16384,0,25.1,2008.0,A1_ub256_c81920,31.833,0.787
16384.01985168457,98304,8,137.08,15078.4,33.4,off,disabled,0,10752.0,1918.35,512,256,COMPLETES,0,32060.17,16384,0,25.08,2408.0,A1_ub256_c98304,31.877,0.92
16384.01985168457,114688,,137.07,17270.3,1.1,off,disabled,8,12544.0,1918.35,512,256,GPU_OOM,0,,16384,1,25.07,2808.0,A1_ub256_c114688,,1.054
16384.01985168457,49152,8,162.33,9710.4,33.3,off,disabled,0,5376.0,1918.35,512,512,COMPLETES,0,32269.34,16384,0,50.33,2416.01,A1_ub512_c49152,31.113,0.593
16384.01985168457,81920,8,162.2,14894.4,33.8,off,disabled,0,8960.0,1918.35,512,512,COMPLETES,0,32454.25,16384,0,50.2,4016.01,A1_ub512_c81920,31.764,0.909
16384.01985168457,98304,,162.17,17486.4,1.1,off,disabled,8,10752.0,1918.35,512,512,GPU_OOM,0,,16384,1,50.17,4816.01,A1_ub512_c98304,,1.067
