order_idx,round,arm,ctx,policy,spill_dev,fa_requested,flash_attn,rc,decode_tokens,tok_per_sec,duration_s,t_start
1,1,p0_fa_on,1024,0,0,on,enabled,0,512,46.488,12.8,2026-08-19T23:59:59
2,1,p3_dev,1024,3,1,off,disabled,0,2048,37.652,56.1,2026-08-20T00:03:31
3,1,p0_fa_off,1024,0,0,off,disabled,0,512,42.831,13.8,2026-08-20T00:07:48
4,1,p0_fa_off,2048,0,0,off,disabled,0,1536,40.96,39.3,2026-08-20T00:11:21
5,1,p0_fa_on,2048,0,0,on,enabled,0,1536,46.03,35.2,2026-08-20T00:15:21
6,1,p4_h2o,2048,4,0,off,disabled,0,2048,39.639,53.6,2026-08-20T00:19:16
7,1,p4_h2o,1024,4,0,off,disabled,0,2048,41.859,51.0,2026-08-20T00:23:30
8,1,p3_dev,2048,3,1,off,disabled,0,2048,39.136,54.0,2026-08-20T00:27:41
9,2,p0_fa_off,1024,0,0,off,disabled,0,512,42.839,13.8,2026-08-20T00:31:55
10,2,p3_dev,1024,3,1,off,disabled,0,2048,37.624,56.6,2026-08-20T00:35:28
11,2,p0_fa_on,2048,0,0,on,enabled,0,1536,45.98,35.2,2026-08-20T00:39:45
12,2,p0_fa_on,1024,0,0,on,enabled,0,512,46.712,12.8,2026-08-20T00:43:40
13,2,p4_h2o,1024,4,0,off,disabled,0,2048,41.875,51.0,2026-08-20T00:47:13
14,2,p0_fa_off,2048,0,0,off,disabled,0,1536,40.977,39.3,2026-08-20T00:51:24
15,2,p4_h2o,2048,4,0,off,disabled,0,2048,39.647,53.6,2026-08-20T00:55:24
16,2,p3_dev,2048,3,1,off,disabled,0,2048,39.131,54.1,2026-08-20T00:59:37
17,3,p0_fa_on,2048,0,0,on,enabled,0,1536,45.958,35.2,2026-08-20T01:03:51
18,3,p0_fa_on,1024,0,0,on,enabled,0,512,46.671,12.8,2026-08-20T01:07:47
19,3,p4_h2o,2048,4,0,off,disabled,0,2048,39.618,53.6,2026-08-20T01:11:19
20,3,p3_dev,2048,3,1,off,disabled,0,2048,39.09,54.1,2026-08-20T01:15:33
21,3,p0_fa_off,2048,0,0,off,disabled,0,1536,40.964,39.3,2026-08-20T01:19:47
22,3,p0_fa_off,1024,0,0,off,disabled,0,512,42.857,13.9,2026-08-20T01:23:46
23,3,p4_h2o,1024,4,0,off,disabled,0,2048,41.873,51.0,2026-08-20T01:27:20
24,3,p3_dev,1024,3,1,off,disabled,0,2048,37.602,56.6,2026-08-20T01:31:31
