order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,0,512,1,1536,0,96,556.4,591.5,9.92,9.754,0.74,disabled,False,2.6,2026-08-28T23:33:21
2,1,32,1,1056,0,96,26.3,111.5,6.353,6.281,0.156,disabled,True,1.6,2026-08-28T23:36:44
3,0,8,1,1032,0,96,90.3,87.5,9.393,8.989,1.09,disabled,False,2.1,2026-08-28T23:40:06
4,1,8,1,1032,0,96,68.5,87.5,6.325,6.262,0.154,disabled,True,1.6,2026-08-28T23:43:29
5,0,32,1,1056,0,96,43.5,111.5,9.163,8.982,0.738,disabled,False,2.1,2026-08-28T23:46:51
6,0,128,1,1152,0,96,135.9,207.5,9.176,8.904,1.112,disabled,False,2.1,2026-08-28T23:50:14
7,1,128,1,1152,0,96,75.5,207.5,6.349,6.285,0.154,disabled,True,1.6,2026-08-28T23:53:37
8,0,8192,1,9216,0,96,2281.9,8271.5,19.446,17.258,4.892,disabled,False,27.0,2026-08-28T23:56:59
9,1,512,1,1536,0,96,294.4,591.5,6.871,6.818,0.136,disabled,True,2.1,2026-08-29T00:00:46
10,1,8192,1,9216,0,96,1135.9,8271.5,14.717,14.648,0.2,disabled,True,14.3,2026-08-29T00:04:09
11,1,0,1,512,0,96,186.2,0,5.198,5.152,0.12,disabled,True,1.6,2026-08-29T00:07:44
12,1,2048,1,3072,0,96,443.6,2127.5,8.506,8.439,0.146,disabled,True,3.6,2026-08-29T00:11:06
13,0,2048,1,3072,0,96,904.0,2127.5,11.171,11.099,0.255,disabled,False,5.2,2026-08-29T00:14:30
14,0,0,1,512,0,96,191.3,0,5.21,5.168,0.113,disabled,False,1.6,2026-08-29T00:17:56
15,1,8192,2,9216,0,96,1143.4,8271.5,14.721,14.661,0.151,disabled,True,14.3,2026-08-29T00:21:18
16,0,8192,2,9216,0,96,2323.7,8271.5,25.505,24.556,8.544,disabled,False,27.5,2026-08-29T00:24:53
17,1,0,2,512,0,96,187.1,0,5.217,5.171,0.123,disabled,True,1.6,2026-08-29T00:28:41
18,1,2048,2,3072,0,96,446.3,2127.5,8.489,8.425,0.142,disabled,True,3.7,2026-08-29T00:32:04
19,0,512,2,1536,0,96,544.9,591.5,10.138,9.757,1.086,disabled,False,2.6,2026-08-29T00:35:28
20,0,2048,2,3072,0,96,918.1,2127.5,11.032,10.973,0.293,disabled,False,5.2,2026-08-29T00:38:51
21,1,512,2,1536,0,96,294.4,591.5,6.887,6.821,0.153,disabled,True,2.1,2026-08-29T00:42:17
22,0,32,2,1056,0,96,43.5,111.5,9.479,9.003,2.112,disabled,False,2.1,2026-08-29T00:45:40
23,1,128,2,1152,0,96,74.0,207.5,6.338,6.29,0.115,disabled,True,1.6,2026-08-29T00:49:02
24,0,128,2,1152,0,96,134.2,207.5,9.418,9.099,0.853,disabled,False,2.1,2026-08-29T00:52:25
25,1,8,2,1032,0,96,30.5,87.5,6.346,6.249,0.274,disabled,True,1.6,2026-08-29T00:55:47
26,0,0,2,512,0,96,192.2,0,5.202,5.155,0.123,disabled,False,1.6,2026-08-29T00:59:09
27,1,32,2,1056,0,96,26.4,111.5,6.333,6.268,0.152,disabled,True,1.6,2026-08-29T01:02:32
28,0,8,2,1032,0,96,31.8,87.5,9.405,9.037,1.049,disabled,False,2.1,2026-08-29T01:05:54
29,0,32,3,1056,0,96,44.7,111.5,9.278,9.019,0.86,disabled,False,2.1,2026-08-29T01:09:17
30,0,512,3,1536,0,96,546.9,591.5,10.365,9.784,2.529,disabled,False,2.6,2026-08-29T01:12:39
31,1,2048,3,3072,0,96,444.3,2127.5,8.5,8.441,0.139,disabled,True,3.7,2026-08-29T01:16:03
32,0,8,3,1032,0,96,32.2,87.5,9.234,9.046,0.795,disabled,False,2.1,2026-08-29T01:19:27
33,0,2048,3,3072,0,96,930.0,2127.5,11.552,11.12,2.072,disabled,False,5.2,2026-08-29T01:22:50
34,1,0,3,512,0,96,191.5,0,5.224,5.162,0.135,disabled,True,1.6,2026-08-29T01:26:15
35,0,128,3,1152,0,96,135.5,207.5,9.12,8.902,0.741,disabled,False,2.1,2026-08-29T01:29:38
36,0,0,3,512,0,96,190.8,0,5.262,5.188,0.273,disabled,False,1.6,2026-08-29T01:33:00
37,1,512,3,1536,0,96,294.9,591.5,6.875,6.803,0.171,disabled,True,2.1,2026-08-29T01:36:23
38,1,128,3,1152,0,96,75.0,207.5,6.343,6.285,0.145,disabled,True,1.6,2026-08-29T01:39:45
39,1,8,3,1032,0,96,30.7,87.5,6.319,6.261,0.15,disabled,True,1.6,2026-08-29T01:43:07
40,1,32,3,1056,0,96,24.6,111.5,6.337,6.293,0.125,disabled,True,1.6,2026-08-29T01:46:30
41,0,8192,3,9216,0,96,2297.5,8271.5,28.193,24.186,16.593,disabled,False,27.5,2026-08-29T01:49:52
42,1,8192,3,9216,0,96,1137.9,8271.5,14.731,14.655,0.175,disabled,True,14.3,2026-08-29T01:53:40
