order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,0,1,512,0,96,507.7,0,11.616,11.55,0.191,disabled,True,3.1,2026-08-29T03:27:31
2,1,8,1,1032,0,96,62.4,87.5,13.69,13.64,0.179,disabled,True,3.7,2026-08-29T03:30:55
3,0,8,1,1032,0,96,75.8,87.5,19.545,19.303,1.194,disabled,False,4.2,2026-08-29T03:34:20
4,1,128,1,1152,0,96,171.1,207.5,13.723,13.686,0.179,disabled,True,3.6,2026-08-29T03:37:44
5,0,128,1,1152,0,96,302.5,207.5,20.021,19.425,1.979,disabled,False,4.6,2026-08-29T03:41:08
6,1,32,1,1056,0,96,56.9,111.5,13.712,13.686,0.198,disabled,True,3.7,2026-08-29T03:44:34
7,0,32,1,1056,0,96,92.0,111.5,19.731,19.459,1.067,disabled,False,4.1,2026-08-29T03:47:58
8,0,0,1,512,0,96,509.0,0,11.657,11.537,0.495,disabled,False,2.6,2026-08-29T03:51:23
9,0,8,2,1032,0,96,77.4,87.5,19.476,19.218,1.202,disabled,False,4.2,2026-08-29T03:54:46
10,1,0,2,512,0,96,509.1,0,11.628,11.543,0.24,disabled,True,2.6,2026-08-29T03:58:11
11,1,8,2,1032,0,96,63.7,87.5,13.641,13.576,0.153,disabled,True,3.7,2026-08-29T04:01:34
12,0,0,2,512,0,96,512.0,0,11.63,11.511,0.416,disabled,False,2.6,2026-08-29T04:04:58
13,1,32,2,1056,0,96,55.9,111.5,13.69,13.6,0.163,disabled,True,3.7,2026-08-29T04:08:22
14,0,128,2,1152,0,96,302.8,207.5,19.726,19.362,1.282,disabled,False,4.7,2026-08-29T04:11:46
15,0,32,2,1056,0,96,88.6,111.5,19.696,19.479,1.023,disabled,False,4.2,2026-08-29T04:15:11
16,1,128,2,1152,0,96,170.4,207.5,13.677,13.596,0.183,disabled,True,3.6,2026-08-29T04:18:36
17,0,32,3,1056,0,96,88.7,111.5,19.727,19.362,1.331,disabled,False,4.2,2026-08-29T04:22:00
18,1,128,3,1152,0,96,169.3,207.5,13.709,13.695,0.193,disabled,True,3.7,2026-08-29T04:25:25
19,0,0,3,512,0,96,505.0,0,11.569,11.535,0.144,disabled,False,2.6,2026-08-29T04:28:49
20,0,8,3,1032,0,96,75.8,87.5,19.441,19.337,0.493,disabled,False,4.2,2026-08-29T04:32:12
21,1,0,3,512,0,96,507.0,0,11.597,11.517,0.218,disabled,True,2.6,2026-08-29T04:35:37
22,1,32,3,1056,0,96,57.0,111.5,13.672,13.603,0.178,disabled,True,3.7,2026-08-29T04:39:00
23,1,8,3,1032,0,96,63.6,87.5,13.677,13.595,0.185,disabled,True,3.6,2026-08-29T04:42:25
24,0,128,3,1152,0,96,319.8,207.5,19.734,19.389,1.477,disabled,False,4.6,2026-08-29T04:45:49
