order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,0,1,512,0,96,1186.5,0,23.381,23.046,1.623,disabled,True,6.7,2026-08-29T04:49:14
2,1,8,1,1032,0,96,141.5,87.5,25.903,25.839,0.375,disabled,True,6.7,2026-08-29T04:52:42
3,0,8,1,1032,0,96,172.6,87.5,32.693,32.132,1.823,disabled,False,7.2,2026-08-29T04:56:09
4,1,128,1,1152,0,96,359.3,207.5,25.968,25.849,0.592,disabled,True,6.7,2026-08-29T04:59:37
5,0,128,1,1152,0,96,529.3,207.5,32.371,32.072,1.255,disabled,False,7.7,2026-08-29T05:03:04
6,1,32,1,1056,0,96,114.1,111.5,25.872,25.839,0.345,disabled,True,6.7,2026-08-29T05:06:32
7,0,32,1,1056,0,96,170.9,111.5,32.805,32.373,1.577,disabled,False,7.2,2026-08-29T05:09:59
8,0,0,1,512,0,96,1186.6,0,23.03,23.043,0.258,disabled,False,4.7,2026-08-29T05:13:27
9,0,8,2,1032,0,96,162.9,87.5,32.729,32.215,1.778,disabled,False,7.2,2026-08-29T05:16:53
10,1,0,2,512,0,96,1180.4,0,22.972,23.003,0.196,disabled,True,4.7,2026-08-29T05:20:20
11,1,8,2,1032,0,96,141.2,87.5,25.721,25.707,0.251,disabled,True,6.7,2026-08-29T05:23:46
12,0,0,2,512,0,96,1188.4,0,22.974,22.989,0.215,disabled,False,4.7,2026-08-29T05:27:13
13,1,32,2,1056,0,96,113.5,111.5,25.763,25.745,0.254,disabled,True,6.7,2026-08-29T05:30:38
14,0,128,2,1152,0,96,552.4,207.5,32.423,32.069,1.302,disabled,False,7.7,2026-08-29T05:34:05
15,0,32,2,1056,0,96,169.5,111.5,32.761,32.398,1.449,disabled,False,7.2,2026-08-29T05:37:34
16,1,128,2,1152,0,96,358.9,207.5,25.8,25.783,0.293,disabled,True,6.7,2026-08-29T05:41:02
17,0,32,3,1056,0,96,170.5,111.5,32.705,32.36,1.173,disabled,False,7.2,2026-08-29T05:44:29
18,1,128,3,1152,0,96,358.0,207.5,25.816,25.798,0.279,disabled,True,6.7,2026-08-29T05:47:57
19,0,0,3,512,0,96,1189.8,0,22.976,22.985,0.2,disabled,False,4.7,2026-08-29T05:51:24
20,0,8,3,1032,0,96,164.6,87.5,32.631,32.215,1.573,disabled,False,7.2,2026-08-29T05:54:49
21,1,0,3,512,0,96,1183.3,0,23.003,22.997,0.279,disabled,True,4.7,2026-08-29T05:58:17
22,1,32,3,1056,0,96,113.3,111.5,25.74,25.739,0.248,disabled,True,6.7,2026-08-29T06:01:42
23,1,8,3,1032,0,96,142.0,87.5,25.745,25.761,0.249,disabled,True,6.7,2026-08-29T06:05:10
24,0,128,3,1152,0,96,540.4,207.5,32.836,32.432,1.427,disabled,False,7.8,2026-08-29T06:08:37
