order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,1024,2,2048,0,96,1362.5,1103.5,24.943,24.936,0.115,disabled,True,8.7,2026-08-15T01:06:57
2,1,4096,2,5120,0,96,1899.1,4175.5,30.35,30.364,0.131,disabled,True,20.0,2026-08-15T01:10:27
3,1,0,3,512,0,96,1102.1,0,21.164,21.159,0.088,disabled,True,4.7,2026-08-15T01:14:07
4,1,4096,3,5120,0,96,1955.3,4175.5,30.434,30.435,0.118,disabled,True,19.9,2026-08-15T01:17:33
5,0,512,3,1536,0,96,1851.0,591.5,29.555,29.15,1.285,disabled,False,8.7,2026-08-15T01:21:13
6,1,0,1,512,0,96,1096.6,0,21.286,21.209,0.383,disabled,True,4.7,2026-08-15T01:24:42
7,0,8192,2,9216,0,96,6286.6,8271.5,47.553,44.645,5.13,disabled,False,73.2,2026-08-15T01:28:08
8,1,2048,3,3072,0,96,1532.4,2127.5,26.731,26.724,0.141,disabled,True,11.8,2026-08-15T01:32:41
9,0,0,1,512,0,96,1089.7,0,21.185,21.168,0.125,disabled,False,4.7,2026-08-15T01:36:14
10,0,4096,1,5120,0,96,3695.6,4175.5,35.634,35.26,1.488,disabled,False,29.6,2026-08-15T01:39:39
11,0,1024,1,2048,0,96,2116.9,1103.5,30.446,29.989,1.694,disabled,False,10.8,2026-08-15T01:43:29
12,0,1024,3,2048,0,96,2084.0,1103.5,30.307,29.95,1.248,disabled,False,10.8,2026-08-15T01:47:01
13,1,1024,1,2048,0,96,1361.8,1103.5,25.002,24.998,0.114,disabled,True,8.7,2026-08-15T01:50:32
14,1,4096,1,5120,0,96,1897.4,4175.5,30.364,30.361,0.137,disabled,True,19.5,2026-08-15T01:54:01
15,0,4096,3,5120,0,96,3716.9,4175.5,36.341,35.336,2.757,disabled,False,29.5,2026-08-15T01:57:41
16,1,512,2,1536,0,96,1287.0,591.5,24.151,24.147,0.118,disabled,True,7.2,2026-08-15T02:01:32
17,0,512,2,1536,0,96,1865.3,591.5,29.456,29.111,1.171,disabled,False,8.7,2026-08-15T02:04:59
18,1,8192,2,9216,0,96,2707.2,8271.5,37.255,37.245,0.136,disabled,True,39.3,2026-08-15T02:08:29
19,0,1024,2,2048,0,96,2109.9,1103.5,30.282,29.927,1.316,disabled,False,10.8,2026-08-15T02:12:28
20,0,8192,3,9216,0,96,6346.0,8271.5,66.452,54.268,23.476,disabled,False,75.7,2026-08-15T02:16:00
21,0,0,2,512,0,96,1093.0,0,21.217,21.193,0.178,disabled,False,4.6,2026-08-15T02:20:36
22,1,0,2,512,0,96,1091.5,0,21.135,21.116,0.112,disabled,True,4.7,2026-08-15T02:24:01
23,1,8192,1,9216,0,96,2694.8,8271.5,37.307,37.303,0.163,disabled,True,39.2,2026-08-15T02:27:27
24,1,8192,3,9216,0,96,2684.8,8271.5,37.28,37.27,0.148,disabled,True,39.2,2026-08-15T02:31:26
25,0,2048,3,3072,0,96,2670.8,2127.5,32.158,31.735,1.539,disabled,False,16.9,2026-08-15T02:35:26
26,1,2048,1,3072,0,96,1550.8,2127.5,26.759,26.739,0.255,disabled,True,12.3,2026-08-15T02:39:04
27,0,2048,1,3072,0,96,2681.1,2127.5,31.986,31.436,1.853,disabled,False,16.3,2026-08-15T02:42:37
28,0,8192,1,9216,0,96,6809.9,8271.5,56.96,49.859,16.907,disabled,False,75.7,2026-08-15T02:46:14
29,1,1024,3,2048,0,96,1361.1,1103.5,24.957,24.947,0.109,disabled,True,8.7,2026-08-15T02:50:50
30,0,4096,2,5120,0,96,3802.3,4175.5,36.418,35.551,3.288,disabled,False,29.5,2026-08-15T02:54:19
31,0,2048,2,3072,0,96,2601.2,2127.5,32.191,31.759,1.411,disabled,False,15.9,2026-08-15T02:58:09
32,0,512,1,1536,0,96,1841.1,591.5,29.166,28.903,1.002,disabled,False,8.2,2026-08-15T03:01:46
33,1,2048,2,3072,0,96,1532.2,2127.5,26.712,26.71,0.13,disabled,True,11.8,2026-08-15T03:05:15
34,1,512,3,1536,0,96,1289.2,591.5,24.107,24.085,0.139,disabled,True,7.2,2026-08-15T03:08:47
35,1,512,1,1536,0,96,1287.7,591.5,24.159,24.128,0.129,disabled,True,7.2,2026-08-15T03:12:15
36,0,0,3,512,0,96,1091.5,0,21.294,21.196,0.368,disabled,False,4.7,2026-08-15T03:15:43
