order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,0,1,512,0,96,1091.2,0,21.787,21.462,1.376,disabled,True,6.2,2026-08-29T02:04:51
2,1,8,1,1032,0,96,132.1,87.5,23.393,23.392,0.267,disabled,True,6.2,2026-08-29T02:08:19
3,0,8,1,1032,0,96,150.5,87.5,28.207,27.816,2.154,disabled,False,6.7,2026-08-29T02:11:46
4,1,128,1,1152,0,96,332.1,207.5,23.531,23.489,0.309,disabled,True,6.2,2026-08-29T02:15:13
5,0,128,1,1152,0,96,478.0,207.5,28.159,27.935,0.988,disabled,False,6.7,2026-08-29T02:18:40
6,1,32,1,1056,0,96,107.9,111.5,23.486,23.473,0.305,disabled,True,6.2,2026-08-29T02:22:08
7,0,32,1,1056,0,96,151.5,111.5,28.192,27.869,1.029,disabled,False,6.7,2026-08-29T02:25:35
8,0,0,1,512,0,96,1094.5,0,21.326,21.343,0.213,disabled,False,4.7,2026-08-29T02:29:02
9,0,8,2,1032,0,96,163.4,87.5,28.079,27.834,0.985,disabled,False,6.7,2026-08-29T02:32:27
10,1,0,2,512,0,96,1099.8,0,21.311,21.305,0.336,disabled,True,4.7,2026-08-29T02:35:55
11,1,8,2,1032,0,96,134.0,87.5,23.297,23.289,0.221,disabled,True,6.2,2026-08-29T02:39:20
12,0,0,2,512,0,96,1092.8,0,21.282,21.326,0.234,disabled,False,4.6,2026-08-29T02:42:47
13,1,32,2,1056,0,96,109.5,111.5,23.351,23.359,0.24,disabled,True,5.7,2026-08-29T02:46:12
14,0,128,2,1152,0,96,472.9,207.5,28.088,27.854,0.926,disabled,False,6.7,2026-08-29T02:49:38
15,0,32,2,1056,0,96,152.7,111.5,28.705,27.912,4.123,disabled,False,6.7,2026-08-29T02:53:06
16,1,128,2,1152,0,96,331.0,207.5,23.346,23.341,0.239,disabled,True,6.2,2026-08-29T02:56:33
17,0,32,3,1056,0,96,150.1,111.5,28.285,27.905,1.219,disabled,False,6.7,2026-08-29T03:00:00
18,1,128,3,1152,0,96,330.7,207.5,23.39,23.37,0.246,disabled,True,6.2,2026-08-29T03:03:27
19,0,0,3,512,0,96,1113.1,0,21.301,21.33,0.229,disabled,False,4.7,2026-08-29T03:06:54
20,0,8,3,1032,0,96,155.0,87.5,28.117,27.849,1.093,disabled,False,6.7,2026-08-29T03:10:19
21,1,0,3,512,0,96,1095.9,0,21.326,21.357,0.22,disabled,True,4.7,2026-08-29T03:13:46
22,1,32,3,1056,0,96,109.3,111.5,23.358,23.37,0.225,disabled,True,5.7,2026-08-29T03:17:12
23,1,8,3,1032,0,96,132.3,87.5,23.305,23.297,0.301,disabled,True,5.7,2026-08-29T03:20:38
24,0,128,3,1152,0,96,468.1,207.5,28.189,27.666,2.442,disabled,False,6.7,2026-08-29T03:24:04
