order_idx,arm,ctx,policy,trial,rc,decode_tokens,tok_per_sec,flash_attn,kv_device_mib,spill_log_lines,retained,step_shift_events,t_start_iso,duration_s
1,p3_c2048,2048,3,3,0,2048,34.694,disabled,256.0,511,511,,2026-08-04T22:40:06,61.2
2,p0_c1024,1024,0,1,0,512,42.339,disabled,128.0,0,0,,2026-08-04T22:44:27,13.8
3,p4_c2048,2048,4,2,0,2048,39.205,disabled,256.0,511,0,,2026-08-04T22:48:01,54.1
4,p3_c1024,1024,3,3,0,2048,29.029,disabled,128.0,1535,1535,,2026-08-04T22:52:15,72.4
5,p1_c1024,1024,1,3,0,2048,38.559,disabled,128.0,0,0,,2026-08-04T22:56:48,55.1
6,p1_c2048,2048,1,3,0,2048,38.432,disabled,256.0,0,0,,2026-08-04T23:01:03,55.0
7,p3_c1024,1024,3,1,0,2048,29.012,disabled,128.0,1535,1535,,2026-08-04T23:05:18,72.3
8,p1_c1024,1024,1,1,0,2048,38.422,disabled,128.0,0,0,,2026-08-04T23:09:50,55.2
9,p3_c2048,2048,3,1,0,2048,34.486,disabled,256.0,511,511,,2026-08-04T23:14:05,61.1
10,p0_c1024,1024,0,2,0,512,42.391,disabled,128.0,0,0,,2026-08-04T23:18:26,13.8
11,p4_c1024,1024,4,1,0,2048,41.36,disabled,128.0,1535,0,,2026-08-04T23:22:00,51.5
12,p4_c2048,2048,4,3,0,2048,39.184,disabled,256.0,511,0,,2026-08-04T23:26:12,54.1
13,p1_c2048,2048,1,1,0,2048,38.454,disabled,256.0,0,0,,2026-08-04T23:30:26,55.1
14,p1_c2048,2048,1,2,0,2048,38.452,disabled,256.0,0,0,,2026-08-04T23:34:41,55.1
15,p4_c2048,2048,4,1,0,2048,39.191,disabled,256.0,511,0,,2026-08-04T23:38:56,54.1
16,p0_c2048,2048,0,2,0,1536,40.497,disabled,256.0,0,0,,2026-08-04T23:43:10,39.8
17,p4_c1024,1024,4,2,0,2048,41.355,disabled,128.0,1535,0,,2026-08-04T23:47:10,51.5
18,p0_c2048,2048,0,1,0,1536,40.54,disabled,256.0,0,0,,2026-08-04T23:51:21,39.8
19,p0_c1024,1024,0,3,0,512,42.095,disabled,128.0,0,0,,2026-08-04T23:55:21,14.2
20,p0_c2048,2048,0,3,0,1536,40.635,disabled,256.0,0,0,,2026-08-04T23:58:55,39.5
21,p4_c1024,1024,4,3,0,2048,41.512,disabled,128.0,1535,0,,2026-08-05T00:02:55,51.5
22,p3_c2048,2048,3,2,0,2048,34.743,disabled,256.0,511,511,,2026-08-05T00:07:06,60.7
23,p3_c1024,1024,3,2,0,2048,29.122,disabled,128.0,1535,1535,,2026-08-05T00:11:27,72.3
24,p1_c1024,1024,1,2,0,2048,38.565,disabled,128.0,0,0,,2026-08-05T00:15:59,55.1
