step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1194.052,428.792,0,0.000,0
2,513,1024,0.5010,23.960,41.736,0,0.000,0
3,514,1024,0.5020,23.441,42.660,0,0.000,0
4,515,1024,0.5029,23.093,43.303,0,0.000,0
5,516,1024,0.5039,22.830,43.802,0,0.000,0
6,517,1024,0.5049,23.445,42.653,0,0.000,0
7,518,1024,0.5059,23.326,42.871,0,0.000,0
8,519,1024,0.5068,23.606,42.362,0,0.000,0
9,520,1024,0.5078,23.537,42.486,0,0.000,0
10,521,1024,0.5088,22.779,43.900,0,0.000,0
11,522,1024,0.5098,23.584,42.402,0,0.000,0
12,523,1024,0.5107,23.031,43.420,0,0.000,0
13,524,1024,0.5117,23.530,42.499,0,0.000,0
14,525,1024,0.5127,23.713,42.171,0,0.000,0
15,526,1024,0.5137,22.528,44.389,0,0.000,0
16,527,1024,0.5146,23.494,42.564,0,0.000,0
17,528,1024,0.5156,22.986,43.505,0,0.000,0
18,529,1024,0.5166,23.146,43.204,0,0.000,0
19,530,1024,0.5176,23.206,43.092,0,0.000,0
20,531,1024,0.5186,22.875,43.716,0,0.000,0
21,532,1024,0.5195,23.526,42.506,0,0.000,0
22,533,1024,0.5205,22.778,43.902,0,0.000,0
23,534,1024,0.5215,23.270,42.974,0,0.000,0
24,535,1024,0.5225,23.450,42.644,0,0.000,0
25,536,1024,0.5234,22.427,44.589,0,0.000,0
26,537,1024,0.5244,23.987,41.689,0,0.000,0
27,538,1024,0.5254,23.222,43.063,0,0.000,0
28,539,1024,0.5264,22.889,43.689,0,0.000,0
29,540,1024,0.5273,23.165,43.169,0,0.000,0
30,541,1024,0.5283,22.847,43.769,0,0.000,0
31,542,1024,0.5293,23.391,42.751,0,0.000,0
32,543,1024,0.5303,22.759,43.939,0,0.000,0
33,544,1024,0.5312,22.977,43.522,0,0.000,0
34,545,1024,0.5322,23.387,42.759,0,0.000,0
35,546,1024,0.5332,22.598,44.252,0,0.000,0
36,547,1024,0.5342,23.308,42.904,0,0.000,0
37,548,1024,0.5352,23.142,43.211,0,0.000,0
38,549,1024,0.5361,22.746,43.964,0,0.000,0
39,550,1024,0.5371,23.725,42.150,0,0.000,0
40,551,1024,0.5381,23.341,42.843,0,0.000,0
41,552,1024,0.5391,23.247,43.016,0,0.000,0
42,553,1024,0.5400,23.081,43.326,0,0.000,0
43,554,1024,0.5410,22.977,43.522,0,0.000,0
44,555,1024,0.5420,23.464,42.618,0,0.000,0
45,556,1024,0.5430,22.534,44.377,0,0.000,0
46,557,1024,0.5439,23.314,42.893,0,0.000,0
47,558,1024,0.5449,23.169,43.161,0,0.000,0
48,559,1024,0.5459,22.613,44.222,0,0.000,0
49,560,1024,0.5469,23.541,42.479,0,0.000,0
50,561,1024,0.5479,22.828,43.806,0,0.000,0
51,562,1024,0.5488,23.412,42.713,0,0.000,0
52,563,1024,0.5498,22.900,43.668,0,0.000,0
53,564,1024,0.5508,22.927,43.617,0,0.000,0
54,565,1024,0.5518,23.983,41.696,0,0.000,0
55,566,1024,0.5527,22.614,44.220,0,0.000,0
56,567,1024,0.5537,23.201,43.102,0,0.000,0
57,568,1024,0.5547,23.305,42.909,0,0.000,0
58,569,1024,0.5557,22.583,44.281,0,0.000,0
59,570,1024,0.5566,23.402,42.731,0,0.000,0
60,571,1024,0.5576,23.148,43.200,0,0.000,0
61,572,1024,0.5586,23.005,43.469,0,0.000,0
62,573,1024,0.5596,23.244,43.022,0,0.000,0
63,574,1024,0.5605,22.870,43.725,0,0.000,0
64,575,1024,0.5615,23.384,42.764,0,0.000,0
65,576,1024,0.5625,22.996,43.486,0,0.000,0
66,577,1024,0.5635,23.215,43.076,0,0.000,0
67,578,1024,0.5645,24.221,41.286,0,0.000,0
68,579,1024,0.5654,22.622,44.205,0,0.000,0
69,580,1024,0.5664,23.520,42.517,0,0.000,0
70,581,1024,0.5674,23.019,43.442,0,0.000,0
71,582,1024,0.5684,23.018,43.444,0,0.000,0
72,583,1024,0.5693,23.134,43.226,0,0.000,0
73,584,1024,0.5703,22.912,43.645,0,0.000,0
74,585,1024,0.5713,23.583,42.403,0,0.000,0
75,586,1024,0.5723,22.629,44.191,0,0.000,0
76,587,1024,0.5732,23.187,43.128,0,0.000,0
77,588,1024,0.5742,23.192,43.118,0,0.000,0
78,589,1024,0.5752,22.890,43.687,0,0.000,0
79,590,1024,0.5762,23.542,42.477,0,0.000,0
80,591,1024,0.5771,23.398,42.739,0,0.000,0
81,592,1024,0.5781,23.574,42.420,0,0.000,0
82,593,1024,0.5791,22.752,43.952,0,0.000,0
83,594,1024,0.5801,23.109,43.273,0,0.000,0
84,595,1024,0.5811,23.371,42.788,0,0.000,0
85,596,1024,0.5820,22.584,44.279,0,0.000,0
86,597,1024,0.5830,23.368,42.794,0,0.000,0
87,598,1024,0.5840,22.977,43.522,0,0.000,0
88,599,1024,0.5850,23.065,43.356,0,0.000,0
89,600,1024,0.5859,23.024,43.433,0,0.000,0
90,601,1024,0.5869,23.559,42.447,0,0.000,0
91,602,1024,0.5879,23.338,42.849,0,0.000,0
92,603,1024,0.5889,23.091,43.307,0,0.000,0
93,604,1024,0.5898,23.489,42.573,0,0.000,0
94,605,1024,0.5908,23.697,42.199,0,0.000,0
95,606,1024,0.5918,22.625,44.199,0,0.000,0
96,607,1024,0.5928,23.575,42.418,0,0.000,0
97,608,1024,0.5938,22.922,43.626,0,0.000,0
98,609,1024,0.5947,22.918,43.634,0,0.000,0
99,610,1024,0.5957,23.415,42.708,0,0.000,0
100,611,1024,0.5967,22.879,43.708,0,0.000,0
101,612,1024,0.5977,23.274,42.966,0,0.000,0
102,613,1024,0.5986,22.981,43.514,0,0.000,0
103,614,1024,0.5996,23.173,43.154,0,0.000,0
104,615,1024,0.6006,23.444,42.655,0,0.000,0
105,616,1024,0.6016,22.610,44.228,0,0.000,0
106,617,1024,0.6025,23.875,41.885,0,0.000,0
107,618,1024,0.6035,23.607,42.360,0,0.000,0
108,619,1024,0.6045,22.745,43.966,0,0.000,0
109,620,1024,0.6055,23.520,42.517,0,0.000,0
110,621,1024,0.6064,22.886,43.695,0,0.000,0
111,622,1024,0.6074,22.981,43.514,0,0.000,0
112,623,1024,0.6084,23.463,42.620,0,0.000,0
113,624,1024,0.6094,22.791,43.877,0,0.000,0
114,625,1024,0.6104,23.577,42.414,0,0.000,0
115,626,1024,0.6113,22.645,44.160,0,0.000,0
116,627,1024,0.6123,23.363,42.803,0,0.000,0
117,628,1024,0.6133,23.290,42.937,0,0.000,0
118,629,1024,0.6143,22.591,44.265,0,0.000,0
119,630,1024,0.6152,23.846,41.936,0,0.000,0
120,631,1024,0.6162,23.353,42.821,0,0.000,0
121,632,1024,0.6172,22.971,43.533,0,0.000,0
122,633,1024,0.6182,23.429,42.682,0,0.000,0
123,634,1024,0.6191,22.818,43.825,0,0.000,0
124,635,1024,0.6201,23.694,42.205,0,0.000,0
125,636,1024,0.6211,22.641,44.168,0,0.000,0
126,637,1024,0.6221,23.355,42.817,0,0.000,0
127,638,1024,0.6230,23.334,42.856,0,0.000,0
128,639,1024,0.6240,22.573,44.301,0,0.000,0
129,640,1024,0.6250,23.672,42.244,0,0.000,0
130,641,1024,0.6260,22.966,43.543,0,0.000,0
131,642,1024,0.6270,22.955,43.563,0,0.000,0
132,643,1024,0.6279,23.324,42.874,0,0.000,0
133,644,1024,0.6289,22.999,43.480,0,0.000,0
134,645,1024,0.6299,24.413,40.962,0,0.000,0
135,646,1024,0.6309,22.535,44.375,0,0.000,0
136,647,1024,0.6318,23.191,43.120,0,0.000,0
137,648,1024,0.6328,23.297,42.924,0,0.000,0
138,649,1024,0.6338,22.571,44.305,0,0.000,0
139,650,1024,0.6348,23.581,42.407,0,0.000,0
140,651,1024,0.6357,22.986,43.505,0,0.000,0
141,652,1024,0.6367,23.073,43.341,0,0.000,0
142,653,1024,0.6377,23.396,42.742,0,0.000,0
143,654,1024,0.6387,22.883,43.701,0,0.000,0
144,655,1024,0.6396,23.651,42.282,0,0.000,0
145,656,1024,0.6406,22.718,44.018,0,0.000,0
146,657,1024,0.6416,23.475,42.599,0,0.000,0
147,658,1024,0.6426,23.670,42.248,0,0.000,0
148,659,1024,0.6436,22.623,44.203,0,0.000,0
149,660,1024,0.6445,23.570,42.427,0,0.000,0
150,661,1024,0.6455,23.045,43.393,0,0.000,0
