order_idx,arm,policy,ctx,target,prompt_tokens,round,rc,measured_steps,kv_used_mean,n_spill_mean,context_mean,ms_mean,ms_median,ms_sd,flash_attn,duration_s,t_start
1,p0_resident,0,16384,8192,9216,1,0,96,9295.5,0,9295.5,13.584,13.578,0.207,disabled,7.7,2026-09-23T14:56:10
2,p3_dev,3,1024,2048,3072,1,0,96,1024,2127.5,3151.5,8.566,8.592,0.195,disabled,3.6,2026-09-23T14:59:39
3,p0_resident,0,16384,0,512,1,0,96,591.5,0,591.5,5.281,5.253,0.151,disabled,1.6,2026-09-23T15:03:03
4,p3_dev,3,1024,512,1536,1,0,96,1024,591.5,1615.5,6.94,6.946,0.166,disabled,2.1,2026-09-23T15:06:25
5,p3_dev,3,1024,8192,9216,1,0,96,1024,8271.5,9295.5,14.807,14.809,0.222,disabled,14.3,2026-09-23T15:09:48
6,p0_resident,0,16384,512,1536,1,0,96,1615.5,0,1615.5,6.279,6.242,0.191,disabled,2.1,2026-09-23T15:13:23
7,p0_resident,0,16384,2048,3072,1,0,96,3151.5,0,3151.5,7.767,7.756,0.214,disabled,2.6,2026-09-23T15:16:46
8,p3_dev,3,1024,2048,3072,2,0,96,1024,2127.5,3151.5,8.569,8.56,0.186,disabled,3.6,2026-09-23T15:20:09
9,p3_dev,3,1024,8192,9216,2,0,96,1024,8271.5,9295.5,14.802,14.768,0.514,disabled,14.7,2026-09-23T15:23:33
10,p0_resident,0,16384,2048,3072,2,0,96,3151.5,0,3151.5,7.743,7.72,0.194,disabled,2.6,2026-09-23T15:27:08
11,p3_dev,3,1024,512,1536,2,0,96,1024,591.5,1615.5,6.946,6.925,0.188,disabled,2.1,2026-09-23T15:30:32
12,p0_resident,0,16384,0,512,2,0,96,591.5,0,591.5,5.277,5.213,0.163,disabled,1.6,2026-09-23T15:33:54
13,p0_resident,0,16384,512,1536,2,0,96,1615.5,0,1615.5,6.282,6.229,0.192,disabled,2.1,2026-09-23T15:37:16
14,p0_resident,0,16384,8192,9216,2,0,96,9295.5,0,9295.5,13.633,13.568,0.342,disabled,7.7,2026-09-23T15:40:39
15,p0_resident,0,16384,512,1536,3,0,96,1615.5,0,1615.5,6.273,6.225,0.182,disabled,2.1,2026-09-23T15:44:07
16,p3_dev,3,1024,2048,3072,3,0,96,1024,2127.5,3151.5,8.561,8.546,0.185,disabled,3.6,2026-09-23T15:47:30
17,p0_resident,0,16384,2048,3072,3,0,96,3151.5,0,3151.5,7.764,7.742,0.192,disabled,2.6,2026-09-23T15:50:54
18,p0_resident,0,16384,8192,9216,3,0,96,9295.5,0,9295.5,13.593,13.598,0.232,disabled,7.7,2026-09-23T15:54:18
19,p0_resident,0,16384,0,512,3,0,96,591.5,0,591.5,5.281,5.268,0.162,disabled,1.6,2026-09-23T15:57:46
20,p3_dev,3,1024,8192,9216,3,0,96,1024,8271.5,9295.5,14.782,14.77,0.228,disabled,14.3,2026-09-23T16:01:08
21,p3_dev,3,1024,512,1536,3,0,96,1024,591.5,1615.5,6.971,6.95,0.223,disabled,2.1,2026-09-23T16:04:43
