order_idx,arm,policy,ctx,target,prompt_tokens,round,rc,measured_steps,kv_used_mean,n_spill_mean,context_mean,ms_mean,ms_median,ms_sd,flash_attn,duration_s,t_start
1,p3_dev,3,1024,1024,2048,1,0,96,1024,1103.5,2127.5,28.249,28.234,0.423,disabled,9.7,2026-09-23T12:55:07
2,p0_resident,0,16384,1024,2048,1,0,96,2127.5,0,2127.5,26.317,26.241,0.454,disabled,9.2,2026-09-23T12:58:37
3,p0_resident,0,16384,0,512,1,0,96,591.5,0,591.5,23.219,23.2,0.375,disabled,5.2,2026-09-23T13:02:07
4,p3_dev,3,1024,2048,3072,1,0,96,1024,2127.5,3151.5,30.459,30.468,0.39,disabled,13.2,2026-09-23T13:05:33
5,p3_dev,3,1024,4096,5120,1,0,96,1024,4175.5,5199.5,34.987,34.941,0.314,disabled,22.3,2026-09-23T13:09:07
6,p0_resident,0,16384,512,1536,1,0,96,1615.5,0,1615.5,25.236,25.185,0.349,disabled,7.7,2026-09-23T13:12:49
7,p3_dev,3,1024,512,1536,1,0,96,1024,591.5,1615.5,27.147,27.166,0.414,disabled,8.2,2026-09-23T13:16:18
8,p3_dev,3,1024,8192,9216,1,0,96,1024,8271.5,9295.5,43.896,43.847,0.413,disabled,46.3,2026-09-23T13:19:46
9,p0_resident,0,16384,4096,5120,1,0,96,5199.5,0,5199.5,32.676,32.679,0.385,disabled,18.4,2026-09-23T13:23:53
10,p0_resident,0,16384,2048,3072,1,0,96,3151.5,0,3151.5,28.409,28.34,0.366,disabled,11.8,2026-09-23T13:27:32
11,p0_resident,0,16384,8192,9216,1,0,96,9295.5,0,9295.5,41.323,41.252,0.425,disabled,33.1,2026-09-23T13:31:05
12,p0_resident,0,16384,512,1536,2,0,96,1615.5,0,1615.5,25.224,25.218,0.37,disabled,7.7,2026-09-23T13:34:59
13,p0_resident,0,16384,8192,9216,2,0,96,9295.5,0,9295.5,41.171,41.173,0.407,disabled,33.1,2026-09-23T13:38:27
14,p0_resident,0,16384,1024,2048,2,0,96,2127.5,0,2127.5,26.306,26.312,0.376,disabled,9.3,2026-09-23T13:42:21
15,p3_dev,3,1024,1024,2048,2,0,96,1024,1103.5,2127.5,28.201,28.19,0.386,disabled,9.7,2026-09-23T13:45:50
16,p3_dev,3,1024,4096,5120,2,0,96,1024,4175.5,5199.5,35.282,35.254,0.386,disabled,22.4,2026-09-23T13:49:21
17,p3_dev,3,1024,512,1536,2,0,96,1024,591.5,1615.5,27.031,27.014,0.417,disabled,8.2,2026-09-23T13:53:04
18,p0_resident,0,16384,4096,5120,2,0,96,5199.5,0,5199.5,32.683,32.7,0.349,disabled,18.4,2026-09-23T13:56:33
19,p0_resident,0,16384,2048,3072,2,0,96,3151.5,0,3151.5,28.412,28.399,0.396,disabled,11.8,2026-09-23T14:00:12
20,p3_dev,3,1024,2048,3072,2,0,96,1024,2127.5,3151.5,30.485,30.431,0.424,disabled,13.3,2026-09-23T14:03:44
21,p0_resident,0,16384,0,512,2,0,96,591.5,0,591.5,23.364,23.188,0.763,disabled,5.2,2026-09-23T14:07:18
22,p3_dev,3,1024,8192,9216,2,0,96,1024,8271.5,9295.5,43.925,43.864,0.401,disabled,46.4,2026-09-23T14:10:44
23,p0_resident,0,16384,512,1536,3,0,96,1615.5,0,1615.5,25.268,25.187,0.454,disabled,7.7,2026-09-23T14:14:51
24,p3_dev,3,1024,2048,3072,3,0,96,1024,2127.5,3151.5,30.378,30.361,0.46,disabled,13.2,2026-09-23T14:18:19
25,p3_dev,3,1024,1024,2048,3,0,96,1024,1103.5,2127.5,28.105,28.038,0.423,disabled,9.7,2026-09-23T14:21:53
26,p3_dev,3,1024,4096,5120,3,0,96,1024,4175.5,5199.5,34.988,34.974,0.383,disabled,22.5,2026-09-23T14:25:23
27,p0_resident,0,16384,1024,2048,3,0,96,2127.5,0,2127.5,26.285,26.296,0.357,disabled,9.2,2026-09-23T14:29:06
28,p0_resident,0,16384,4096,5120,3,0,96,5199.5,0,5199.5,32.627,32.621,0.333,disabled,18.2,2026-09-23T14:32:36
29,p3_dev,3,1024,512,1536,3,0,96,1024,591.5,1615.5,27.145,27.097,0.383,disabled,8.2,2026-09-23T14:36:15
30,p3_dev,3,1024,8192,9216,3,0,96,1024,8271.5,9295.5,43.925,43.921,0.389,disabled,46.4,2026-09-23T14:39:44
31,p0_resident,0,16384,2048,3072,3,0,96,3151.5,0,3151.5,28.466,28.38,0.584,disabled,11.8,2026-09-23T14:43:50
32,p0_resident,0,16384,8192,9216,3,0,96,9295.5,0,9295.5,41.164,41.09,0.364,disabled,33.1,2026-09-23T14:47:23
33,p0_resident,0,16384,0,512,3,0,96,591.5,0,591.5,23.258,23.203,0.552,disabled,5.2,2026-09-23T14:51:17
