order_idx,arm,policy,ctx,target,prompt_tokens,round,rc,measured_steps,kv_used_mean,n_spill_mean,context_mean,ms_mean,ms_median,ms_sd,flash_attn,duration_s,t_start
1,p3_dev,3,1024,1024,2048,1,0,96,1024,1103.5,2127.5,25.378,25.332,0.475,disabled,10.7,2026-09-23T16:08:06
2,p0_resident,0,16384,1024,2048,1,0,96,2127.5,0,2127.5,23.995,23.95,0.391,disabled,8.2,2026-09-23T16:11:37
3,p0_resident,0,16384,0,512,1,0,96,591.5,0,591.5,21.588,21.611,0.432,disabled,4.7,2026-09-23T16:15:06
4,p3_dev,3,1024,2048,3072,1,0,96,1024,2127.5,3151.5,27.146,27.111,0.37,disabled,11.8,2026-09-23T16:18:31
5,p3_dev,3,1024,4096,5120,1,0,96,1024,4175.5,5199.5,30.802,30.766,0.321,disabled,19.4,2026-09-23T16:22:04
6,p0_resident,0,16384,512,1536,1,0,96,1615.5,0,1615.5,23.18,23.144,0.419,disabled,7.2,2026-09-23T16:25:44
7,p3_dev,3,1024,512,1536,1,0,96,1024,591.5,1615.5,24.483,24.4,0.371,disabled,7.2,2026-09-23T16:29:11
8,p3_dev,3,1024,8192,9216,1,0,96,1024,8271.5,9295.5,37.794,37.733,0.277,disabled,39.8,2026-09-23T16:32:39
9,p0_resident,0,16384,4096,5120,1,0,96,5199.5,0,5199.5,29.037,29.004,0.316,disabled,16.4,2026-09-23T16:36:40
10,p0_resident,0,16384,2048,3072,1,0,96,3151.5,0,3151.5,25.665,25.624,0.333,disabled,11.2,2026-09-23T16:40:17
11,p0_resident,0,16384,8192,9216,1,0,96,9295.5,0,9295.5,35.817,35.852,0.377,disabled,29.4,2026-09-23T16:43:48
12,p0_resident,0,16384,512,1536,2,0,96,1615.5,0,1615.5,23.191,23.152,0.422,disabled,7.2,2026-09-23T16:47:38
13,p0_resident,0,16384,8192,9216,2,0,96,9295.5,0,9295.5,35.803,35.788,0.451,disabled,29.3,2026-09-23T16:51:06
14,p0_resident,0,16384,1024,2048,2,0,96,2127.5,0,2127.5,24.025,23.962,0.439,disabled,8.2,2026-09-23T16:54:56
15,p3_dev,3,1024,1024,2048,2,0,96,1024,1103.5,2127.5,25.346,25.242,0.366,disabled,8.7,2026-09-23T16:58:25
16,p3_dev,3,1024,4096,5120,2,0,96,1024,4175.5,5199.5,30.831,30.791,0.342,disabled,19.4,2026-09-23T17:01:54
17,p3_dev,3,1024,512,1536,2,0,96,1024,591.5,1615.5,24.505,24.407,0.366,disabled,7.2,2026-09-23T17:05:34
18,p0_resident,0,16384,4096,5120,2,0,96,5199.5,0,5199.5,28.983,28.973,0.329,disabled,16.4,2026-09-23T17:09:02
19,p0_resident,0,16384,2048,3072,2,0,96,3151.5,0,3151.5,25.681,25.63,0.431,disabled,10.8,2026-09-23T17:12:39
20,p3_dev,3,1024,2048,3072,2,0,96,1024,2127.5,3151.5,27.167,27.117,0.409,disabled,11.8,2026-09-23T17:16:10
21,p0_resident,0,16384,0,512,2,0,96,591.5,0,591.5,21.526,21.544,0.349,disabled,4.7,2026-09-23T17:19:43
22,p3_dev,3,1024,8192,9216,2,0,96,1024,8271.5,9295.5,37.811,37.82,0.308,disabled,39.7,2026-09-23T17:23:08
23,p0_resident,0,16384,512,1536,3,0,96,1615.5,0,1615.5,23.186,23.05,0.45,disabled,7.2,2026-09-23T17:27:08
24,p3_dev,3,1024,2048,3072,3,0,96,1024,2127.5,3151.5,27.119,27.016,0.329,disabled,11.8,2026-09-23T17:30:36
25,p3_dev,3,1024,1024,2048,3,0,96,1024,1103.5,2127.5,25.331,25.276,0.426,disabled,8.7,2026-09-23T17:34:09
26,p3_dev,3,1024,4096,5120,3,0,96,1024,4175.5,5199.5,30.855,30.809,0.298,disabled,19.4,2026-09-23T17:37:38
27,p0_resident,0,16384,1024,2048,3,0,96,2127.5,0,2127.5,24.013,24.026,0.376,disabled,8.2,2026-09-23T17:41:18
28,p0_resident,0,16384,4096,5120,3,0,96,5199.5,0,5199.5,29.098,29.035,0.75,disabled,16.3,2026-09-23T17:44:47
29,p3_dev,3,1024,512,1536,3,0,96,1024,591.5,1615.5,24.713,24.724,0.417,disabled,7.6,2026-09-23T17:48:24
30,p3_dev,3,1024,8192,9216,3,0,96,1024,8271.5,9295.5,37.768,37.716,0.322,disabled,39.5,2026-09-23T17:51:52
31,p0_resident,0,16384,2048,3072,3,0,96,3151.5,0,3151.5,25.691,25.73,0.389,disabled,10.7,2026-09-23T17:55:52
32,p0_resident,0,16384,8192,9216,3,0,96,9295.5,0,9295.5,35.418,35.391,0.314,disabled,29.4,2026-09-23T17:59:23
33,p0_resident,0,16384,0,512,3,0,96,591.5,0,591.5,21.546,21.449,0.987,disabled,4.6,2026-09-23T18:03:13
