order_idx,round,arm,ctx,policy,no_reencode,rc,decode_tokens,tok_per_sec,flash_attn,reencode_skipped,duration_s,t_start
1,1,p0_upstream,1024,0,0,0,512,42.913,disabled,0,13.8,2026-08-19T22:19:57
2,1,p1_window,1024,1,0,0,2048,38.881,disabled,0,54.6,2026-08-19T22:23:31
3,1,p4_h2o,1024,4,0,0,2048,41.855,disabled,0,51.0,2026-08-19T22:27:45
4,1,p0_upstream,2048,0,0,0,1536,40.965,disabled,0,39.3,2026-08-19T22:31:56
5,1,p1_noreencode,2048,1,1,0,2048,39.54,disabled,1,53.6,2026-08-19T22:35:56
6,1,p1_noreencode,1024,1,1,0,2048,39.942,disabled,1,53.1,2026-08-19T22:40:09
7,1,p1_window,2048,1,0,0,2048,38.821,disabled,0,54.6,2026-08-19T22:44:22
8,1,p4_h2o,2048,4,0,0,2048,39.623,disabled,0,53.5,2026-08-19T22:48:37
9,2,p0_upstream,2048,0,0,0,1536,40.981,disabled,0,39.3,2026-08-19T22:52:51
10,2,p4_h2o,1024,4,0,0,2048,41.907,disabled,0,51.0,2026-08-19T22:56:50
11,2,p4_h2o,2048,4,0,0,2048,39.643,disabled,0,53.5,2026-08-19T23:01:01
12,2,p1_noreencode,1024,1,1,0,2048,39.939,disabled,1,53.1,2026-08-19T23:05:14
13,2,p1_noreencode,2048,1,1,0,2048,39.567,disabled,1,53.5,2026-08-19T23:09:27
14,2,p0_upstream,1024,0,0,0,512,42.83,disabled,0,13.8,2026-08-19T23:13:41
15,2,p1_window,2048,1,0,0,2048,38.855,disabled,0,54.6,2026-08-19T23:17:15
16,2,p1_window,1024,1,0,0,2048,38.844,disabled,0,54.6,2026-08-19T23:21:29
17,3,p4_h2o,2048,4,0,0,2048,39.626,disabled,0,53.6,2026-08-19T23:25:44
18,3,p1_window,2048,1,0,0,2048,38.854,disabled,0,54.6,2026-08-19T23:29:58
19,3,p4_h2o,1024,4,0,0,2048,41.934,disabled,0,51.0,2026-08-19T23:34:12
20,3,p0_upstream,2048,0,0,0,1536,40.984,disabled,0,39.3,2026-08-19T23:38:23
21,3,p1_noreencode,2048,1,1,0,2048,39.508,disabled,1,53.6,2026-08-19T23:42:23
22,3,p0_upstream,1024,0,0,0,512,42.808,disabled,0,13.9,2026-08-19T23:46:36
23,3,p1_window,1024,1,0,0,2048,38.856,disabled,0,54.6,2026-08-19T23:50:10
24,3,p1_noreencode,1024,1,1,0,2048,39.923,disabled,1,53.1,2026-08-19T23:54:25
