step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,2048,0.2500,1370.086,373.699,0,0.000
2,513,2048,0.2505,24.821,40.288,0,0.000
3,514,2048,0.2510,22.405,44.633,0,0.000
4,515,2048,0.2515,22.254,44.936,0,0.000
5,516,2048,0.2520,22.778,43.902,0,0.000
6,517,2048,0.2524,22.784,43.890,0,0.000
7,518,2048,0.2529,22.664,44.123,0,0.000
8,519,2048,0.2534,22.482,44.480,0,0.000
9,520,2048,0.2539,22.388,44.667,0,0.000
10,521,2048,0.2544,22.471,44.502,0,0.000
11,522,2048,0.2549,22.912,43.645,0,0.000
12,523,2048,0.2554,22.949,43.575,0,0.000
13,524,2048,0.2559,23.007,43.465,0,0.000
14,525,2048,0.2563,22.790,43.879,0,0.000
15,526,2048,0.2568,22.982,43.512,0,0.000
16,527,2048,0.2573,22.715,44.024,0,0.000
17,528,2048,0.2578,22.852,43.760,0,0.000
18,529,2048,0.2583,22.634,44.181,0,0.000
19,530,2048,0.2588,22.754,43.948,0,0.000
20,531,2048,0.2593,22.715,44.024,0,0.000
21,532,2048,0.2598,22.683,44.086,0,0.000
22,533,2048,0.2603,22.583,44.281,0,0.000
23,534,2048,0.2607,22.595,44.258,0,0.000
24,535,2048,0.2612,22.356,44.731,0,0.000
25,536,2048,0.2617,22.750,43.956,0,0.000
26,537,2048,0.2622,22.688,44.076,0,0.000
27,538,2048,0.2627,22.901,43.666,0,0.000
28,539,2048,0.2632,22.363,44.717,0,0.000
29,540,2048,0.2637,22.441,44.561,0,0.000
30,541,2048,0.2642,22.582,44.283,0,0.000
31,542,2048,0.2646,22.645,44.160,0,0.000
32,543,2048,0.2651,22.163,45.120,0,0.000
33,544,2048,0.2656,22.316,44.811,0,0.000
34,545,2048,0.2661,22.204,45.037,0,0.000
35,546,2048,0.2666,22.509,44.427,0,0.000
36,547,2048,0.2671,22.294,44.855,0,0.000
37,548,2048,0.2676,22.494,44.456,0,0.000
38,549,2048,0.2681,22.501,44.442,0,0.000
39,550,2048,0.2686,22.464,44.516,0,0.000
40,551,2048,0.2690,22.957,43.560,0,0.000
41,552,2048,0.2695,22.736,43.983,0,0.000
42,553,2048,0.2700,22.799,43.862,0,0.000
43,554,2048,0.2705,22.928,43.615,0,0.000
44,555,2048,0.2710,34.482,29.001,0,0.000
45,556,2048,0.2715,28.130,35.549,0,0.000
46,557,2048,0.2720,33.760,29.621,0,0.000
47,558,2048,0.2725,27.611,36.217,0,0.000
48,559,2048,0.2729,22.439,44.565,0,0.000
49,560,2048,0.2734,23.225,43.057,0,0.000
50,561,2048,0.2739,34.302,29.153,0,0.000
51,562,2048,0.2744,30.109,33.213,0,0.000
52,563,2048,0.2749,33.597,29.765,0,0.000
53,564,2048,0.2754,24.189,41.341,0,0.000
54,565,2048,0.2759,22.468,44.508,0,0.000
55,566,2048,0.2764,22.859,43.746,0,0.000
56,567,2048,0.2769,22.709,44.035,0,0.000
57,568,2048,0.2773,22.260,44.924,0,0.000
58,569,2048,0.2778,22.953,43.567,0,0.000
59,570,2048,0.2783,23.146,43.204,0,0.000
60,571,2048,0.2788,22.856,43.752,0,0.000
61,572,2048,0.2793,23.067,43.352,0,0.000
62,573,2048,0.2798,23.413,42.711,0,0.000
63,574,2048,0.2803,22.894,43.680,0,0.000
64,575,2048,0.2808,22.916,43.638,0,0.000
65,576,2048,0.2812,23.280,42.955,0,0.000
66,577,2048,0.2817,23.119,43.254,0,0.000
67,578,2048,0.2822,23.218,43.070,0,0.000
68,579,2048,0.2827,22.803,43.854,0,0.000
69,580,2048,0.2832,23.299,42.920,0,0.000
70,581,2048,0.2837,22.662,44.127,0,0.000
71,582,2048,0.2842,22.369,44.705,0,0.000
72,583,2048,0.2847,22.430,44.583,0,0.000
73,584,2048,0.2852,22.892,43.683,0,0.000
74,585,2048,0.2856,22.558,44.330,0,0.000
75,586,2048,0.2861,23.001,43.476,0,0.000
76,587,2048,0.2866,22.500,44.444,0,0.000
77,588,2048,0.2871,22.568,44.311,0,0.000
78,589,2048,0.2876,24.636,40.591,0,0.000
79,590,2048,0.2881,35.105,28.486,0,0.000
80,591,2048,0.2886,27.207,36.755,0,0.000
81,592,2048,0.2891,34.734,28.790,0,0.000
82,593,2048,0.2896,24.066,41.552,0,0.000
83,594,2048,0.2900,26.087,38.333,0,0.000
84,595,2048,0.2905,35.255,28.365,0,0.000
85,596,2048,0.2910,27.606,36.224,0,0.000
86,597,2048,0.2915,34.514,28.974,0,0.000
87,598,2048,0.2920,24.287,41.174,0,0.000
88,599,2048,0.2925,22.569,44.309,0,0.000
89,600,2048,0.2930,22.662,44.127,0,0.000
90,601,2048,0.2935,23.126,43.241,0,0.000
91,602,2048,0.2939,23.321,42.880,0,0.000
92,603,2048,0.2944,23.141,43.213,0,0.000
93,604,2048,0.2949,23.574,42.420,0,0.000
94,605,2048,0.2954,23.220,43.066,0,0.000
95,606,2048,0.2959,23.064,43.358,0,0.000
