step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,4096,0.1250,1435.016,356.790,0,0.000
2,513,4096,0.1252,32.810,30.479,0,0.000
3,514,4096,0.1255,29.960,33.378,0,0.000
4,515,4096,0.1257,27.753,36.032,0,0.000
5,516,4096,0.1260,27.772,36.007,0,0.000
6,517,4096,0.1262,27.831,35.931,0,0.000
7,518,4096,0.1265,27.441,36.442,0,0.000
8,519,4096,0.1267,27.682,36.125,0,0.000
9,520,4096,0.1270,27.720,36.075,0,0.000
10,521,4096,0.1272,27.258,36.686,0,0.000
11,522,4096,0.1274,27.524,36.332,0,0.000
12,523,4096,0.1277,27.309,36.618,0,0.000
13,524,4096,0.1279,27.673,36.136,0,0.000
14,525,4096,0.1282,27.394,36.504,0,0.000
15,526,4096,0.1284,27.672,36.138,0,0.000
16,527,4096,0.1287,27.337,36.580,0,0.000
17,528,4096,0.1289,24.740,40.420,0,0.000
18,529,4096,0.1292,23.949,41.755,0,0.000
19,530,4096,0.1294,23.919,41.808,0,0.000
20,531,4096,0.1296,23.825,41.973,0,0.000
21,532,4096,0.1299,23.640,42.301,0,0.000
22,533,4096,0.1301,23.609,42.357,0,0.000
23,534,4096,0.1304,23.724,42.151,0,0.000
24,535,4096,0.1306,23.681,42.228,0,0.000
25,536,4096,0.1309,23.198,43.107,0,0.000
26,537,4096,0.1311,23.146,43.204,0,0.000
27,538,4096,0.1313,23.183,43.135,0,0.000
28,539,4096,0.1316,22.972,43.531,0,0.000
29,540,4096,0.1318,23.208,43.089,0,0.000
30,541,4096,0.1321,22.884,43.699,0,0.000
31,542,4096,0.1323,22.900,43.668,0,0.000
32,543,4096,0.1326,22.908,43.653,0,0.000
33,544,4096,0.1328,22.750,43.956,0,0.000
34,545,4096,0.1331,22.767,43.923,0,0.000
35,546,4096,0.1333,23.339,42.847,0,0.000
36,547,4096,0.1335,23.132,43.230,0,0.000
37,548,4096,0.1338,22.888,43.691,0,0.000
38,549,4096,0.1340,22.965,43.545,0,0.000
39,550,4096,0.1343,23.046,43.391,0,0.000
40,551,4096,0.1345,23.078,43.331,0,0.000
41,552,4096,0.1348,22.969,43.537,0,0.000
42,553,4096,0.1350,23.144,43.208,0,0.000
43,554,4096,0.1353,23.221,43.064,0,0.000
44,555,4096,0.1355,23.600,42.373,0,0.000
45,556,4096,0.1357,23.113,43.266,0,0.000
46,557,4096,0.1360,23.329,42.865,0,0.000
47,558,4096,0.1362,23.235,43.039,0,0.000
48,559,4096,0.1365,23.585,42.400,0,0.000
49,560,4096,0.1367,23.487,42.577,0,0.000
50,561,4096,0.1370,23.498,42.557,0,0.000
51,562,4096,0.1372,23.475,42.599,0,0.000
52,563,4096,0.1375,23.516,42.524,0,0.000
53,564,4096,0.1377,23.559,42.447,0,0.000
54,565,4096,0.1379,23.787,42.040,0,0.000
55,566,4096,0.1382,23.991,41.682,0,0.000
56,567,4096,0.1384,23.935,41.780,0,0.000
57,568,4096,0.1387,24.237,41.259,0,0.000
58,569,4096,0.1389,24.124,41.452,0,0.000
59,570,4096,0.1392,24.400,40.984,0,0.000
60,571,4096,0.1394,24.664,40.545,0,0.000
61,572,4096,0.1396,25.007,39.989,0,0.000
62,573,4096,0.1399,25.028,39.955,0,0.000
63,574,4096,0.1401,25.005,39.992,0,0.000
64,575,4096,0.1404,25.323,39.490,0,0.000
65,576,4096,0.1406,25.606,39.053,0,0.000
66,577,4096,0.1409,25.943,38.546,0,0.000
67,578,4096,0.1411,26.115,38.292,0,0.000
68,579,4096,0.1414,26.095,38.322,0,0.000
69,580,4096,0.1416,26.616,37.571,0,0.000
70,581,4096,0.1418,26.852,37.241,0,0.000
71,582,4096,0.1421,27.272,36.668,0,0.000
72,583,4096,0.1423,27.433,36.452,0,0.000
73,584,4096,0.1426,27.841,35.918,0,0.000
74,585,4096,0.1428,27.799,35.973,0,0.000
75,586,4096,0.1431,28.252,35.396,0,0.000
76,587,4096,0.1433,28.759,34.772,0,0.000
77,588,4096,0.1436,28.833,34.682,0,0.000
78,589,4096,0.1438,28.859,34.651,0,0.000
79,590,4096,0.1440,29.645,33.733,0,0.000
80,591,4096,0.1443,29.801,33.556,0,0.000
81,592,4096,0.1445,29.768,33.593,0,0.000
82,593,4096,0.1448,30.277,33.028,0,0.000
83,594,4096,0.1450,30.829,32.437,0,0.000
84,595,4096,0.1453,31.693,31.553,0,0.000
85,596,4096,0.1455,31.649,31.597,0,0.000
86,597,4096,0.1458,32.283,30.976,0,0.000
87,598,4096,0.1460,32.345,30.917,0,0.000
88,599,4096,0.1462,33.293,30.036,0,0.000
89,600,4096,0.1465,33.155,30.161,0,0.000
90,601,4096,0.1467,34.087,29.337,0,0.000
91,602,4096,0.1470,34.006,29.407,0,0.000
92,603,4096,0.1472,34.857,28.689,0,0.000
93,604,4096,0.1475,35.069,28.515,0,0.000
94,605,4096,0.1477,35.412,28.239,0,0.000
95,606,4096,0.1479,36.262,27.577,0,0.000
96,607,4096,0.1482,36.255,27.582,0,0.000
97,608,4096,0.1484,36.742,27.217,0,0.000
98,609,4096,0.1487,37.629,26.575,0,0.000
99,610,4096,0.1489,37.413,26.729,0,0.000
100,611,4096,0.1492,37.329,26.789,0,0.000
101,612,4096,0.1494,38.073,26.265,0,0.000
102,613,4096,0.1497,38.821,25.759,0,0.000
103,614,4096,0.1499,38.515,25.964,0,0.000
104,615,4096,0.1501,38.186,26.188,0,0.000
105,616,4096,0.1504,38.549,25.941,0,0.000
106,617,4096,0.1506,38.451,26.007,0,0.000
107,618,4096,0.1509,38.281,26.123,0,0.000
108,619,4096,0.1511,38.842,25.745,0,0.000
109,620,4096,0.1514,38.286,26.119,0,0.000
110,621,4096,0.1516,38.605,25.903,0,0.000
111,622,4096,0.1519,38.552,25.939,0,0.000
112,623,4096,0.1521,37.804,26.452,0,0.000
113,624,4096,0.1523,38.407,26.037,0,0.000
114,625,4096,0.1526,38.117,26.235,0,0.000
115,626,4096,0.1528,37.991,26.322,0,0.000
116,627,4096,0.1531,38.023,26.300,0,0.000
117,628,4096,0.1533,38.036,26.291,0,0.000
118,629,4096,0.1536,37.059,26.984,0,0.000
119,630,4096,0.1538,36.931,27.078,0,0.000
120,631,4096,0.1541,37.200,26.882,0,0.000
121,632,4096,0.1543,36.962,27.055,0,0.000
122,633,4096,0.1545,36.157,27.657,0,0.000
123,634,4096,0.1548,35.945,27.820,0,0.000
124,635,4096,0.1550,35.911,27.847,0,0.000
125,636,4096,0.1553,36.230,27.601,0,0.000
126,637,4096,0.1555,35.918,27.841,0,0.000
127,638,4096,0.1558,35.013,28.561,0,0.000
128,639,4096,0.1560,35.043,28.536,0,0.000
129,640,4096,0.1562,34.829,28.712,0,0.000
130,641,4096,0.1565,35.248,28.370,0,0.000
131,642,4096,0.1567,33.927,29.475,0,0.000
132,643,4096,0.1570,34.223,29.220,0,0.000
133,644,4096,0.1572,34.228,29.216,0,0.000
134,645,4096,0.1575,34.050,29.369,0,0.000
135,646,4096,0.1577,33.748,29.631,0,0.000
136,647,4096,0.1580,33.422,29.920,0,0.000
137,648,4096,0.1582,33.215,30.107,0,0.000
138,649,4096,0.1584,33.516,29.836,0,0.000
139,650,4096,0.1587,33.325,30.008,0,0.000
140,651,4096,0.1589,32.710,30.572,0,0.000
141,652,4096,0.1592,32.310,30.950,0,0.000
142,653,4096,0.1594,32.677,30.603,0,0.000
143,654,4096,0.1597,31.975,31.274,0,0.000
144,655,4096,0.1599,32.276,30.983,0,0.000
145,656,4096,0.1602,32.199,31.057,0,0.000
146,657,4096,0.1604,31.491,31.755,0,0.000
147,658,4096,0.1606,31.518,31.728,0,0.000
148,659,4096,0.1609,31.635,31.611,0,0.000
149,660,4096,0.1611,31.647,31.599,0,0.000
150,661,4096,0.1614,31.528,31.718,0,0.000
151,662,4096,0.1616,30.717,32.555,0,0.000
152,663,4096,0.1619,31.001,32.257,0,0.000
153,664,4096,0.1621,30.983,32.276,0,0.000
154,665,4096,0.1624,31.194,32.057,0,0.000
155,666,4096,0.1626,31.021,32.236,0,0.000
156,667,4096,0.1628,31.093,32.162,0,0.000
157,668,4096,0.1631,31.064,32.192,0,0.000
158,669,4096,0.1633,31.093,32.162,0,0.000
159,670,4096,0.1636,31.109,32.145,0,0.000
160,671,4096,0.1638,30.473,32.816,0,0.000
161,672,4096,0.1641,30.396,32.899,0,0.000
162,673,4096,0.1643,30.368,32.929,0,0.000
163,674,4096,0.1646,30.382,32.914,0,0.000
164,675,4096,0.1648,30.293,33.011,0,0.000
165,676,4096,0.1650,31.745,31.501,0,0.000
166,677,4096,0.1653,33.205,30.116,0,0.000
167,678,4096,0.1655,32.521,30.749,0,0.000
168,679,4096,0.1658,32.298,30.962,0,0.000
169,680,4096,0.1660,32.557,30.715,0,0.000
170,681,4096,0.1663,32.651,30.627,0,0.000
171,682,4096,0.1665,33.719,29.657,0,0.000
172,683,4096,0.1667,32.900,30.395,0,0.000
173,684,4096,0.1670,32.729,30.554,0,0.000
174,685,4096,0.1672,31.673,31.573,0,0.000
175,686,4096,0.1675,30.619,32.659,0,0.000
176,687,4096,0.1677,31.121,32.133,0,0.000
177,688,4096,0.1680,30.770,32.499,0,0.000
178,689,4096,0.1682,30.765,32.504,0,0.000
179,690,4096,0.1685,30.683,32.591,0,0.000
180,691,4096,0.1687,30.194,33.119,0,0.000
181,692,4096,0.1689,30.259,33.048,0,0.000
182,693,4096,0.1692,30.129,33.191,0,0.000
183,694,4096,0.1694,30.360,32.938,0,0.000
184,695,4096,0.1697,30.536,32.748,0,0.000
185,696,4096,0.1699,30.429,32.863,0,0.000
186,697,4096,0.1702,30.079,33.246,0,0.000
