order_idx,round,kind,spill_dev,target,rc,flash_attn,n_steps,ms_mean,ms_median,ms_sd,n_spill_mean,band_start_s,band_end_s,run_total_s,duration_s,t_start
1,1,iso,0,4096,0,disabled,96,43.951,43.547,1.762,4175.5,,,,36.8,2026-08-20T10:14:52
2,1,iso,0,512,0,disabled,96,34.378,34.087,1.218,591.5,,,,10.4,2026-08-20T10:18:48
3,1,ctrl,1,1024,0,disabled,101,26.206,26.029,0.526,591.5,6.949999999999999,9.6,16.66,17.4,2026-08-20T10:22:19
4,1,ctrl,1,8192,0,disabled,156,26.376,26.233,0.46,591.5,41.37,45.5,55.96,56.6,2026-08-20T10:25:56
5,1,iso,0,0,0,disabled,96,23.155,23.146,0.257,0,,,,5.3,2026-08-20T10:30:13
6,1,iso,1,1024,0,disabled,96,28.314,28.05,1.285,1103.5,,,,10.4,2026-08-20T10:33:38
7,1,iso,1,2048,0,disabled,96,30.243,30.204,0.222,2127.5,,,,13.9,2026-08-20T10:37:09
8,1,iso,0,8192,0,disabled,96,58.327,58.264,3.401,8271.5,,,,91.6,2026-08-20T10:40:42
9,1,ctrl,0,8192,0,disabled,204,27.074,26.855,0.529,8271.5,88.78999999999999,94.3,110.48,111.6,2026-08-20T10:45:34
10,1,iso,0,2048,0,disabled,96,38.219,37.514,2.912,2127.5,,,,19.0,2026-08-20T10:50:46
11,1,ctrl,1,4096,0,disabled,125,26.422,26.246,0.508,2127.5,18.71,22.0,30.23,31.2,2026-08-20T10:54:25
12,1,iso,1,4096,0,disabled,96,35.036,34.958,0.352,4175.5,,,,22.6,2026-08-20T10:58:16
13,1,ctrl,0,4096,0,disabled,160,26.4,26.242,0.488,4175.5,33.36,37.6,47.36,48.0,2026-08-20T11:01:58
14,1,iso,1,8192,0,disabled,96,43.789,43.691,0.304,8271.5,,,,46.5,2026-08-20T11:06:06
15,1,iso,1,0,0,disabled,96,22.988,23.019,0.209,0,,,,5.3,2026-08-20T11:10:13
16,1,iso,0,1024,0,disabled,96,35.383,34.935,1.676,1103.5,,,,12.9,2026-08-20T11:13:38
17,1,ctrl,0,0,0,disabled,85,25.622,25.962,1.233,1103.5,2.5300000000000002,4.7,11.3,11.8,2026-08-20T11:17:11
18,1,ctrl,0,1024,0,disabled,127,26.241,26.047,0.557,1103.5,8.97,12.3,19.57,20.5,2026-08-20T11:20:43
