order_idx,round,n_ubatch,ctx,outcome,rc,prefill_ms,prefill_tok_s,duration_s,kv_mib,scratch_mib,gpu_oom_lines,flash_attn,t_start
1,1,256,49152,COMPLETES,0,57977.59,282.59194630201085,59.6,6144.0,1594.0,0,disabled,2026-08-22T23:14:41
2,1,128,49152,COMPLETES,0,58964.4,277.8625747060938,60.1,6144.0,797.0,0,disabled,2026-08-22T23:19:01
3,1,64,49152,COMPLETES,0,62503.57,262.1290271899669,63.7,6144.0,398.5,0,disabled,2026-08-22T23:23:21
4,1,512,49152,COMPLETES,0,58488.0,280.12583777868963,60.1,6144.0,3188.01,0,disabled,2026-08-22T23:27:45
5,2,512,49152,COMPLETES,0,58636.43,279.41673802446707,60.2,6144.0,3188.01,0,disabled,2026-08-22T23:32:05
6,2,256,49152,COMPLETES,0,58425.17,280.4270830534169,59.6,6144.0,1594.0,0,disabled,2026-08-22T23:36:25
7,2,128,49152,COMPLETES,0,59092.97,277.25802240097255,60.7,6144.0,797.0,0,disabled,2026-08-22T23:40:44
8,2,64,49152,COMPLETES,0,62573.69,261.83528572471914,64.2,6144.0,398.5,0,disabled,2026-08-22T23:45:05
9,3,512,49152,COMPLETES,0,58678.23,279.21769283088463,60.1,6144.0,3188.01,0,disabled,2026-08-22T23:49:29
10,3,128,49152,COMPLETES,0,59133.69,277.0670999898704,60.7,6144.0,797.0,0,disabled,2026-08-22T23:53:49
11,3,64,49152,COMPLETES,0,62598.43,261.731803816805,64.1,6144.0,398.5,0,disabled,2026-08-22T23:58:10
12,3,256,49152,COMPLETES,0,58457.68,280.2711294734926,59.6,6144.0,1594.0,0,disabled,2026-08-23T00:02:34
